a,b,theta,E,E_p,E_t,machine_type,status,file_name
5.7,9.5,0.0,-16.844485618756153,-0.5504122388665564,-3.93591528525576,1,Done,naphthalene_theta=0_a=5.7_b=9.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.2,0.0,-13.761723516974595,-2.889113770914264,-1.9958739937865173,1,Done,naphthalene_theta=0_a=3.6_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.3,5.0,-16.752004449721426,-0.2459437592769973,-4.065029232791858,1,Done,naphthalene_theta=5_a=6.4_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.5,0.0,-16.461061948444694,-0.2686025178991258,-3.9809642281616098,2,Done,naphthalene_theta=0_a=6.3_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.5,9.6,0.0,-16.876998167019337,-0.6976361250272021,-3.870431479241233,1,Done,naphthalene_theta=0_a=5.5_b=9.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.3,5.0,-16.810779546620324,-0.2173330684308894,-4.094028352439636,1,Done,naphthalene_theta=5_a=6.5_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.3,0.0,-13.512908271513881,-2.889113770914264,-1.9336701824213376,1,Done,naphthalene_theta=0_a=3.6_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.6,0.0,-16.520567466504875,-0.2686025178991258,-3.995840607676655,2,Done,naphthalene_theta=0_a=6.3_b=7.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.6,9.6,0.0,-16.899207000620663,-0.6226072644349188,-3.9134981179377055,1,Done,naphthalene_theta=0_a=5.6_b=9.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.3,5.0,-16.725733116385527,-0.19180282403249294,-4.0855318670801335,1,Done,naphthalene_theta=5_a=6.6_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.0,0.0,-12.525390764465554,-2.1254981069359933,-2.0685986376483925,1,Done,naphthalene_theta=0_a=3.5_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.7,0.0,-16.56486214278266,-0.2686025178991258,-4.006914276746102,2,Done,naphthalene_theta=0_a=6.3_b=7.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.2,5.0,-16.72027754446026,-0.2459437592769973,-4.057097506476566,1,Done,naphthalene_theta=5_a=6.4_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.7,9.6,0.0,-16.774676386383366,-0.5504122388665564,-3.9184629771625614,1,Done,naphthalene_theta=0_a=5.7_b=9.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.7,0.0,-16.560484632733278,-0.23467430722666904,-4.022784004569985,2,Done,naphthalene_theta=0_a=6.4_b=7.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
