a,b,theta,A1,A2,E,E_p,E_t,machine_type,status,file_name,cx,cy,cz
7.2,6.0,26.5,0.0,5.0,-27.581319771008573,-3.569153260497842,-5.1107533125032205,1,Done,naphthalene_A1=0_A2=5_a=7.2_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,5.9,26.0,0.0,-5.0,-27.67544250574429,-3.71217094711028,-5.062775152880931,2,Done,naphthalene_A1=0_A2=-5_a=7.2_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,5.9,26.5,0.0,-5.0,-27.67544250574429,-3.71217094711028,-5.062775152880931,2,Done,naphthalene_A1=0_A2=-5_a=7.2_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,6.0,25.5,0.0,-5.0,-27.80189957621041,-3.5927965823211707,-5.154076602892019,2,Done,naphthalene_A1=0_A2=-5_a=7.2_b=6.0_theta=25_cx=0_cy=0_cz=0.log,,,
7.3,5.8,25.5,0.0,5.0,-27.67332528717816,-3.6870423092041165,-5.0748101671924815,1,Done,naphthalene_A1=0_A2=5_a=7.3_b=5.8_theta=25_cx=0_cy=0_cz=0.log,,,
7.3,5.9,25.5,0.0,-10.0,-27.080595656298105,-3.863766067894176,-4.8382658801274365,1,Done,naphthalene_A1=0_A2=-10_a=7.3_b=5.9_theta=25_cx=0_cy=0_cz=0.log,,,
7.2,6.0,26.0,0.0,10.0,-26.506029930198565,-3.6999106568400753,-4.776552154129604,1,Done,naphthalene_A1=0_A2=10_a=7.2_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,6.0,26.0,0.0,-5.0,-27.71172262413893,-3.5851930436911066,-5.135334134189179,2,Done,naphthalene_A1=0_A2=-5_a=7.2_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,5.9,26.0,0.0,-10.0,-26.927632563980303,-3.861240340222139,-4.801287970884005,1,Done,naphthalene_A1=0_A2=-10_a=7.3_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,5.8,26.0,0.0,5.0,-27.68115159205627,-3.7464147954015066,-5.047080500313314,1,Done,naphthalene_A1=0_A2=5_a=7.3_b=5.8_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,6.0,26.5,0.0,10.0,-26.264102235087194,-3.6756599053624086,-4.728195606090594,1,Done,naphthalene_A1=0_A2=10_a=7.2_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,6.0,26.5,0.0,-5.0,-27.581319771008573,-3.569153260497842,-5.1107533125032205,2,Done,naphthalene_A1=0_A2=-5_a=7.2_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,5.9,26.5,0.0,-10.0,-26.732271130545996,-3.8505864754552017,-4.757774544908899,1,Done,naphthalene_A1=0_A2=-10_a=7.3_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,5.8,26.5,0.0,5.0,-27.62390636478085,-3.7866802295320654,-5.0126364764291775,1,Done,naphthalene_A1=0_A2=5_a=7.3_b=5.8_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,6.1,25.5,0.0,10.0,-26.583250055555247,-3.5257107432116754,-4.882957142282977,1,Done,naphthalene_A1=0_A2=10_a=7.2_b=6.1_theta=25_cx=0_cy=0_cz=0.log,,,
7.3,5.8,25.5,0.0,-5.0,-27.67332528717816,-3.6870423092041165,-5.0748101671924815,2,Done,naphthalene_A1=0_A2=-5_a=7.3_b=5.8_theta=25_cx=0_cy=0_cz=0.log,,,
7.3,6.0,25.5,0.0,-10.0,-27.02337929478381,-3.7187058363342658,-4.896491905528818,1,Done,naphthalene_A1=0_A2=-10_a=7.3_b=6.0_theta=25_cx=0_cy=0_cz=0.log,,,
7.2,6.1,26.0,0.0,10.0,-26.407165729789995,-3.498176859517116,-4.8527030026889415,1,Done,naphthalene_A1=0_A2=10_a=7.2_b=6.1_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,5.9,25.5,0.0,5.0,-27.91383857477922,-3.693940526631195,-5.131489380379207,1,Done,naphthalene_A1=0_A2=5_a=7.3_b=5.9_theta=25_cx=0_cy=0_cz=0.log,,,
