a,b,theta,A1,A2,E
7.3,6.8,26.0,0.0,30.0,-21.75726893881801
5.9,8.5,64.0,0.0,30.0,-24.72924540529493
5.9,8.5,64.5,0.0,31.0,-24.777933906181715
5.9,8.5,64.5,0.0,32.0,-24.78653330344241
6.0,8.5,65.5,0.0,33.0,-24.784836516482763
6.0,8.5,65.5,0.0,34.0,-24.730959762586277
6.0,8.6,65.5,0.0,35.0,-24.61186338448897
6.0,8.6,66.0,0.0,36.0,-24.395598338218413
6.0,8.7,66.0,0.0,37.0,-24.102817232371308
6.1,8.7,66.5,0.0,38.0,-23.70876479800791
6.1,8.8,67.0,0.0,39.0,-23.22468852368184
6.1,8.9,67.0,0.0,40.0,-22.63181582081597
