R1,R2,heri,R3t,R3p,phi1,phi2,E_mono_i,E_mono_t,E_t1,E_t2,E_t3,E_t4,E_p,E
5.0,0.7,58,-1.5,-0.5,27.0,-14.0,-1059765.4163366556,-1059765.0550540483,35.32989231706597,-10.201982278842479,-9.641634674277157,-11.738779368810356,-7.9544799122959375,-2119542.6328545334
5.0,0.7,58,-1.5,-0.5,28.0,166.0,-1059765.4596285706,-1059765.6034413122,-9.092023765435442,-12.27125925454311,33.268195662181824,-8.710503960959613,-7.956349892076105,-2119543.7813609857
5.0,0.7,58,-1.5,-1.0,-149.0,-166.0,-1059765.9046461124,-1059765.6387324748,-8.276574520394206,-11.198662686627358,240.94445621594787,-8.563064211048186,-9.83565449109301,-2119338.3085327717
5.0,0.7,58,-1.5,-1.0,-151.0,41.0,-1059765.8313090187,-1059766.2799598433,-8.56211039586924,172.23915187851526,-9.657918558921665,-8.319063222268596,-9.817858307389542,-2119406.0469257752
5.0,0.7,58,-1.5,-1.0,28.0,-12.0,-1059765.4610843938,-1059765.0422026434,93.88399876048788,-10.320148687111214,-9.585961986798793,-11.110064550070092,-8.322840833105147,-2119484.2811451666
5.0,0.7,58,-1.5,-1.0,28.0,169.0,-1059765.4593336408,-1059765.6130108398,-9.074516236316413,-11.67289709392935,63.56891535921022,-8.831525539513677,-8.322840833105147,-2119513.7280496573
5.0,0.7,58,-1.5,-1.5,-149.0,-166.0,-1059765.9046523874,-1059765.6387324748,-8.276574520394206,-11.332303491653875,240.94445621594787,-8.67110888264142,-8.21482126135379,-2119335.3085580636
5.0,0.7,58,-1.5,-1.5,-151.0,42.0,-1059765.8312964684,-1059766.354037399,-8.558652815641835,215.26722392369993,-9.65653803665191,-8.479103373130783,-8.207046412397176,-2119360.026496994
5.0,0.7,58,-1.5,-1.5,27.0,-10.0,-1059765.4160731013,-1059765.0349737282,128.50775407464243,-10.58672748459503,-9.553544820053503,-11.02931028790772,-7.96384236169979,-2119449.040560071
5.0,0.7,58,-1.5,-1.5,28.0,172.0,-1059765.4591767632,-1059765.626452104,-9.058966538868845,-11.340938028879464,108.95761727378704,-9.129843793343753,-7.968893817393109,-2119467.5955475895
5.0,0.7,58,-1.5,-2.0,-149.0,-166.0,-1059765.9046523874,-1059765.6387324748,-8.276574520394206,-10.936790213920176,240.94445621594787,-8.540756230475381,-6.47093332069926,-2119331.2949162526
5.0,0.7,58,-1.5,-2.0,-152.0,42.0,-1059765.8020168517,-1059766.3541566257,-8.563459542579949,493.33185848686844,-9.638164543779567,-8.39203008520417,-6.46227368270047,-2119078.3425165275
5.0,0.7,58,-1.5,-2.0,26.0,-9.0,-1059765.3742997607,-1059765.0329845215,131.69742505531758,-10.61916975188069,-9.54329130682163,-10.912693829741329,-7.565392337040976,-2119444.9157987894
5.0,0.7,58,-1.5,-2.0,28.0,173.0,-1059765.459157938,-1059765.630982726,-9.05418491223827,-11.01468303008005,128.4550683349371,-9.174867635825649,-7.579360709991306,-2119447.037529327
5.0,0.7,58,-1.5,0.0,-146.0,-168.0,-1059766.023232952,-1059765.6391654566,-8.26548014394939,-10.777471699751914,192.36582604190335,-8.693115658359602,-1.9092180000152439,-2119370.851075869
5.0,0.7,58,-1.5,0.0,-153.0,41.0,-1059765.7757304579,-1059766.280185747,-8.572031328687444,105.2355354335159,-9.620694665238261,-8.363509755814448,-1.5727910639252514,-2119456.522198649
5.0,0.7,58,-1.5,0.0,26.0,-15.0,-1059765.3746511661,-1059765.0639772404,14.45831985771656,-10.20820717816241,-9.676693657878786,-12.312047404702753,-6.509324382757768,-2119561.195905555
5.0,0.7,58,-1.5,0.0,26.0,162.0,-1059765.3723419295,-1059765.6057568241,-9.256870642537251,-12.832309670746326,11.727609691442922,-8.654768522595987,-6.509324382757768,-2119563.0130866636
5.0,0.7,58,-1.5,0.5,-146.0,-168.0,-1059766.023232952,-1059765.6391654566,-8.26548014394939,-10.387511885492131,192.36582604190335,-8.500965821556747,14.989450596971437,-2119336.4716290236
5.0,0.7,58,-1.5,0.5,-152.0,43.0,-1059765.8019603759,-1059766.4284349843,-8.559857634827495,53.645773423835635,-9.637348780641332,-8.103908868972212,15.537304477533326,-2119473.8111282657
5.0,0.7,58,-1.5,0.5,25.0,157.0,-1059765.3336935886,-1059765.651370526,-9.34605236328207,-13.439287543529645,-4.4084083524066955,-8.289250222733244,-4.318461068673059,-2119575.104984734
5.0,0.7,58,-1.5,0.5,26.0,-15.0,-1059765.3746511661,-1059765.0639772404,14.45831985771656,-9.991960956482217,-9.676693657878786,-12.263528331182897,-4.31820379011333,-2119556.5488990746
5.0,0.7,58,-2.0,-0.5,-144.0,4.0,-1059766.110707846,-1059765.0432631352,-8.237267294432968,4.495374963153154,-10.679454637691379,-8.899365645134822,-9.106450220104307,-2119572.6875840356
5.0,0.7,58,-2.0,-0.5,-146.0,-168.0,-1059766.0224862152,-1059765.639629814,-7.986200543120503,-10.777471699751914,309.61295081768185,-8.693115658359602,-9.03352100821212,-2119267.572995129
5.0,0.7,58,-2.0,-0.5,-57.0,7.0,-1059767.3719590204,-1059765.0511258356,-8.52723966515623,-10.095154976472259,27.19830398214981,-11.251862984150648,-7.019182532792911,-2119549.1374035655
5.0,0.7,58,-2.0,-0.5,26.0,-15.0,-1059765.375071598,-1059765.063839188,17.722175070550293,-10.20820717816241,-9.484267716063187,-12.312047404702753,-7.952980163274333,-2119560.627218341
5.0,0.7,58,-2.0,-0.5,26.0,165.0,-1059765.372624309,-1059765.6024184711,-9.119452227372676,-12.37863249075599,67.872347563738,-8.688177154632285,-7.952980163274333,-2119509.1949174157
5.0,0.7,58,-2.0,-1.0,-148.0,1.0,-1059765.9330158394,-1059765.039667503,-8.258031599922106,43.03270306950435,-10.641107501694933,-8.782134226989001,-9.844326679129153,-2119535.3099069595
5.0,0.7,58,-2.0,-1.0,-148.0,176.0,-1059765.9376656886,-1059765.6436835285,-7.99380596424453,-11.013258582446724,151.59032036853023,-8.421573256142437,-9.844326679129153,-2119427.10832001
5.0,0.7,58,-2.0,-1.0,-61.0,13.0,-1059767.5726241681,-1059765.0831037452,-8.509161101887003,-10.804511105408892,65.84049528418109,-10.824792228871956,-6.915674758143723,-2119510.7850465816
5.0,0.7,58,-2.0,-1.0,27.0,-13.0,-1059765.4167696375,-1059765.0477874824,54.399519610684365,-10.231161494040862,-9.425112348748371,-11.557968637906015,-8.319596606073901,-2119523.918473202
5.0,0.7,58,-2.0,-1.0,27.0,169.0,-1059765.4144478505,-1059765.6132430185,-8.995462526800111,-11.746717370348051,137.83280995395035,-8.754071979783475,-8.319596606073901,-2119439.330326004
5.0,0.7,58,-2.0,-1.5,-148.0,172.0,-1059765.937697064,-1059765.6218775562,-7.995130010414869,-11.49324098112993,114.8345872790087,-8.383539875037968,-8.218090588226914,-2119461.033079384
5.0,0.7,58,-2.0,-1.5,-151.0,-9.0,-1059765.8293574625,-1059765.0286609777,-8.269621709594503,23.065949829062447,-11.358062777202576,-8.861464041052386,-8.207046412397176,-2119552.695309964
5.0,0.7,58,-2.0,-1.5,-64.0,18.0,-1059767.6949697929,-1059765.143576884,-8.487970089307055,-11.594276366522536,73.66464764508419,-9.891446405090392,-6.042300064815208,-2119501.2321920223
5.0,0.7,58,-2.0,-1.5,27.0,-11.0,-1059765.4167194366,-1059765.0381363786,95.09092639409937,-10.321234279312193,-9.377452963963151,-11.095757322385907,-7.96384236169979,-2119482.0860587102
5.0,0.7,58,-2.0,-1.5,27.0,171.0,-1059765.4144980514,-1059765.6219026565,-8.984901533229277,-11.356763831572607,191.85528390598483,-8.867180657340214,-7.96384236169979,-2119384.3176475475
5.0,0.7,58,-2.0,-2.0,-148.0,170.0,-1059765.9376594133,-1059765.6116805186,-7.996014799689874,-11.721566769760102,91.69539448292926,-8.526160348206758,-6.473700640024617,-2119481.045088647
5.0,0.7,58,-2.0,-2.0,-151.0,-16.0,-1059765.8306187575,-1059765.076063083,-8.257435465697199,-0.9298568679951131,-12.404479627963156,-9.014940437162295,-6.465235530165955,-2119574.4438652997
5.0,0.7,58,-2.0,-2.0,-66.0,24.0,-1059767.7630797282,-1059765.3015337011,-8.467067731311545,-10.841232990846038,35.95309759886004,-9.543824690394104,-5.1335965590551496,-2119536.230834361
5.0,0.7,58,-2.0,-2.0,26.0,-9.0,-1059765.3749649213,-1059765.0331351238,122.19348490075208,-10.598963930038735,-9.340009442530572,-11.035146131180227,-7.565392337040976,-2119454.3195193224
5.0,0.7,58,-2.0,-2.0,27.0,173.0,-1059765.414541977,-1059765.63090115,-8.975030801258981,-11.169979205122218,262.34935569926165,-9.158439423888922,-7.572778129717335,-2119313.1450931174
5.0,0.7,58,-2.0,0.0,-145.0,-169.0,-1059766.0670896259,-1059765.641198589,-7.981989951105788,-10.653017641277984,289.0546627251897,-8.48453760985285,-1.9817267805337906,-2119273.736624253
5.0,0.7,58,-2.0,0.0,-145.0,8.0,-1059766.0628853089,-1059765.056302793,-8.242186972871423,-2.03351518092677,-10.34610877581872,-8.658590058097616,-1.9817267805337906,-2119564.3630426507
5.0,0.7,58,-2.0,0.0,-55.0,2.0,-1059767.256603857,-1059765.0420771413,-8.514388260664418,-9.449560138396919,10.487430302426219,-7.366446566302329,-5.992074164794758,-2119559.1257939907
5.0,0.7,58,-2.0,0.0,25.0,-16.0,-1059765.3362663796,-1059765.0746072598,4.015844371635467,-9.937116582645103,-9.520274240057915,-12.63237243425101,-6.509054553229362,-2119571.5029016314
5.0,0.7,58,-2.0,0.0,25.0,161.0,-1059765.3338943918,-1059765.6109463319,-9.23045247187838,-12.768278550356627,27.684737184317783,-8.332448011264205,-6.509054553229362,-2119546.609391679
5.0,0.7,58,0.0,-0.5,-151.0,48.0,-1059765.830700334,-1059766.7948506237,-8.940429899608716,461.6649428429082,-10.371748834615573,-8.386357394978404,-8.827352597611025,-2119116.313849439
5.0,0.7,58,0.0,-0.5,164.0,-127.0,-1059765.6016717341,-1059767.0363039214,-8.714620426064357,9.620788791915402,165.23946608114056,-8.86265630996786,-8.929818705888465,-2119393.2146349302
5.0,0.7,58,0.0,-0.5,28.0,7.0,-1059765.458724956,-1059765.0529958154,2848.5603222104255,-11.580973154865205,-9.460422336356714,-9.623116854345426,-7.956349892076105,-2116728.5286106905
5.0,0.7,58,0.0,-1.0,-150.0,48.0,-1059765.8633434041,-1059766.7950263263,-8.937650030478835,981.9685742023867,-10.396002096123993,-7.942921178648248,-9.826750124106184,-2118597.6198690813
5.0,0.7,58,0.0,-1.0,163.0,-127.0,-1059765.6035166136,-1059767.0362599958,-8.724491158267483,-2.90010649128817,161.59079663618468,-8.311031094752252,-8.189168652519584,-2119407.3629460223
5.0,0.7,58,0.0,-1.0,29.0,6.0,-1059765.5069742,-1059765.050648928,2663.831148541067,-11.351593149127439,-9.446397487772629,-9.206945946905762,-8.326354888733476,-2116913.384120948
5.0,0.7,58,0.0,-1.5,-151.0,48.0,-1059765.830700334,-1059766.7948506237,-8.940429899608716,749.2471470781602,-10.371748834615573,-7.535629537887871,-8.207046412397176,-2118826.640304976
5.0,0.7,58,0.0,-1.5,159.0,-126.0,-1059765.6265462304,-1059767.0872702836,-8.768303906545043,-7.798035394167528,153.73421455849893,-7.806826809421182,-6.736194347962737,-2119416.8251567613
5.0,0.7,58,0.0,-1.5,28.0,5.0,-1059765.4586120043,-1059765.0485530447,1961.8059738420416,-11.067764100851491,-9.464990609325469,-8.960918101016432,-7.968893817393109,-2117614.132651653
5.0,0.7,58,0.0,-2.0,-151.0,48.0,-1059765.830700334,-1059766.7948506237,-8.940429899608716,601.7152978354134,-10.371748834615573,-7.377823322778568,-6.465235530165955,-2118970.5307262396
5.0,0.7,58,0.0,-2.0,158.0,-126.0,-1059765.637433529,-1059767.0872012575,-8.779523785691708,-9.966283247806132,150.7180124425795,-7.557059003971517,-5.53297529858537,-2119419.3754389784
5.0,0.7,58,0.0,0.0,-151.0,48.0,-1059765.830700334,-1059766.7948506237,-8.940429899608716,179.14899706840515,-10.371748834615573,-8.468649056274444,-1.5866088340990245,-2119384.4305993477
5.0,0.7,58,0.0,0.0,166.0,-127.0,-1059765.601364254,-1059767.0363792225,-8.6956005981192,44.778586491942406,173.28492239373736,-8.92593441857025,-8.61337796295993,-2119349.4225255335
5.0,0.7,58,0.0,0.0,27.0,7.0,-1059765.4135881618,-1059765.053033466,2536.0080392516684,-11.499522356316447,-9.47711410233751,-9.720958213089034,-6.5098765913862735,-2117038.175930231
5.0,0.7,58,0.0,0.5,-150.0,50.0,-1059765.8635379323,-1059766.9346096509,-8.91968441917561,79.40016434621066,-10.399867557454854,-8.300225372426212,15.730270077940077,-2119449.55722043
5.0,0.7,58,0.0,0.5,28.0,6.0,-1059765.4586684802,-1059765.0506928538,2367.1408123583533,-11.210284172324464,-9.462455468717963,-9.535378405824304,-4.318787374068052,-2117202.2142417706
5.0,0.7,58,0.0,1.0,-150.0,50.0,-1059765.8635379323,-1059766.9346096509,-8.91968441917561,62.47189610218629,-10.399867557454854,-8.290756246307865,57.4341140454635,-2119383.068331613
5.0,0.7,58,0.0,1.5,-150.0,49.0,-1059765.8634438056,-1059766.8655521753,-8.928676637588069,57.18464116938412,-10.397985027404502,-8.336846855701879,209.94607090111822,-2119083.31572153
5.0,0.7,58,0.0,1.5,172.0,-128.0,-1059765.622567817,-1059766.9842707922,-8.643178412457928,104.93694107513875,189.6294118091464,-8.65610511857085,-6.567262381082401,-2119268.474294018
5.0,0.7,58,0.0,2.0,-151.0,48.0,-1059765.830700334,-1059766.7948506237,-8.940429899608716,42.34955175756477,-10.371748834615573,-8.083803448593244,752.1226928278338,-2118013.426595727
5.0,0.7,58,0.0,2.0,177.0,-129.0,-1059765.6428991412,-1059766.931158346,-8.605998445535079,186.46895769424736,199.0584021701943,-7.702114215819165,-0.3303463647607714,-2119164.0155030135
5.0,0.7,58,0.0,2.0,26.0,7.0,-1059765.3716955942,-1059765.0530773916,2254.580980204977,-10.775055785896257,-9.494671832304448,-9.454122135648504,-3.3071910536382347,-2117312.182024642
5.0,0.7,58,0.5,-0.5,-150.0,46.0,-1059765.8636069582,-1059766.6522364258,-9.003563681151718,938.5564283861313,-10.609255094313994,-7.9448037086986005,-8.852854604134336,-2118639.2227466903
5.0,0.7,58,0.5,-0.5,161.0,-127.0,-1059765.611636593,-1059767.0362286202,-8.595952010015026,-2.207266424782574,77.93279496231116,-8.31416864413768,-8.674102105665952,-2119491.1806615414
5.0,0.7,58,0.5,-1.0,-150.0,47.0,-1059765.8636822593,-1059766.7255609694,-8.991791593376547,722.1827725553885,-10.606657202821225,-7.538070551585406,-9.826750124106184,-2118857.196490269
5.0,0.7,58,0.5,-1.0,160.0,-127.0,-1059765.6181815222,-1059767.0361909696,-8.603933937381953,-7.811658636899665,75.27849668823183,-7.797163155395538,-8.007761786691844,-2119497.6041551065
5.0,0.7,58,0.5,-1.5,-151.0,47.0,-1059765.8316980747,-1059766.7255170436,-8.994445960270241,607.2594051617198,-10.564199876273051,-7.378325331024826,-8.207046412397176,-2118968.648873949
5.0,0.7,58,0.5,-1.5,157.0,-126.0,-1059765.652424743,-1059767.0872765586,-8.630935692694038,-9.978676570113748,70.98224319797009,-7.558583853766322,-6.659675778821111,-2119501.245005778
5.0,0.7,58,0.5,0.0,-150.0,46.0,-1059765.8636069582,-1059766.6522364258,-9.003563681151718,441.5019107500557,-10.609255094313994,-8.39056798699312,-1.6202872956637293,-2119122.257893988
5.0,0.7,58,0.5,0.0,162.0,-127.0,-1059765.6071624465,-1059767.0362599958,-8.588152060750872,11.798549696570262,80.7555608456023,-8.866251942468807,-8.343987919623032,-2119474.2316917423
5.0,0.7,58,0.5,0.5,-150.0,47.0,-1059765.8636822593,-1059766.7255609694,-8.991791593376547,176.41749623953365,-10.606657202821225,-8.471993684535846,15.730270077940077,-2119352.781649314
5.0,0.7,58,0.5,0.5,163.0,-127.0,-1059765.604489254,-1059767.036285096,-8.580540364375338,57.01218259613961,83.75914373574778,-8.931563183199614,-7.291979954810813,-2119423.9655114757
5.0,0.7,58,0.5,1.0,-150.0,49.0,-1059765.8638767877,-1059766.8688842533,-8.968322718981653,84.42690222733654,-10.60143004450947,-8.302020051050931,57.4341140454635,-2119361.3094035373
5.0,0.7,58,0.5,1.5,-150.0,50.0,-1059765.8639897394,-1059766.9383496104,-8.956663583638147,62.47189610218629,-10.598819602979347,-8.290756246307865,209.94607090111822,-2119078.2845408786
5.0,0.7,58,0.5,1.5,169.0,-128.0,-1059765.6111847856,-1059766.9840825393,-8.537656331202015,122.08889780915342,98.42736568837427,-8.630992168327793,-7.5101840069983155,-2119344.268020341
5.0,0.7,58,0.5,1.5,29.0,-138.0,-1059765.508291971,-1059766.4255798138,-8.938045361777768,-9.800200175726786,3710.5932238674723,-11.309305249946192,-2.1118660799693316,-2115855.611930865
5.0,0.7,58,0.5,2.0,-150.0,49.0,-1059765.8638767877,-1059766.8688842533,-8.968322718981653,57.18464116938412,-10.60143004450947,-8.336846855701879,806.595649934141,-2117890.2634196226
5.0,0.7,58,0.5,2.0,175.0,-129.0,-1059765.6380359386,-1059766.9305935868,-8.501637256937101,80.51322275889106,113.95099672302604,-8.736495424527675,-4.8504640471655875,-2119365.0434708195
5.0,0.7,58,0.5,2.0,29.0,-138.0,-1059765.508291971,-1059766.4255798138,-8.938045361777768,-9.936100016813725,3710.5932238674723,-11.02558287861757,-3.306105460971594,-2115857.8525870964
5.0,0.7,58,1.0,-0.5,-150.0,48.0,-1059765.8633747797,-1059766.8011633742,-8.68517138203606,714.771785329096,-10.409462184878066,-7.537625019671395,-8.852854604134336,-2118862.2307206197
5.0,0.7,58,1.0,-0.5,160.0,-127.0,-1059765.6182128976,-1059767.0367620036,-8.104002995183691,-7.811658636899665,26.113891400862485,-7.797163155395538,-8.58907450037077,-2119547.4320572885
5.0,0.7,58,1.0,-0.5,28.0,-141.0,-1059765.459722697,-1059766.265188258,-8.313233654713258,-8.851731361355633,5561.678070257185,-11.88733608671464,-7.956349892076105,-2114015.011841585
5.0,0.7,58,1.0,-1.0,-151.0,48.0,-1059765.8318486772,-1059766.8011947498,-8.687631221022457,601.7152978354134,-10.354944116668776,-7.377823322778568,-9.817858307389542,-2118976.973860867
5.0,0.7,58,1.0,-1.0,157.0,-126.0,-1059765.6533911084,-1059767.0879040686,-8.124779851641506,-9.978676570113748,24.240196741884574,-7.558583853766322,-7.836890813661739,-2119549.8369203378
5.0,0.7,58,1.0,-1.0,30.0,-141.0,-1059765.558925753,-1059766.2650439306,-8.33974595181644,-8.692657576408237,5546.906265228987,-11.95705244760029,-8.330176424700767,-2114030.5675132796
