a,b,theta,E,E_p,E_t,machine_type,status,file_name
6.7,7.2,10.0,-37.18343637511134,-0.5667406765278429,-9.012488755513914,2,Done,tetracene_theta=10.0_a=6.7_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.5,9.7,0.0,-36.59348661405966,-1.743152498966083,-8.276795404031871,2,Done,tetracene_theta=0.0_a=5.5_b=9.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.3,5.0,-29.67566828150301,-6.608226233627647,-4.114803953561932,1,Done,tetracene_theta=5.0_a=3.5_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.6,0.0,-35.787645801668994,-0.6078149712411687,-8.643003964796662,1,Done,tetracene_theta=0.0_a=6.5_b=7.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.3,0.0,-29.165367109468214,-6.310836694552562,-4.13592343009077,1,Done,tetracene_theta=0.0_a=3.5_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.5,5.0,-35.823208048474044,-0.5666854557348415,-8.67245928425109,2,Done,tetracene_theta=5.0_a=6.6_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,7.3,10.0,-36.894317417405546,-0.5667406765278429,-8.940209016087465,2,Done,tetracene_theta=10.0_a=6.7_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.6,9.5,0.0,-36.591935409000136,-1.5732955819694323,-8.361336061265321,2,Done,tetracene_theta=0.0_a=5.6_b=9.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.1,5.0,-33.07935531274416,-7.759097144124098,-4.390290256123991,1,Done,tetracene_theta=5.0_a=3.6_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.4,0.0,-35.61081850389019,-0.5467281276360154,-8.629340562154539,1,Done,tetracene_theta=0.0_a=6.6_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.6,5.0,-35.605180954560645,-0.5666854557348415,-8.617952510772739,2,Done,tetracene_theta=5.0_a=6.6_b=7.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,7.4,10.0,-36.59645599126816,-0.5667406765278429,-8.865743659553118,2,Done,tetracene_theta=10.0_a=6.7_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.1,0.0,-32.61320072342643,-7.4900271309306845,-4.408286615391262,1,Done,tetracene_theta=0.0_a=3.6_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.6,9.6,0.0,-36.54342135577463,-1.5732955819694323,-8.34920754795894,2,Done,tetracene_theta=0.0_a=5.6_b=9.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.3,5.0,-36.454415337415405,-0.7790172692621127,-8.724095199722798,2,Done,tetracene_theta=5.0_a=6.3_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.1,10.0,-37.82008794066496,-0.7660830332897604,-9.071980468521359,2,Done,tetracene_theta=10.0_a=6.4_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.2,5.0,-32.59920474118553,-7.759097144124098,-4.270252613234334,1,Done,tetracene_theta=5.0_a=3.6_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.5,0.0,-35.427103656344116,-0.5467281276360154,-8.583411850268021,1,Done,tetracene_theta=0.0_a=6.6_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.2,0.0,-32.148747941711925,-7.4900271309306845,-4.292173419962637,1,Done,tetracene_theta=0.0_a=3.6_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.4,5.0,-36.50994997262024,-0.7790172692621127,-8.737978858524004,2,Done,tetracene_theta=5.0_a=6.3_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.2,10.0,-37.7538429654669,-0.7660830332897604,-9.055419224721843,2,Done,tetracene_theta=10.0_a=6.4_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.6,9.7,0.0,-36.42309505841696,-1.5732955819694323,-8.319125973619519,2,Done,tetracene_theta=0.0_a=5.6_b=9.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
