R1,R2,heri,phi1,phi2,FF
5.0,0.7,58.0,-72.0,0.0,1114.8719906675997
5.0,0.7,58.0,-71.0,0.0,1128.5987250187836
5.0,0.7,58.0,-70.0,0.0,1123.063718696281
5.0,0.7,58.0,-69.0,0.0,1097.477058084013
5.0,0.7,58.0,-68.0,0.0,1056.4579850595921
5.0,0.7,58.0,-67.0,0.0,1010.3731487763995
5.0,0.7,58.0,-66.0,0.0,973.3078948766288
5.0,0.7,58.0,-65.0,0.0,959.0911181239636
5.0,0.7,58.0,-64.0,0.0,976.4416816820959
5.0,0.7,58.0,-63.0,0.0,1024.8996052919836
5.0,0.7,58.0,-62.0,0.0,1094.76303507254
5.0,0.7,58.0,-61.0,0.0,1174.445416914295
5.0,0.7,58.0,-60.0,0.0,1262.954218361704
5.0,0.7,58.0,-59.0,0.0,1377.3286777762169
5.0,0.7,58.0,-58.0,0.0,1547.0522322043362
5.0,0.7,58.0,-57.0,0.0,1799.4885076605844
5.0,0.7,58.0,-56.0,0.0,2148.0145744709857
5.0,0.7,58.0,-55.0,0.0,2593.8918517990714
5.0,0.7,58.0,-54.0,0.0,3146.055699882898
5.0,0.7,58.0,-53.0,0.0,3836.1965298091613
5.0,0.7,58.0,-52.0,0.0,4663.818012663121
5.0,0.7,58.0,-51.0,0.0,5446.789892245405
5.0,0.7,58.0,-50.0,0.0,5772.24918741157
5.0,0.7,58.0,-49.0,0.0,5307.820043957509
5.0,0.7,58.0,-48.0,0.0,4192.9313920211525
5.0,0.7,58.0,-47.0,0.0,2923.483428660227
5.0,0.7,58.0,-46.0,0.0,1897.5081403122665
5.0,0.7,58.0,-45.0,0.0,1218.6104110471008
5.0,0.7,58.0,-44.0,0.0,811.0892821805497
5.0,0.7,58.0,-43.0,0.0,568.0549008991924
5.0,0.7,58.0,-42.0,0.0,412.34622762591204
5.0,0.7,58.0,-41.0,0.0,300.6255096739061
5.0,0.7,58.0,-40.0,0.0,212.5273169257887
5.0,0.7,58.0,-39.0,0.0,140.4293940855412
5.0,0.7,58.0,-38.0,0.0,82.18797514146314
5.0,0.7,58.0,-37.0,0.0,36.83491805965734
5.0,0.7,58.0,-36.0,0.0,2.8773058662839013
5.0,0.7,58.0,-35.0,0.0,-21.77219902164006
5.0,0.7,58.0,-34.0,0.0,-39.31971807934735
5.0,0.7,58.0,-33.0,0.0,-51.69844698101007
5.0,0.7,58.0,-32.0,0.0,-60.41275198142534
5.0,0.7,58.0,-31.0,0.0,-66.54861754664174
5.0,0.7,58.0,-30.0,0.0,-70.8527050899896
5.0,0.7,58.0,-29.0,0.0,-73.8184779908416
5.0,0.7,58.0,-28.0,0.0,-75.75170349444731
5.0,0.7,58.0,-27.0,0.0,-76.80456467445062
5.0,0.7,58.0,-26.0,0.0,-76.97138886918236
5.0,0.7,58.0,-25.0,0.0,-76.03356609746294
5.0,0.7,58.0,-24.0,0.0,-73.42512245765623
5.0,0.7,58.0,-23.0,0.0,-67.95611112494504
5.0,0.7,58.0,-22.0,0.0,-57.266413010405614
5.0,0.7,58.0,-21.0,0.0,-36.77686358006268
5.0,0.7,58.0,-20.0,0.0,2.2315736105847663
5.0,0.7,58.0,-19.0,0.0,75.85588870495003
5.0,0.7,58.0,-18.0,0.0,212.28842203272268
5.0,0.7,58.0,-17.0,0.0,456.8645763125464
5.0,0.7,58.0,-16.0,0.0,873.0622310296616
5.0,0.7,58.0,-15.0,0.0,1530.2019139182144
5.0,0.7,58.0,-14.0,0.0,2466.8886333638975
5.0,0.7,58.0,-13.0,0.0,3631.837659808104
5.0,0.7,58.0,-12.0,0.0,4836.764790132372
5.0,0.7,58.0,-11.0,0.0,5783.252425448767
5.0,0.7,58.0,-10.0,0.0,6190.395297375676
5.0,0.7,58.0,-9.0,0.0,5949.8366123116575
5.0,0.7,58.0,-8.0,0.0,5181.587704170075
5.0,0.7,58.0,-7.0,0.0,4147.824668255161
5.0,0.7,58.0,-6.0,0.0,3109.276268068654
5.0,0.7,58.0,-5.0,0.0,2231.332958936627
5.0,0.7,58.0,-4.0,0.0,1571.6406378070542
5.0,0.7,58.0,-3.0,0.0,1115.453680080275
5.0,0.7,58.0,-2.0,0.0,816.9802108824673
5.0,0.7,58.0,-1.0,0.0,626.8472027296891
5.0,0.7,58.0,0.0,0.0,504.5149188917661
5.0,0.7,58.0,1.0,0.0,421.2173908549025
5.0,0.7,58.0,2.0,0.0,358.62104482232934
5.0,0.7,58.0,3.0,0.0,306.2152609303486
5.0,0.7,58.0,4.0,0.0,258.7594735380722
5.0,0.7,58.0,5.0,0.0,214.22572415376862
5.0,0.7,58.0,6.0,0.0,172.30632159177338
5.0,0.7,58.0,7.0,0.0,133.42515378459245
5.0,0.7,58.0,8.0,0.0,98.15039615862962
5.0,0.7,58.0,9.0,0.0,66.899241515645
5.0,0.7,58.0,10.0,0.0,39.83442090940376
5.0,0.7,58.0,11.0,0.0,16.8708758489017
5.0,0.7,58.0,12.0,0.0,-2.2665604319587715
5.0,0.7,58.0,13.0,0.0,-17.972122365114746
5.0,0.7,58.0,14.0,0.0,-30.695052051106355
5.0,0.7,58.0,15.0,0.0,-40.8908374313724
5.0,0.7,58.0,16.0,0.0,-48.98888562704977
5.0,0.7,58.0,17.0,0.0,-55.37423526185887
5.0,0.7,58.0,18.0,0.0,-60.3797235262767
5.0,0.7,58.0,19.0,0.0,-64.28511559372619
5.0,0.7,58.0,20.0,0.0,-67.3203486417323
5.0,0.7,58.0,21.0,0.0,-69.67081510339014
5.0,0.7,58.0,22.0,0.0,-71.48330187228999
5.0,0.7,58.0,23.0,0.0,-72.87173921620315
5.0,0.7,58.0,24.0,0.0,-73.92229042619549
5.0,0.7,58.0,25.0,0.0,-74.6975558927797
5.0,0.7,58.0,26.0,0.0,-75.23980608214639
5.0,0.7,58.0,27.0,0.0,-75.57322659454536
5.0,0.7,58.0,28.0,0.0,-75.70517831059477
5.0,0.7,58.0,29.0,0.0,-75.62646281508127
5.0,0.7,58.0,30.0,0.0,-75.3105482455971
5.0,0.7,58.0,31.0,0.0,-74.71165957959143
5.0,0.7,58.0,32.0,0.0,-73.76157361426826
5.0,0.7,58.0,33.0,0.0,-72.36488495269592
5.0,0.7,58.0,34.0,0.0,-70.39242847494461
5.0,0.7,58.0,35.0,0.0,-67.67246260880046
5.0,0.7,58.0,36.0,0.0,-63.979149516994944
5.0,0.7,58.0,37.0,0.0,-59.01783816016989
5.0,0.7,58.0,38.0,0.0,-52.406708109163645
5.0,0.7,58.0,39.0,0.0,-43.65453854092931
5.0,0.7,58.0,40.0,0.0,-32.13484049141141
5.0,0.7,58.0,41.0,0.0,-17.057493627163115
5.0,0.7,58.0,42.0,0.0,2.559424172812656
5.0,0.7,58.0,43.0,0.0,27.912490698201598
5.0,0.7,58.0,44.0,0.0,60.4218255123409
5.0,0.7,58.0,45.0,0.0,101.71273461277436
5.0,0.7,58.0,46.0,0.0,153.5516141895569
5.0,0.7,58.0,47.0,0.0,217.71322056929213
5.0,0.7,58.0,48.0,0.0,295.7557735951677
5.0,0.7,58.0,49.0,0.0,388.6882546760447
5.0,0.7,58.0,50.0,0.0,496.5369626236306
5.0,0.7,58.0,51.0,0.0,617.8616979172863
5.0,0.7,58.0,52.0,0.0,749.3368515011038
5.0,0.7,58.0,53.0,0.0,885.5891125531672
5.0,0.7,58.0,54.0,0.0,1019.5453593775788
5.0,0.7,58.0,55.0,0.0,1143.5521676420503
5.0,0.7,58.0,56.0,0.0,1251.4469642652641
5.0,0.7,58.0,57.0,0.0,1341.5891520814723
5.0,0.7,58.0,58.0,0.0,1420.6527332446221
5.0,0.7,58.0,59.0,0.0,1507.8248880779017
5.0,0.7,58.0,60.0,0.0,1638.9518303270147
5.0,0.7,58.0,61.0,0.0,1869.871631154924
5.0,0.7,58.0,62.0,0.0,2277.0501662853903
5.0,0.7,58.0,63.0,0.0,2950.955713478706
5.0,0.7,58.0,64.0,0.0,3973.723868592666
5.0,0.7,58.0,65.0,0.0,5371.598509847909
5.0,0.7,58.0,66.0,0.0,7044.138718621254
5.0,0.7,58.0,67.0,0.0,8705.216264721987
5.0,0.7,58.0,68.0,0.0,9909.32989991664
5.0,0.7,58.0,69.0,0.0,10220.027569688871
5.0,0.7,58.0,70.0,0.0,9457.519459832021
5.0,0.7,58.0,71.0,0.0,7833.094415186784
5.0,0.7,58.0,72.0,0.0,5832.946313146566
5.0,0.7,58.0,73.0,0.0,3945.864502561233
5.0,0.7,58.0,74.0,0.0,2459.0966914301107
5.0,0.7,58.0,75.0,0.0,1432.4722655925775
5.0,0.7,58.0,76.0,0.0,788.2235083094821
5.0,0.7,58.0,77.0,0.0,409.25847294865184
5.0,0.7,58.0,78.0,0.0,194.45220409517174
5.0,0.7,58.0,79.0,0.0,74.20868331685499
5.0,0.7,58.0,80.0,0.0,6.375527734619856
5.0,0.7,58.0,81.0,0.0,-32.71745712970602
5.0,0.7,58.0,82.0,0.0,-55.83695799993256
5.0,0.7,58.0,83.0,0.0,-69.77272040174834
5.0,0.7,58.0,84.0,0.0,-78.1400371157064
5.0,0.7,58.0,85.0,0.0,-82.8556430830262
5.0,0.7,58.0,86.0,0.0,-84.88609047964634
5.0,0.7,58.0,87.0,0.0,-84.62595985499274
5.0,0.7,58.0,88.0,0.0,-82.0890190102406
5.0,0.7,58.0,89.0,0.0,-76.9930326073506
5.0,0.7,58.0,90.0,0.0,-68.76825720377326
5.0,0.7,58.0,91.0,0.0,-56.49961213691533
5.0,0.7,58.0,92.0,0.0,-38.80772482534014
5.0,0.7,58.0,93.0,0.0,-13.678511779727652
