R1,R2,heri,phi1,phi2,FF
5.0,1.0,58.0,-71.0,0.0,634.3071582750516
5.0,1.0,58.0,-70.0,0.0,542.7588865795411
5.0,1.0,58.0,-69.0,0.0,466.83745556567226
5.0,1.0,58.0,-68.0,0.0,403.74504302416125
5.0,1.0,58.0,-67.0,0.0,351.4313867340726
5.0,1.0,58.0,-66.0,0.0,308.3386593419653
5.0,1.0,58.0,-65.0,0.0,273.23945841069786
5.0,1.0,58.0,-64.0,0.0,245.1367052789161
5.0,1.0,58.0,-63.0,0.0,223.2039027744517
5.0,1.0,58.0,-62.0,0.0,206.75091760213678
5.0,1.0,58.0,-61.0,0.0,195.2053030563215
5.0,1.0,58.0,-60.0,0.0,188.1027729129215
5.0,1.0,58.0,-59.0,0.0,185.08315212843354
5.0,1.0,58.0,-58.0,0.0,185.8902295288921
5.0,1.0,58.0,-57.0,0.0,190.37564418446294
5.0,1.0,58.0,-56.0,0.0,198.50846204379613
5.0,1.0,58.0,-55.0,0.0,210.39366343491594
5.0,1.0,58.0,-54.0,0.0,226.30461939629154
5.0,1.0,58.0,-53.0,0.0,246.7371139473633
5.0,1.0,58.0,-52.0,0.0,272.49604439103246
5.0,1.0,58.0,-51.0,0.0,304.8313416348931
5.0,1.0,58.0,-50.0,0.0,345.6480959729582
5.0,1.0,58.0,-49.0,0.0,397.8293217446313
5.0,1.0,58.0,-48.0,0.0,465.7314903874233
5.0,1.0,58.0,-47.0,0.0,555.9482196606513
5.0,1.0,58.0,-46.0,0.0,678.4949719718343
5.0,1.0,58.0,-45.0,0.0,848.6612064847528
5.0,1.0,58.0,-44.0,0.0,1089.9281938537101
5.0,1.0,58.0,-43.0,0.0,1438.5945670180927
5.0,1.0,58.0,-42.0,0.0,1951.1372128209362
5.0,1.0,58.0,-41.0,0.0,2715.927693863283
5.0,1.0,58.0,-40.0,0.0,3871.791432893987
5.0,1.0,58.0,-39.0,0.0,5637.053930266264
5.0,1.0,58.0,-38.0,0.0,8353.977026397664
5.0,1.0,58.0,-37.0,0.0,12554.09499649285
5.0,1.0,58.0,-36.0,0.0,19047.85819800701
5.0,1.0,58.0,-35.0,0.0,29032.604427471062
5.0,1.0,58.0,-34.0,0.0,44187.889340871756
5.0,1.0,58.0,-33.0,0.0,66675.7746956947
5.0,1.0,58.0,-32.0,0.0,98882.70053793362
5.0,1.0,58.0,-31.0,0.0,142663.5001327412
5.0,1.0,58.0,-30.0,0.0,197897.03450021826
5.0,1.0,58.0,-29.0,0.0,260548.65173539962
5.0,1.0,58.0,-28.0,0.0,321265.12398697645
5.0,1.0,58.0,-27.0,0.0,366322.08578887465
5.0,1.0,58.0,-26.0,0.0,382200.21805693064
5.0,1.0,58.0,-25.0,0.0,362308.6211316947
5.0,1.0,58.0,-24.0,0.0,311312.07552555075
5.0,1.0,58.0,-23.0,0.0,243207.6430192156
5.0,1.0,58.0,-22.0,0.0,174367.79885545673
5.0,1.0,58.0,-21.0,0.0,116925.62117709477
5.0,1.0,58.0,-20.0,0.0,76730.74182886504
5.0,1.0,58.0,-19.0,0.0,56188.95678261443
5.0,1.0,58.0,-18.0,0.0,60843.623410417815
5.0,1.0,58.0,-17.0,0.0,111134.24884521277
5.0,1.0,58.0,-16.0,0.0,263570.91684748826
5.0,1.0,58.0,-15.0,0.0,631758.3218916291
5.0,1.0,58.0,-14.0,0.0,1327622.7382788218
5.0,1.0,58.0,-13.0,0.0,2186697.463463912
5.0,1.0,58.0,-12.0,0.0,2572695.106922124
5.0,1.0,58.0,-11.0,0.0,2067575.5119798912
5.0,1.0,58.0,-10.0,0.0,1163524.842598902
5.0,1.0,58.0,-9.0,0.0,497638.49967998435
5.0,1.0,58.0,-8.0,0.0,179776.6889880357
5.0,1.0,58.0,-7.0,0.0,60962.666583554994
5.0,1.0,58.0,-6.0,0.0,21553.60249103234
5.0,1.0,58.0,-5.0,0.0,8893.788934096732
5.0,1.0,58.0,-4.0,0.0,4733.441240548815
5.0,1.0,58.0,-3.0,0.0,3331.6993845040383
5.0,1.0,58.0,-2.0,0.0,2872.3706575354736
5.0,1.0,58.0,-1.0,0.0,2686.709509325451
5.0,1.0,58.0,0.0,0.0,2463.814083908223
5.0,1.0,58.0,1.0,0.0,2082.5657996315854
5.0,1.0,58.0,2.0,0.0,1575.6294746610151
5.0,1.0,58.0,3.0,0.0,1056.9657125728015
5.0,1.0,58.0,4.0,0.0,627.2508343690558
5.0,1.0,58.0,5.0,0.0,325.4969214345808
5.0,1.0,58.0,6.0,0.0,138.98049858918952
5.0,1.0,58.0,7.0,0.0,34.43341875023249
5.0,1.0,58.0,8.0,0.0,-19.756412208768648
5.0,1.0,58.0,9.0,0.0,-45.7882571350603
5.0,1.0,58.0,10.0,0.0,-56.905635387573696
5.0,1.0,58.0,11.0,0.0,-60.175543171085934
5.0,1.0,58.0,12.0,0.0,-58.91854157294433
5.0,1.0,58.0,13.0,0.0,-54.15794588338002
5.0,1.0,58.0,14.0,0.0,-45.12340945787535
5.0,1.0,58.0,15.0,0.0,-28.760477200767596
5.0,1.0,58.0,16.0,0.0,2.389443163619796
5.0,1.0,58.0,17.0,0.0,66.07954599646175
5.0,1.0,58.0,18.0,0.0,206.1908350675878
5.0,1.0,58.0,19.0,0.0,535.5202547486508
5.0,1.0,58.0,20.0,0.0,1348.8085474672737
5.0,1.0,58.0,21.0,0.0,3393.5706791982125
5.0,1.0,58.0,22.0,0.0,8362.586980782535
5.0,1.0,58.0,23.0,0.0,19163.889732970227
5.0,1.0,58.0,24.0,0.0,38081.7311098692
5.0,1.0,58.0,25.0,0.0,61657.327384628516
5.0,1.0,58.0,26.0,0.0,80239.93157848378
5.0,1.0,58.0,27.0,0.0,89560.49984101315
5.0,1.0,58.0,28.0,0.0,94382.08398899662
5.0,1.0,58.0,29.0,0.0,96696.94173720122
5.0,1.0,58.0,30.0,0.0,94336.94771304245
5.0,1.0,58.0,31.0,0.0,89460.92701787392
5.0,1.0,58.0,32.0,0.0,89633.8602480063
5.0,1.0,58.0,33.0,0.0,101851.19154185317
5.0,1.0,58.0,34.0,0.0,126649.09752821251
5.0,1.0,58.0,35.0,0.0,154979.7041586706
5.0,1.0,58.0,36.0,0.0,170669.289108412
5.0,1.0,58.0,37.0,0.0,163137.95289377333
5.0,1.0,58.0,38.0,0.0,141632.71104097902
5.0,1.0,58.0,39.0,0.0,126555.81083652364
5.0,1.0,58.0,40.0,0.0,132477.1155684593
5.0,1.0,58.0,41.0,0.0,167274.13267498132
5.0,1.0,58.0,42.0,0.0,231891.46637428153
5.0,1.0,58.0,43.0,0.0,309351.5001801819
5.0,1.0,58.0,44.0,0.0,361048.28052260005
5.0,1.0,58.0,45.0,0.0,351328.6913186575
5.0,1.0,58.0,46.0,0.0,281363.89462598594
5.0,1.0,58.0,47.0,0.0,189355.03087490614
5.0,1.0,58.0,48.0,0.0,114294.18570985082
5.0,1.0,58.0,49.0,0.0,69541.85350344413
5.0,1.0,58.0,50.0,0.0,49738.474160697435
5.0,1.0,58.0,51.0,0.0,46856.05874692351
5.0,1.0,58.0,52.0,0.0,57448.330919010245
5.0,1.0,58.0,53.0,0.0,83606.29013635452
5.0,1.0,58.0,54.0,0.0,132996.55887117013
5.0,1.0,58.0,55.0,0.0,220140.0450567103
5.0,1.0,58.0,56.0,0.0,368953.4130248467
5.0,1.0,58.0,57.0,0.0,614745.124187234
5.0,1.0,58.0,58.0,0.0,1001650.8929096604
5.0,1.0,58.0,59.0,0.0,1570158.3875592933
5.0,1.0,58.0,60.0,0.0,2331427.4566943794
5.0,1.0,58.0,61.0,0.0,3233863.6816362767
5.0,1.0,58.0,62.0,0.0,4142525.92332667
5.0,1.0,58.0,63.0,0.0,4860357.684828074
5.0,1.0,58.0,64.0,0.0,5200732.445346947
5.0,1.0,58.0,65.0,0.0,5075697.499918734
5.0,1.0,58.0,66.0,0.0,4538032.962371931
5.0,1.0,58.0,67.0,0.0,3746781.406428213
5.0,1.0,58.0,68.0,0.0,2887017.305495425
5.0,1.0,58.0,69.0,0.0,2100848.944299576
5.0,1.0,58.0,70.0,0.0,1461291.5974213183
5.0,1.0,58.0,71.0,0.0,982733.4422229155
5.0,1.0,58.0,72.0,0.0,645556.5253257947
5.0,1.0,58.0,73.0,0.0,417872.63472875423
5.0,1.0,58.0,74.0,0.0,268485.67839904694
5.0,1.0,58.0,75.0,0.0,172227.42176891997
5.0,1.0,58.0,76.0,0.0,110808.05020971973
5.0,1.0,58.0,77.0,0.0,71753.17547616342
5.0,1.0,58.0,78.0,0.0,46885.54723360292
5.0,1.0,58.0,79.0,0.0,30973.434870277957
5.0,1.0,58.0,80.0,0.0,20715.33347473959
5.0,1.0,58.0,81.0,0.0,14040.846873885532
5.0,1.0,58.0,82.0,0.0,9652.767720075919
5.0,1.0,58.0,83.0,0.0,6735.879876263664
5.0,1.0,58.0,84.0,0.0,4774.882842978237
5.0,1.0,58.0,85.0,0.0,3441.5063982294123
5.0,1.0,58.0,86.0,0.0,2524.707465629361
5.0,1.0,58.0,87.0,0.0,1887.4432584172646
5.0,1.0,58.0,88.0,0.0,1439.783749206785
5.0,1.0,58.0,89.0,0.0,1122.0782883363972
5.0,1.0,58.0,90.0,0.0,894.3327658476878
5.0,1.0,58.0,91.0,0.0,729.4461134794593
5.0,1.0,58.0,92.0,0.0,608.8630494038956
5.0,1.0,58.0,93.0,0.0,519.7524250647749
5.0,1.0,58.0,94.0,0.0,453.15759472784225
5.0,1.0,58.0,95.0,0.0,402.77192473424145
5.0,1.0,58.0,96.0,0.0,364.1201625162923
5.0,1.0,58.0,97.0,0.0,334.00577843362163
5.0,1.0,58.0,98.0,0.0,310.134217848193
5.0,1.0,58.0,99.0,0.0,290.8535581566763
5.0,1.0,58.0,100.0,0.0,274.974249047872
5.0,1.0,58.0,101.0,0.0,261.6426594579962
5.0,1.0,58.0,102.0,0.0,250.25168611777082
5.0,1.0,58.0,103.0,0.0,240.37733944405147
5.0,1.0,58.0,104.0,0.0,231.73405649955941
5.0,1.0,58.0,105.0,0.0,224.1441769690031
5.0,1.0,58.0,106.0,0.0,217.5190198930496
5.0,1.0,58.0,107.0,0.0,211.85066326053806
5.0,1.0,58.0,108.0,0.0,207.21516069229943
5.0,1.0,58.0,109.0,0.0,203.78986039474867
5.0,1.0,58.0,110.0,0.0,201.89015575887333
5.0,1.0,58.0,111.0,0.0,202.03503994545326
5.0,1.0,58.0,112.0,0.0,205.05728141703185
5.0,1.0,58.0,113.0,0.0,212.28455248386015
5.0,1.0,58.0,114.0,0.0,225.8351820863442
5.0,1.0,58.0,115.0,0.0,249.10091815975525
5.0,1.0,58.0,116.0,0.0,287.5366587264405
5.0,1.0,58.0,117.0,0.0,349.95571786767727
5.0,1.0,58.0,118.0,0.0,450.6582638428344
5.0,1.0,58.0,119.0,0.0,612.9302034587025
5.0,1.0,58.0,120.0,0.0,874.784437863045
5.0,1.0,58.0,121.0,0.0,1298.336552462528
5.0,1.0,58.0,122.0,0.0,1984.9825996984227
5.0,1.0,58.0,123.0,0.0,3099.6280816405256
5.0,1.0,58.0,124.0,0.0,4908.554722735849
5.0,1.0,58.0,125.0,0.0,7836.772934091401
5.0,1.0,58.0,126.0,0.0,12550.928770583454
5.0,1.0,58.0,127.0,0.0,20070.867868432422
5.0,1.0,58.0,128.0,0.0,31902.880124720687
5.0,1.0,58.0,129.0,0.0,50164.79933391915
5.0,1.0,58.0,130.0,0.0,77632.48995392623
5.0,1.0,58.0,131.0,0.0,117581.78580658649
5.0,1.0,58.0,132.0,0.0,173254.33338530312
5.0,1.0,58.0,133.0,0.0,246799.9750351018
5.0,1.0,58.0,134.0,0.0,337727.4623498196
5.0,1.0,58.0,135.0,0.0,441271.2415585685
5.0,1.0,58.0,136.0,0.0,547526.8943795504
5.0,1.0,58.0,137.0,0.0,642354.4512556784
5.0,1.0,58.0,138.0,0.0,710485.7156509022
5.0,1.0,58.0,139.0,0.0,740026.5784779692
5.0,1.0,58.0,140.0,0.0,726392.4238399288
5.0,1.0,58.0,141.0,0.0,673690.8079011843
5.0,1.0,58.0,142.0,0.0,592913.9168686289
5.0,1.0,58.0,143.0,0.0,498054.6203222598
5.0,1.0,58.0,144.0,0.0,402118.9951239691
