R1,R2,Eheri,Epara,Etotal
3.6,1.2,2.9586,967.8704,1947.5752
3.7,1.2,-4.3677,906.6401,1795.8094
3.8,1.2,-8.9429,849.3718,1662.972
3.9,1.2,-11.5209,795.2195,1544.3554
4,1.2,-12.708,743.4814,1436.1308
4.1,1.2,-12.9657,693.6046,1335.3464
4.2,1.2,-12.6666,645.1838,1239.7012
4.3,1.2,-12.0683,597.9771,1147.681
4.4,1.2,-11.3058,551.8998,1058.5764
4.5,1.2,-10.4693,507.0309,972.1846
4.6,1.2,-9.6283,463.5636,888.614
3.6,1.3,2.3271,757.1426,1523.5936
3.7,1.3,-4.8399,706.8123,1394.265
3.8,1.3,-9.301,658.0323,1278.8606
3.9,1.3,-11.7862,610.5152,1173.8856
4,1.3,-12.9049,564.1331,1076.6466
4.1,1.3,-13.1187,518.9249,985.375
4.2,1.3,-12.787,475.0588,898.9696
4.3,1.3,-12.1655,432.7703,816.8786
4.4,1.3,-11.3942,392.2603,738.9438
4.5,1.3,-10.552,353.6404,665.0728
4.6,1.3,-9.7023,317.0359,595.2626
3.6,1.4,1.6662,576.451,1159.5668
3.7,1.4,-5.3096,530.9155,1040.5926
3.8,1.4,-9.6346,486.6687,934.799
3.9,1.4,-12.0194,443.9338,839.79
4,1.4,-13.0654,402.9328,753.604
4.1,1.4,-13.2354,363.7992,674.6568
4.2,1.4,-12.8767,326.6304,601.754
4.3,1.4,-12.2377,291.7034,534.456
4.4,1.4,-11.4576,259.3606,472.8908
4.5,1.4,-10.6129,229.7205,416.9894
4.6,1.4,-9.7588,202.7011,366.367
3.6,1.5,1.0002,413.74,831.4808
3.7,1.5,-5.7586,374.0979,725.1614
3.8,1.5,-9.9344,336.3854,633.0332
3.9,1.5,-12.2126,300.8206,552.7908
4,1.5,-13.1864,267.7617,482.7778
4.1,1.5,-13.3137,237.3999,421.545
4.2,1.5,-12.9344,209.6919,367.6462
4.3,1.5,-12.2828,184.4992,319.8672
4.4,1.5,-11.4971,161.6706,277.3528
4.5,1.5,-10.6524,141.0569,239.5042
4.6,1.5,-9.7989,122.5164,205.8372
3.6,1.6,0.3587,276.3566,554.148
3.7,1.6,-6.1731,245.2705,465.8486
3.8,1.6,-10.1896,216.8627,392.967
3.9,1.6,-12.3612,191.0109,332.577
4,1.6,-13.2648,167.5634,282.0676
4.1,1.6,-13.3545,146.3715,239.325
4.2,1.6,-12.9582,127.2892,202.7456
4.3,1.6,-12.301,110.174,171.144
4.4,1.6,-11.514,94.885,143.714
4.5,1.6,-10.6712,81.2809,119.877
4.6,1.6,-9.8202,69.2269,99.173
3.6,1.7,-0.2295,173.6186,346.3192
3.7,1.7,-6.533,151.8379,277.5438
3.8,1.7,-10.3896,132.2037,222.849
3.9,1.7,-12.4565,114.5743,179.3226
4,1.7,-13.2987,98.8099,144.425
4.1,1.7,-13.357,84.7681,116.1082
4.2,1.7,-12.9513,72.3129,92.8206
4.3,1.7,-12.2922,61.3074,73.446
4.4,1.7,-11.5084,51.6201,57.2066
4.5,1.7,-10.6693,43.1206,43.564
4.6,1.7,-9.8234,35.6877,32.0818
3.6,1.8,-0.7337,102.859,202.7832
3.7,1.8,-6.8196,88.3701,149.4618
3.8,1.8,-10.5251,75.5035,108.9066
3.9,1.8,-12.4979,64.1218,78.252
4,1.8,-13.288,54.094,55.036
4.1,1.8,-13.3231,45.2884,37.2844
4.2,1.8,-12.9124,37.5815,23.5134
4.3,1.8,-12.259,30.8572,12.6784
4.4,1.8,-11.4801,25.0065,4.0926
4.5,1.8,-10.6492,19.932,-2.7328
4.6,1.8,-9.8108,15.543,-8.1572
3.6,1.9,-1.1269,56.6551,108.8026
3.7,1.9,-7.0165,47.5353,67.0046
3.8,1.9,-10.5878,39.5455,36.7398
3.9,1.9,-12.4816,32.5679,15.2094
4,1.9,-13.2316,26.4945,0.0626
4.1,1.9,-13.2542,21.2207,-10.5754
4.2,1.9,-12.8459,16.6568,-18.07
4.3,1.9,-12.2,12.7193,-23.3614
4.4,1.9,-11.4312,9.3336,-27.0576
4.5,1.9,-10.611,6.4352,-29.5736
4.6,1.9,-9.7832,3.9663,-31.2002
3.6,2,-1.3871,28.0397,50.531
3.7,2,-7.1087,22.5608,16.6868
3.8,2,-10.5715,17.815,-6.656
3.9,2,-12.4057,13.7176,-22.1876
4,2,-13.1331,10.1908,-32.1508
4.1,2,-13.152,7.1683,-38.2714
4.2,2,-12.7538,4.5884,-41.8384
4.3,2,-12.1223,2.403,-43.6832
4.4,2,-11.3647,0.5669,-44.325
4.5,2,-10.5577,-0.9569,-44.1446
4.6,2,-9.7406,-2.203,-43.3684
3.6,2.1,-1.4994,11.0838,16.17
3.7,2.1,-7.0892,7.9314,-12.494
3.8,2.1,-10.4749,5.2393,-31.421
3.9,2.1,-12.2747,2.9517,-43.1954
4,2.1,-12.9952,1.0265,-49.9278
4.1,2.1,-13.0228,-0.5775,-53.2462
4.2,2.1,-12.6402,-1.8944,-54.3496
4.3,2.1,-12.0238,-2.9567,-54.0086
4.4,2.1,-11.2826,-3.7926,-52.7156
4.5,2.1,-10.49,-4.4323,-50.8246
4.6,2.1,-9.6848,-4.9057,-48.5506
3.6,2.2,-1.4624,1.51,-2.8296
3.7,2.2,-6.9582,-0.1775,-28.1878
3.8,2.2,-10.3012,-1.5684,-44.3416
3.9,2.2,-12.0922,-2.6946,-53.758
4,2.2,-12.8227,-3.5888,-58.4684
4.1,2.2,-12.8704,-4.2786,-60.0388
4.2,2.2,-12.5079,-4.7941,-59.6198
4.3,2.2,-11.9109,-5.1616,-57.9668
4.4,2.2,-11.1873,-5.4074,-55.564
4.5,2.2,-10.4103,-5.5548,-52.7508
4.6,2.2,-9.617,-5.6244,-49.7168
3.6,2.3,-1.288,-3.3706,-11.8932
3.7,2.3,-6.7262,-4.1118,-35.1284
3.8,2.3,-10.0598,-4.6706,-49.5804
3.9,2.3,-11.8658,-5.075,-57.6132
4,2.3,-12.6227,-5.3516,-61.194
4.1,2.3,-12.6986,-5.5234,-61.8412
4.2,2.3,-12.3618,-5.6131,-60.6734
4.3,2.3,-11.7855,-5.6338,-58.4096
4.4,2.3,-11.0819,-5.6024,-55.5324
4.5,2.3,-10.32,-5.5265,-52.333
4.6,2.3,-9.5393,-5.4168,-48.9908
3.6,2.4,-1.0002,-5.2895,-14.5798
3.7,2.4,-6.4139,-5.4864,-36.6284
3.8,2.4,-9.765,-5.5961,-50.2522
3.9,2.4,-11.6068,-5.6338,-57.6948
4,2.4,-12.4032,-5.6156,-60.844
4.1,2.4,-12.5142,-5.551,-61.1588
4.2,2.4,-12.2057,-5.4488,-59.7204
4.3,2.4,-11.6513,-5.3177,-57.2406
4.4,2.4,-10.9672,-5.1609,-54.1906
4.5,2.4,-10.2209,-4.9854,-50.8544
4.6,2.4,-9.4534,-4.7947,-47.403
3.6,2.5,-0.6371,-5.6256,-13.7996
3.7,2.5,-6.0502,-5.5717,-35.3442
3.8,2.5,-9.4377,-5.4801,-48.711
3.9,2.5,-11.329,-5.3547,-56.0254
4,2.5,-12.1718,-5.2055,-59.0982
4.1,2.5,-12.3217,-5.0336,-59.354
4.2,2.5,-12.042,-4.8474,-57.8628
4.3,2.5,-11.5109,-4.6499,-55.3434
4.4,2.5,-10.8455,-4.4461,-52.2742
4.5,2.5,-10.1143,-4.241,-48.9392
4.6,2.5,-9.3606,-4.0366,-45.5156
