R1,R2,Eheri,Epara,Etotal
4,0.8,8.8438,47.7623,130.8998
4.1,0.8,0.1881,35.1396,71.0316
4.2,0.8,-5.6256,24.8083,27.1142
4.3,0.8,-9.328,16.4542,-4.4036
4.4,0.8,-11.4801,9.7625,-26.3954
4.5,0.8,-12.5142,4.453,-41.1508
4.6,0.8,-12.7657,0.2816,-50.4996
4.7,0.8,-12.4966,-2.953,-55.8924
4.8,0.8,-11.9128,-5.4055,-58.4622
4.9,0.8,-11.1666,-7.1965,-59.0594
5,0.8,-10.3514,-8.4224,-58.2504
4,0.9,7.416,23.4864,76.6368
4.1,0.9,-0.9024,15.3913,27.173
4.2,0.9,-6.4609,8.9172,-8.0092
4.3,0.9,-9.9651,3.7864,-32.2876
4.4,0.9,-11.9611,-0.2408,-48.326
4.5,0.9,-12.8685,-3.3537,-58.1814
4.6,0.9,-13.0215,-5.7021,-63.4902
4.7,0.9,-12.6823,-7.4059,-65.541
4.8,0.9,-12.0539,-8.5585,-65.3326
4.9,0.9,-11.2807,-9.2496,-63.622
5,0.9,-10.4511,-9.5669,-60.9382
4,1,6.1442,8.0982,40.7732
4.1,1,-1.8694,3.1405,-1.1966
4.2,1,-7.2021,-0.7425,-30.2934
4.3,1,-10.5288,-3.7368,-49.5888
4.4,1,-12.3806,-5.9856,-61.4936
4.5,1,-13.1689,-7.6035,-67.8826
4.6,1,-13.2297,-8.6852,-70.2892
4.7,1,-12.8246,-9.3173,-69.933
4.8,1,-12.1574,-9.5869,-67.8034
4.9,1,-11.3635,-9.5794,-64.6128
5,1,-10.5238,-9.3712,-60.8376
4,1.1,5.1114,-1.2266,17.9924
4.1,1.1,-2.652,-4.1049,-18.8178
4.2,1.1,-7.8073,-6.2558,-43.7408
4.3,1.1,-10.991,-7.791,-59.546
4.4,1.1,-12.718,-8.8025,-68.477
4.5,1.1,-13.4015,-9.3762,-72.3584
4.6,1.1,-13.3802,-9.6014,-72.7236
4.7,1.1,-12.9224,-9.56,-70.8096
4.8,1.1,-12.2245,-9.3292,-67.5564
4.9,1.1,-11.4149,-8.9718,-63.6032
5,1.1,-10.5696,-8.5372,-59.3528
4,1.2,4.3808,-6.5142,4.4948
4.1,1.2,-3.2025,-7.9678,-28.7456
4.2,1.2,-8.2387,-8.9103,-50.7754
4.3,1.2,-11.3227,-9.4289,-64.1486
4.4,1.2,-12.9563,-9.6102,-71.0456
4.5,1.2,-13.5564,-9.5374,-73.3004
4.6,1.2,-13.4711,-9.2847,-72.4538
4.7,1.2,-12.9726,-8.9122,-69.7148
4.8,1.2,-12.2546,-8.4707,-65.9598
4.9,1.2,-11.4375,-7.9923,-61.7346
5,1.2,-10.5909,-7.5012,-57.366
4,1.3,3.9914,-9.0088,-2.052
4.1,1.3,-3.4891,-9.4741,-32.9046
4.2,1.3,-8.4688,-9.6133,-53.1018
4.3,1.3,-11.504,-9.5104,-65.0368
4.4,1.3,-13.0792,-9.2364,-70.7896
4.5,1.3,-13.6248,-8.852,-72.2032
4.6,1.3,-13.4981,-8.4036,-70.7996
4.7,1.3,-12.977,-7.9214,-67.7508
4.8,1.3,-12.2483,-7.4304,-63.854
4.9,1.3,-11.4318,-6.945,-59.6172
5,1.3,-10.5909,-6.4716,-55.3068
4,1.4,3.9582,-9.612,-3.3912
4.1,1.4,-3.4967,-9.4797,-32.9462
4.2,1.4,-8.4826,-9.1856,-52.3016
4.3,1.4,-11.5184,-8.7899,-63.6534
4.4,1.4,-13.0798,-8.334,-68.9872
4.5,1.4,-13.6047,-7.8512,-70.1212
4.6,1.4,-13.463,-7.3595,-68.571
4.7,1.4,-12.9356,-6.8748,-65.492
4.8,1.4,-12.2107,-6.4051,-61.653
4.9,1.4,-11.4005,-5.9517,-57.5054
5,1.4,-10.5683,-5.519,-53.3112
4,1.5,4.2686,-9.1348,-1.1952
4.1,1.5,-3.2308,-8.7272,-30.3776
4.2,1.5,-8.2782,-8.2657,-49.6442
4.3,1.5,-11.3629,-7.7797,-61.011
4.4,1.5,-12.9538,-7.2887,-66.3926
