R1,R2,Eheri,Epara,Etotal
4.5,-1.2,10.4693,33.1994,108.276
4.6,-1.2,2.9461,17.5917,46.9678
4.7,-1.2,-2.26,6.5318,4.0236
4.8,-1.2,-5.6933,-1.0397,-24.8526
4.9,-1.2,-7.8098,-5.9398,-43.1188
5,-1.2,-8.9806,-8.8984,-53.7192
5.1,-1.2,-9.4847,-10.4806,-58.9
5.2,-1.2,-9.5198,-11.1334,-60.346
5.3,-1.2,-9.2352,-11.1729,-59.2866
5.4,-1.2,-8.7554,-10.8236,-56.6688
5.5,-1.2,-8.1729,-10.2454,-53.1824
4.5,-1.1,11.0437,15.1568,74.4884
4.6,-1.1,3.2201,4.8349,22.5502
4.7,-1.1,-2.1986,-2.1616,-13.1176
4.8,-1.1,-5.778,-6.639,-36.39
4.9,-1.1,-7.9916,-9.2935,-50.5534
5,-1.1,-9.2226,-10.6662,-58.2228
5.1,-1.1,-9.7581,-11.1816,-61.3956
5.2,-1.1,-9.8027,-11.1302,-61.4712
5.3,-1.1,-9.5142,-10.7257,-59.5082
5.4,-1.1,-9.0213,-10.1175,-56.3202
5.5,-1.1,-8.4206,-9.4013,-52.485
4.5,-1,11.3654,3.2615,51.9846
4.6,-1,3.3311,-3.1919,6.9406
4.7,-1,-2.2324,-7.2699,-23.4694
4.8,-1,-5.916,-9.6421,-42.9482
4.9,-1,-8.2023,-10.8211,-54.4514
5,-1,-9.4772,-11.208,-60.3248
5.1,-1,-10.0334,-11.075,-62.2836
5.2,-1,-10.0811,-10.621,-61.5664
5.3,-1,-9.7832,-9.9864,-59.1056
5.4,-1,-9.2734,-9.2577,-55.609
5.5,-1,-8.6526,-8.4983,-51.607
4.5,-0.9,11.4043,-4.1344,37.3484
4.6,-0.9,3.2584,-7.8386,-2.6436
4.7,-0.9,-2.3792,-9.9456,-29.408
4.8,-0.9,-6.1185,-10.9465,-46.367
4.9,-0.9,-8.4463,-11.2155,-56.2162
5,-0.9,-9.7469,-11.0073,-61.0022
5.1,-0.9,-10.3106,-10.5107,-62.2638
5.2,-0.9,-10.3507,-9.851,-61.1048
5.3,-0.9,-10.0385,-9.1141,-58.3822
5.4,-0.9,-9.5086,-8.3522,-54.7388
5.5,-0.9,-8.8696,-7.6028,-50.684
4.5,-0.8,11.1497,-8.351,27.8968
4.6,-0.8,2.9918,-10.2096,-8.452
4.7,-0.8,-2.6495,-11.0456,-32.6892
4.8,-0.8,-6.3944,-11.2067,-47.991
4.9,-0.8,-8.7303,-10.9295,-56.7802
5,-0.8,-10.0316,-10.3934,-60.9132
5.1,-0.8,-10.5878,-9.713,-61.7772
