R1,R2,Eheri,Epara,Etotal
4,1,-1.3802,67.6404,129.76
4.1,1,-6.8591,53.0229,78.6094
4.2,1,-10.2567,40.7088,40.3908
4.3,1,-12.1348,30.4333,12.3274
4.4,1,-12.9293,21.9331,-7.851
4.5,1,-12.992,14.958,-22.052
4.6,1,-12.5932,9.2709,-31.831
4.7,1,-11.9329,4.6674,-38.3968
4.8,1,-11.1415,0.9695,-42.627
4.9,1,-10.3037,-1.964,-45.1428
5,1,-9.4665,-4.2498,-46.3656
4,1.1,-2.3265,36.2207,63.1354
4.1,1.1,-7.5778,26.7115,23.1118
4.2,1.1,-10.7979,18.8735,-5.4446
4.3,1.1,-12.5336,12.4578,-25.2188
4.4,1.1,-13.2159,7.2429,-38.3778
4.5,1.1,-13.1933,3.0345,-46.7042
4.6,1.1,-12.7387,-0.3317,-51.6182
4.7,1.1,-12.0445,-2.9837,-54.1454
4.8,1.1,-11.2331,-5.0293,-54.991
4.9,1.1,-10.3852,-6.5506,-54.642
5,1.1,-9.5412,-7.6235,-53.4118
4,1.2,-3.1436,16.056,19.5376
4.1,1.2,-8.1954,10.1645,-12.4526
4.2,1.2,-11.2581,5.3886,-34.2552
4.3,1.2,-12.8641,1.547,-48.3624
4.4,1.2,-13.4436,-1.51,-56.7944
4.5,1.2,-13.3451,-3.8992,-61.1788
4.6,1.2,-12.8415,-5.7178,-62.8016
4.7,1.2,-12.1191,-7.0466,-62.5696
4.8,1.2,-11.2958,-7.9521,-61.0874
4.9,1.2,-10.4417,-8.5015,-58.7698
5,1.2,-9.5951,-8.7617,-55.9038
4,1.3,-3.7826,3.6929,-7.7446
4.1,1.3,-8.6777,0.1925,-34.3258
4.2,1.3,-11.6137,-2.5742,-51.6032
4.3,1.3,-13.1099,-4.7176,-61.8748
4.4,1.3,-13.6016,-6.3229,-67.0522
4.5,1.3,-13.4423,-7.468,-68.7052
4.6,1.3,-12.9005,-8.2199,-68.0418
4.7,1.3,-12.158,-8.6407,-65.9134
4.8,1.3,-11.3265,-8.7981,-62.9022
4.9,1.3,-10.4724,-8.7517,-59.393
5,1.3,-9.6283,-8.5573,-55.6278
4,1.4,-4.2053,-3.533,-23.8872
4.1,1.4,-8.9943,-5.4431,-46.8634
4.2,1.4,-11.842,-6.8497,-61.0674
4.3,1.4,-13.2579,-7.8236,-68.6788
4.4,1.4,-13.685,-8.4306,-71.6012
4.5,1.4,-13.4812,-8.7347,-71.3942
4.6,1.4,-12.9149,-8.8,-69.2596
4.7,1.4,-12.1637,-8.6864,-66.0276
4.8,1.4,-11.3309,-8.4431,-62.2098
4.9,1.4,-10.4806,-8.1139,-58.1502
5,1.4,-9.6415,-7.7301,-54.0262
4,1.5,-4.3852,-7.3018,-32.1444
4.1,1.5,-9.126,-8.1164,-52.7368
4.2,1.5,-11.9291,-8.5899,-64.8962
4.3,1.5,-13.2999,-8.788,-70.7756
4.4,1.5,-13.6894,-8.7724,-72.3024
4.5,1.5,-13.463,-8.5987,-71.0494
4.6,1.5,-12.8879,-8.3146,-68.1808
4.7,1.5,-12.1367,-7.959,-64.4648
4.8,1.5,-11.3108,-7.5627,-60.3686
4.9,1.5,-10.4674,-7.1457,-56.161
5,1.5,-9.6352,-6.723,-51.9868
4,1.6,-4.3163,-8.7009,-34.667
4.1,1.6,-9.0602,-8.8031,-53.847
4.2,1.6,-11.8645,-8.7159,-64.8898
4.3,1.6,-13.2316,-8.4927,-69.9118
4.4,1.6,-13.6147,-8.1754,-70.8096
4.5,1.6,-13.389,-7.7991,-69.1542
4.6,1.6,-12.8209,-7.3915,-66.0666
4.7,1.6,-12.0809,-6.9707,-62.265
4.8,1.6,-11.2675,-6.5493,-58.1686
4.9,1.6,-10.4354,-6.1354,-54.0124
5,1.6,-9.6139,-5.736,-49.9276
