R1,R2,Eheri,Epara,Etotal
4,0.5,24.7199,59.5033,217.8862
4.1,0.5,11.6425,43.6956,133.9612
4.2,0.5,2.4638,30.7657,71.3866
4.3,0.5,-3.7889,20.3641,25.5726
4.4,0.5,-7.8737,12.1279,-7.239
4.5,0.5,-10.3639,5.6984,-30.0588
4.6,0.5,-11.6871,0.7444,-45.2596
4.7,0.5,-12.1756,-3.0132,-54.7288
4.8,0.5,-12.0878,-5.7968,-59.9448
4.9,0.5,-11.6288,-7.7765,-62.0682
5,0.5,-10.9603,-9.0865,-62.0142
4,0.6,22.6724,31.6912,154.072
4.1,0.6,10.0729,21.1035,82.4986
4.2,0.6,1.2579,12.7092,30.45
4.3,0.6,-4.717,6.1486,-6.5708
4.4,0.6,-8.5892,1.0893,-32.1782
4.5,0.6,-10.9158,-2.7536,-49.1704
4.6,0.6,-12.111,-5.6074,-59.6588
4.7,0.6,-12.4985,-7.6467,-65.2874
4.8,0.6,-12.3349,-9.005,-67.3496
4.9,0.6,-11.8238,-9.8027,-66.9006
5,0.6,-11.1189,-10.1551,-64.7858
4,0.7,20.6551,13.3018,109.224
4.1,0.7,8.5422,6.6089,47.3866
4.2,0.7,0.0859,1.4423,3.2282
4.3,0.7,-5.6168,-2.4889,-27.445
4.4,0.7,-9.2803,-5.4143,-47.9498
4.5,0.7,-11.4406,-7.5119,-60.7862
4.6,0.7,-12.5042,-8.9197,-67.8562
4.7,0.7,-12.7882,-9.7581,-70.669
4.8,0.7,-12.5474,-10.1413,-70.4722
4.9,0.7,-11.9837,-10.177,-68.2888
5,0.7,-11.2475,-9.9651,-64.9202
4,0.8,18.8002,1.8016,78.804
4.1,0.8,7.1482,-2.218,24.1568
4.2,0.8,-0.9801,-5.2149,-14.3502
4.3,0.8,-6.4383,-7.3727,-40.4986
4.4,0.8,-9.9099,-8.8313,-57.3022
4.5,0.8,-11.9147,-9.7099,-67.0786
4.6,0.8,-12.8503,-10.1237,-71.6486
4.7,0.8,-13.0328,-10.1852,-72.5016
4.8,0.8,-12.7186,-9.9895,-70.8534
4.9,0.8,-12.1078,-9.6246,-67.6804
5,0.8,-11.3453,-9.1555,-63.6922
4,0.9,17.2255,-5.0117,58.8786
4.1,0.9,5.9831,-7.2291,9.4742
4.2,0.9,-1.8706,-8.7372,-24.9568
4.3,0.9,-7.1319,-9.6584,-47.8444
4.4,0.9,-10.4461,-10.1056,-61.9956
4.5,0.9,-12.3154,-10.1902,-69.642
4.6,0.9,-13.1344,-10.0121,-72.5618
4.7,0.9,-13.2247,-9.6578,-72.2144
4.8,0.9,-12.8447,-9.1944,-69.7676
