a,b,a_step1,b_step1,theta,A1,A2,R3t,R3p,E,E_p,E_t1,E_t2
8.186275704191601,7.193392113249653,7.142486255152171,5.978703044554255,25.0,-29.250094674998913,-39.59288562173898,-4.0,-4.0,-62.883186228,-8.066470367,-9.809856927,-13.56526582
8.235600154514405,7.138269404762076,7.142486255152171,5.978703044554255,25.0,-29.857108454469262,-39.04765708918774,-4.0,-3.9,-62.978934224,-8.154191245,-9.809856927,-13.52541894
8.28583791206645,7.084129452160111,7.142486255152171,5.978703044554255,25.0,-30.45682811916665,-38.48264412006183,-4.0,-3.8,-62.901483176,-8.233918901,-9.809856927,-13.40696576
8.336972466371572,7.030994957682896,7.142486255152171,5.978703044554255,25.0,-31.049255310593615,-37.89731334997558,-4.0,-3.7,-62.668895328000005,-8.305236667,-9.809856927,-13.21935407
8.388987418338264,6.978888886847413,7.142486255152171,5.978703044554255,25.0,-31.634397867168232,-37.29116077339614,-4.0,-3.6,-62.30878114800001,-8.367970097,-9.809856927,-12.97656355
8.441866494149128,6.927834444829229,7.142486255152171,5.978703044554255,25.0,-32.212269513455375,-36.663712923268406,-4.0,-3.5,-61.85669909800001,-8.422564722,-9.809856927,-12.6959279
8.495593558135752,6.877855050447219,7.142486255152171,5.978703044554255,25.0,-32.78288955161441,-36.01452792706376,-4.0,-3.4,-61.353323132,-8.469757239,-9.809856927,-12.3970474
8.550152624663356,6.828974307680643,7.142486255152171,5.978703044554255,25.0,-33.34628255617866,-35.34319643248235,-4.0,-3.3,-60.839397465999994,-8.510374706,-9.809856927,-12.0994671
8.605527869052409,6.781215974658403,7.142486255152171,5.978703044554255,25.0,-33.902478073169114,-34.64934239716922,-4.0,-3.2,-60.353392216,-8.545506481,-9.809856927,-11.8213327
8.661703637566786,6.734603930073566,7.142486255152171,5.978703044554255,25.0,-34.451510324435965,-33.93262373788146,-4.0,-3.1,-59.931037826,-8.576840566,-9.809856927,-11.57882142
8.718664456500072,6.689162136991621,7.142486255152171,5.978703044554255,25.0,-34.993417918016135,-33.192732835537136,-4.0,-3.0,-59.603274295999995,-8.606710041,-9.809856927,-11.38507018
8.776395040393162,6.644914604038362,7.142486255152171,5.978703044554255,25.0,-35.52824356519432,-32.42939689346097,-4.0,-2.9,-59.394383754,-8.63767766,-9.809856927,-11.24965729
8.834880299417627,6.601885343972759,7.142486255152171,5.978703044554255,25.0,-36.05603380485902,-31.64237814689784,-4.0,-2.8,-59.321881241999996,-8.672429164,-9.809856927,-11.17865453
8.894105345960194,6.560098329671767,7.142486255152171,5.978703044554255,25.0,-36.57683873565461,-30.831473922478718,-4.0,-2.7,-59.39462972599999,-8.713642766,-9.809856927,-11.17381517
8.954055500444348,6.519577447577589,7.142486255152171,5.978703044554255,25.0,-37.09071175634515,-29.99651654678609,-4.0,-2.6,-59.613355868,-8.763646527,-9.809856927,-11.23317448
9.0147162964254,6.480346448683305,7.142486255152171,5.978703044554255,25.0,-37.597709314726245,-29.137373103477643,-4.0,-2.5,-59.97057974,-8.823903803,-9.809856927,-11.35152914
9.076073484995463,6.442428897160008,7.142486255152171,5.978703044554255,25.0,-38.09789066534758,-28.25394503859105,-4.0,-2.4,-60.449032278000004,-8.894782312,-9.809856927,-11.5198769
9.138113038534689,6.405848116757243,7.142486255152171,5.978703044554255,25.0,-38.591317636240326,-27.346167613679693,-4.0,-2.3,-61.023118592,-8.975517749,-9.809856927,-11.72618462
9.200821153844785,6.370627135138449,7.142486255152171,5.978703044554255,25.0,-39.078054404781426,-26.414009206334395,-4.0,-2.2,-61.659318344,-9.064343045,-9.809856927,-11.9554592
9.26418425470034,6.336788626343971,7.142486255152171,5.978703044554255,25.0,-39.55816728276995,-25.45747045744731,-4.0,-2.1,-62.317011576,-9.158606341,-9.809856927,-12.19004252
9.328188993852864,6.304354851605541,7.142486255152171,5.978703044554255,25.0,-40.031724510738606,-24.476583264291495,-4.0,-2.0,-62.953467352000004,-9.255062159,-9.809856927,-12.41181459
