R1,R2,Eheri,Epara,Etotal
3.8,1,6.8804,308.8317,645.185
3.9,1,-1.4329,269.6078,533.484
4,1,-6.8829,233.5746,439.6176
4.1,1,-10.2128,200.9415,361.0318
4.2,1,-12.0044,171.6727,295.3278
4.3,1,-12.7193,145.5695,240.2618
4.4,1,-12.7287,122.4173,193.9198
4.5,1,-12.2991,102.015,154.8336
4.6,1,-11.6219,84.1667,121.8458
4.7,1,-10.833,68.6682,94.0044
4.8,1,-10.0096,55.3156,70.5928
3.8,1.1,5.7278,208.8585,440.6282
3.9,1.1,-2.3089,178.757,348.2784
4,1.1,-7.5527,151.8761,273.5414
4.1,1.1,-10.7226,127.9959,213.1014
4.2,1.1,-12.3907,106.9188,164.2748
4.3,1.1,-13.009,88.4441,124.8522
4.4,1.1,-12.9463,72.3712,92.9572
4.5,1.1,-12.4665,58.4974,67.1288
4.6,1.1,-11.7598,46.6103,46.1814
4.7,1.1,-10.9515,36.501,29.196
4.8,1.1,-10.1137,27.9607,15.4666
3.8,1.2,4.6028,133.7545,285.9202
3.9,1.2,-3.1492,111.9876,211.3784
4,1.2,-8.1835,92.8739,153.0138
4.1,1.2,-11.1917,76.214,107.6612
4.2,1.2,-12.7324,61.8041,72.6786
4.3,1.2,-13.2554,49.4354,45.8492
4.4,1.2,-13.1231,38.8978,25.3032
4.5,1.2,-12.5995,29.9799,9.5618
4.6,1.2,-11.8664,22.4818,-2.502
4.7,1.2,-11.0431,16.2115,-11.7494
4.8,1.2,-10.194,10.9929,-18.7902
3.8,1.3,3.5706,80.2016,174.6856
3.9,1.3,-3.9099,65.243,114.8464
4,1.3,-8.7454,52.3783,69.775
4.1,1.3,-11.5987,41.3967,36.3986
4.2,1.3,-13.0171,32.0907,12.113
4.3,1.3,-13.4504,24.2521,-5.2974
4.4,1.3,-13.2554,17.6883,-17.645
4.5,1.3,-12.6936,12.2207,-26.333
4.6,1.3,-11.9423,7.6894,-32.3904
4.7,1.3,-11.1083,3.9594,-36.5144
4.8,1.3,-10.2529,0.9149,-39.1818
3.8,1.4,2.6908,44.0041,98.7714
3.9,1.4,-4.5483,34.2943,50.3954
4,1.4,-9.2082,26.1039,15.375
4.1,1.4,-11.9235,19.2354,-9.2232
4.2,1.4,-13.2335,13.5069,-25.9202
4.3,1.4,-13.5872,8.7529,-36.843
4.4,1.4,-13.3401,4.8324,-43.6956
4.5,1.4,-12.7487,1.6242,-47.7464
4.6,1.4,-11.9837,-0.9726,-49.88
4.7,1.4,-11.1459,-3.0426,-50.6688
4.8,1.4,-10.288,-4.6561,-50.4642
3.8,1.5,2.0155,20.8558,49.7736
3.9,1.5,-5.028,14.8551,9.5982
4,1.5,-9.5456,9.8691,-18.4442
4.1,1.5,-12.1499,5.7517,-37.0962
4.2,1.5,-13.3702,2.3735,-48.7338
4.3,1.5,-13.6605,-0.3694,-55.3808
4.4,1.5,-13.3752,-2.5661,-58.633
4.5,1.5,-12.7644,-4.288,-59.6336
4.6,1.5,-11.9937,-5.5999,-59.1746
4.7,1.5,-11.1559,-6.5531,-57.7298
4.8,1.5,-10.3006,-7.2002,-55.6028
3.8,1.6,1.5821,6.7174,19.7632
3.9,1.6,-5.3196,3.1624,-14.9536
4,1.6,-9.7375,0.2684,-38.4132
4.1,1.6,-12.2621,-2.0587,-53.1658
4.2,1.6,-13.4203,-3.8942,-61.4696
4.3,1.6,-13.6687,-5.3039,-65.2826
4.4,1.6,-13.3608,-6.3424,-66.128
