X,Y,Z,R
0,1.406899556,0,1.7
0,0.727610556,1.224045,1.7
0,1.406382556,2.463334,1.7
0,0.726820556,3.671304,1.7
0,1.408698556,4.933606,1.7
0,0.716018556,6.106311,1.7
0,-1.406900444,0,1.7
0,-0.727610444,1.224045,1.7
0,-1.406382444,2.463334,1.7
0,-0.726820444,3.671304,1.7
0,-1.408698444,4.933606,1.7
0,-0.716018444,6.106311,1.7
0,0.727610556,-1.224045,1.7
0,1.406382556,-2.463334,1.7
0,0.726820556,-3.671304,1.7
0,1.408698556,-4.933606,1.7
0,0.716018556,-6.106311,1.7
0,-0.727610444,-1.224045,1.7
0,-1.406382444,-2.463334,1.7
0,-0.726820444,-3.671304,1.7
0,-1.408698444,-4.933606,1.7
0,-0.716018444,-6.106311,1.7
0,2.492499556,0,1.2
0,2.492082556,2.46394,1.2
0,2.493698556,4.933242,1.2
0,1.245242556,7.052459,1.2
0,-2.492500444,0,1.2
0,-2.492082444,2.46394,1.2
0,-2.493698444,4.933242,1.2
0,-1.245242444,7.052459,1.2
0,2.492082556,-2.46394,1.2
0,2.493698556,-4.933242,1.2
0,1.245242556,-7.052459,1.2
0,-2.492082444,-2.46394,1.2
0,-2.493698444,-4.933242,1.2
0,-1.245242444,-7.052459,1.2
