R1,R2,heri,phi,E_mono_i,E_mono_t,E_t1,E_t3,E_p,E
4.9,0.7,59.0,-26.0,-1059765.3319867614,-1059765.372260353,-12.226498966338113,-12.08020756044425,-6.178268931573257,-2119591.6741980314
4.9,0.8,59.0,-26.0,-1059765.3327272232,-1059765.3733333952,-12.2717612630222,-12.216515282401815,-5.755659772315994,-2119591.193933254
4.9,0.9,59.0,-26.0,-1059765.3330723539,-1059765.3743562365,-12.271905590081587,-12.305107143940404,-5.234506441978738,-2119590.3304669424
5.2,1.1,59.0,87.0,-1059767.997115858,-1059768.001822183,-12.211018295027316,-12.596246683737263,-3.192011592676863,-2119591.9974911837
4.8,0.9,59.0,-26.0,-1059765.3331225545,-1059765.3744754635,-11.924654106143862,-11.518353931372985,-5.540103812003508,-2119588.673821717
4.9,1.0,59.0,-26.0,-1059765.3329154763,-1059765.3751657247,-12.221842842176557,-12.340316730784252,-4.653858888661489,-2119589.140118124
4.9,1.1,59.0,87.0,-1059767.9972978358,-1059768.002706972,-13.168818183476105,-12.89329109271057,-4.108333070296794,-2119596.3408895005
5.2,0.7,59.0,87.0,-1059767.9971284082,-1059767.998082223,-12.56450095307082,-12.715580260613933,-5.438403266482055,-2119597.4321795916
4.9,1.2,59.0,87.0,-1059767.9971409584,-1059768.002443418,-13.026097308844328,-12.880270260153338,-3.5487698533106595,-2119594.909859221
5.2,0.9,59.0,87.0,-1059767.9973480366,-1059767.9999835785,-12.458025055704638,-12.72459757886827,-4.283301684074104,-2119594.9291802524
5.2,0.8,59.0,87.0,-1059767.9972539102,-1059767.9988979863,-12.528958786278963,-12.736432417761534,-4.868266505887732,-2119596.2634673165
5.1,0.5,59.0,87.0,-1059767.9968334783,-1059767.997875145,-12.96904409932904,-12.836708515649661,-6.452321374090388,-2119600.5108566014
5.0,1.2,59.0,87.0,-1059767.9969840809,-1059768.002405767,-13.038245902163908,-13.195217528846115,-3.2567266994155943,-2119594.979770109
5.0,1.1,59.0,87.0,-1059767.997184884,-1059768.0024685182,-13.204435650724918,-13.263340014731511,-3.786721644923091,-2119596.508648023
4.8,0.7,59.0,28.0,-1059765.4598732993,-1059765.4188968963,-13.84127672482282,-9.413578714709729,-6.89456532150507,-2119591.177611718
5.0,1.0,59.0,87.0,-1059767.9971974343,-1059768.0018849338,-13.31404282269068,-13.277283286908641,-4.359744952060282,-2119597.901224491
5.0,0.5,59.0,87.0,-1059767.996569924,-1059767.9978500446,-13.051191433565691,-12.637894522631541,-6.508219965035096,-2119600.389031811
5.0,0.9,59.0,87.0,-1059767.9970091812,-1059768.0008181669,-13.366860339185223,-13.239802114665508,-4.94536865898408,-2119599.101889574
5.2,1.2,59.0,87.0,-1059767.9967644524,-1059768.0020982872,-12.035484922351316,-12.476906832307577,-2.734142646426335,-2119590.491931542
5.0,0.7,59.0,87.0,-1059767.9964632473,-1059767.99849638,-13.307228063931689,-13.022357349283993,-5.990850519854575,-2119600.6358314934
4.8,0.8,59.0,-26.0,-1059765.3328841007,-1059765.373440072,-11.893761788960546,-11.364664182066917,-6.009217737708241,-2119589.24161159
5.0,0.6,59.0,87.0,-1059767.9963942214,-1059767.9978814202,-13.201404777122661,-12.849233615677804,-6.353519924683496,-2119600.8025922766
5.0,0.8,59.0,87.0,-1059767.9967142516,-1059767.9995756971,-13.363747889641672,-13.153764218557626,-5.508772237692028,-2119600.0488586407
5.2,0.8,60.0,88.0,-1059767.99442384,-1059767.996312645,-12.53243519202806,-12.839249931275845,-4.591176914982498,-2119595.9164605616
5.2,0.9,60.0,88.0,-1059767.99442384,-1059767.9975551148,-12.450005478458479,-12.826536579057574,-4.0042354366742074,-2119594.5535339434
5.2,0.6,60.0,88.0,-1059767.9941289101,-1059767.9944677658,-12.590322989504784,-12.763609875692055,-5.752377894939855,-2119598.201218196
5.2,1.0,60.0,88.0,-1059767.9942355868,-1059767.998577956,-12.33210889971815,-12.777710025431588,-3.451254799030721,-2119593.1149609913
5.2,0.7,60.0,88.0,-1059767.994298338,-1059767.9951894023,-12.579178411979228,-12.81772006326355,-5.189219045685604,-2119597.161722782
5.2,1.1,60.0,88.0,-1059767.9938841814,-1059767.9991176147,-12.179021559888497,-12.691151296021417,-2.9632465473841876,-2119591.6598406024
5.0,0.8,60.0,88.0,-1059767.9940347837,-1059767.9970782073,-13.316816416801885,-13.131989621324465,-5.280421348987147,-2119599.449567765
5.1,1.2,60.0,88.0,-1059767.9936331774,-1059767.9991364402,-12.583194476086646,-13.042192940600216,-2.775194350630045,-2119592.793933152
4.8,0.5,60.0,29.0,-1059765.507407182,-1059765.4702272145,-13.647733815247193,-9.074535062070936,-7.341176738962531,-2119591.104525629
4.8,0.6,60.0,28.0,-1059765.4595156186,-1059765.4194930308,-13.676172568229958,-9.174905285937712,-7.228708121459931,-2119591.0385806006
4.8,0.7,60.0,-26.0,-1059765.3322377654,-1059765.373427522,-11.647363712545484,-10.972200602991506,-6.320996081456542,-2119588.586786081
4.8,0.8,60.0,-25.0,-1059765.2937651272,-1059765.334910958,-11.772658634232357,-11.29456504038535,-5.883339232066646,-2119588.5298018986
4.8,0.9,60.0,-25.0,-1059765.2939659306,-1059765.336235004,-11.803783130133525,-11.41651533334516,-5.341685149818659,-2119587.754168161
4.8,1.0,60.0,-25.0,-1059765.2935392237,-1059765.3372201947,-11.770299196476117,-11.473085360135883,-4.745305921183899,-2119586.608140374
4.8,1.1,60.0,-25.0,-1059765.2925414827,-1059765.3377535783,-11.667487957980484,-11.459035411477089,-4.151806963374838,-2119585.1869557267
4.8,1.2,60.0,-26.0,-1059765.3309388196,-1059765.3755924313,-11.360346913104877,-11.347621010616422,-3.58188983052969,-2119583.2862467594
4.9,0.5,60.0,29.0,-1059765.507350706,-1059765.4703589915,-14.406048274366185,-9.717506908113137,-7.322928748326376,-2119593.870677559
4.9,0.6,60.0,29.0,-1059765.5076142603,-1059765.4694240016,-14.534920003497973,-9.815875376109034,-7.026210644748062,-2119593.7310503107
4.9,0.7,60.0,-26.0,-1059765.332030687,-1059765.3733522205,-12.139444504166022,-12.024923929013312,-6.076053828001022,-2119591.1862274297
4.9,0.8,60.0,-25.0,-1059765.2936145249,-1059765.33472898,-12.287417637184262,-12.166283106664196,-5.579950697021559,-2119590.6956463866
4.9,0.9,60.0,-25.0,-1059765.293934555,-1059765.3360467511,-12.285415880382061,-12.230759759200737,-5.000131456879899,-2119589.6625954993
4.9,1.0,60.0,-25.0,-1059765.2936710007,-1059765.3370821427,-12.229824769543484,-12.239017791347578,-4.400206796824932,-2119588.368851859
5.2,0.5,60.0,88.0,-1059767.9940034084,-1059767.9943297135,-12.566540360450745,-12.678017511963844,-6.232272442430258,-2119598.9419937516
4.9,1.1,60.0,88.0,-1059767.9942355868,-1059767.9997890505,-13.00679510133341,-12.760240146890283,-3.851072795689106,-2119595.230240725
5.0,0.5,60.0,88.0,-1059767.9933758983,-1059767.994298338,-13.04600192583166,-12.60118518746458,-6.614344456233084,-2119600.5107373754
5.0,0.6,60.0,88.0,-1059767.9934700248,-1059767.9947124945,-13.184411806985736,-12.81899390835315,-6.296836946392432,-2119600.5886678426
5.0,0.7,60.0,88.0,-1059767.993733579,-1059767.9957227858,-13.276335746981204,-12.99718792294152,-5.832529746927321,-2119600.2015631986
5.0,0.9,60.0,88.0,-1059767.9942355868,-1059767.9984148035,-13.302101307548583,-13.219583742320538,-4.683395784813911,-2119598.40281206
5.0,1.0,60.0,88.0,-1059767.994248137,-1059767.9993560687,-13.230176111217588,-13.256437404546887,-4.093724637757987,-2119597.1542805126
5.0,1.1,60.0,88.0,-1059767.9940787095,-1059767.999625898,-13.100463519105688,-13.239400507882237,-3.5328875752165914,-2119595.7392078117
5.0,1.2,60.0,88.0,-1059767.9938151552,-1059767.9991615405,-12.913377687335014,-13.165668083122,-3.034657185198739,-2119594.220382607
