a,b,theta,E,E_p,E_t,machine_type,status,file_name
6.6,7.5,5.0,-25.93073629238643,-0.3756889820797369,-6.294839582056737,1,Done,anthracene_theta=5_a=6.6_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.1,0.0,-23.35505121620372,-5.240944694727659,-3.2182904566871,2,Done,anthracene_theta=0_a=3.6_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.6,9.5,0.0,-26.56046767788939,-1.0960503817768767,-6.092091728583911,1,Done,anthracene_theta=0_a=5.6_b=9.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.5,0.0,-25.61006613192148,-0.3608546456089243,-6.222089210175909,2,Done,anthracene_theta=0_a=6.6_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.2,5.0,-23.34847491141409,-5.447512201499194,-3.1133626271039248,1,Done,anthracene_theta=5_a=3.6_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.6,5.0,-25.7936805782374,-0.3756889820797369,-6.260575653519481,1,Done,anthracene_theta=5_a=6.6_b=7.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.2,0.0,-23.00283738272265,-5.240944694727659,-3.1302369983168323,2,Done,anthracene_theta=0_a=3.6_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.6,9.6,0.0,-26.54023675550707,-1.0960503817768767,-6.087033997988328,1,Done,anthracene_theta=0_a=5.6_b=9.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.3,5.0,-26.06647674529813,-0.5264608096331358,-6.253388781507965,1,Done,anthracene_theta=5_a=6.3_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.6,0.0,-25.488434613915164,-0.3608546456089243,-6.191681330674328,2,Done,anthracene_theta=0_a=6.6_b=7.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.3,5.0,-22.95549802854657,-5.447512201499194,-3.0151184063870464,1,Done,anthracene_theta=5_a=3.6_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.3,0.0,-22.62028720695525,-5.240944694727659,-3.034599454374984,2,Done,anthracene_theta=0_a=3.6_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.6,9.7,0.0,-26.46391145908273,-1.0960503817768767,-6.067952673882246,1,Done,anthracene_theta=0_a=5.6_b=9.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.4,5.0,-26.15387131879106,-0.5264608096331358,-6.2752374248811975,1,Done,anthracene_theta=5_a=6.3_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.4,0.0,-25.88311832374893,-0.5085027284221724,-6.216528216726147,2,Done,anthracene_theta=0_a=6.3_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.0,5.0,-21.95440120575949,-4.508813717518933,-3.234193442680408,1,Done,anthracene_theta=5_a=3.5_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.0,0.0,-21.523153743240986,-4.280096362810582,-3.2407402544049546,2,Done,anthracene_theta=0_a=3.5_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
