a,b,theta,A1,A2,E,E_p,E_t,machine_type,status,file_name
5.8,7.3,64.0,0,1,-42.56981153227389,-5.674870369723068,-7.805017698206939,2,Done,anthracene_A1=0_A2=1_a=5.8_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.3,64.0,0,2,-42.45309467287735,-5.674861584790051,-7.77584287582431,2,Done,anthracene_A1=0_A2=2_a=5.8_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.3,64.0,0,4,-41.972715687472366,-5.674821424065157,-7.6557682098355135,1,Done,anthracene_A1=0_A2=4_a=5.8_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.4,64.0,0,10,-39.55947788991035,-5.674759927904232,-7.052489508525468,1,Done,anthracene_A1=0_A2=10_a=5.8_b=7.4_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.3,64.0,0,5,-41.61355406371877,-5.6747938136104485,-7.565991609124468,1,Done,anthracene_A1=0_A2=5_a=5.8_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.3,64.5,0,3,-42.186977721517906,-5.556440407410264,-7.768524226674343,2,Done,anthracene_A1=0_A2=3_a=5.8_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.3,64.5,0,1,-42.482246276689686,-5.5564579776255405,-7.842332580359652,2,Done,anthracene_A1=0_A2=1_a=5.8_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.3,64.5,0,2,-42.374693572986864,-5.5564529575640345,-7.815446914464703,2,Done,anthracene_A1=0_A2=2_a=5.8_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.3,64.5,0,4,-41.93097372190096,-5.556422837194988,-7.704532011877745,1,Done,anthracene_A1=0_A2=4_a=5.8_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.4,64.5,0,10,-39.632354391505935,-5.556355066015384,-7.129911064868794,1,Done,anthracene_A1=0_A2=10_a=5.8_b=7.4_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.3,64.5,0,5,-41.59811731800436,-5.556400246801786,-7.621329206100199,1,Done,anthracene_A1=0_A2=5_a=5.8_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.4,63.5,0,3,-42.4402809184976,-5.758863838389517,-7.73063831042964,2,Done,anthracene_A1=0_A2=3_a=5.8_b=7.4_theta=63.5_cx=0_cy=0_cz=0.log
5.8,7.4,63.5,0,2,-42.60737428162247,-5.758877643616871,-7.772404748597182,2,Done,anthracene_A1=0_A2=2_a=5.8_b=7.4_theta=63.5_cx=0_cy=0_cz=0.log
5.8,7.4,63.5,0,1,-42.71165389288217,-5.7588851735927165,-7.798470886424184,2,Done,anthracene_A1=0_A2=1_a=5.8_b=7.4_theta=63.5_cx=0_cy=0_cz=0.log
5.8,7.4,63.5,0,4,-42.204254327109076,-5.758845012984239,-7.6716410752851525,1,Done,anthracene_A1=0_A2=4_a=5.8_b=7.4_theta=63.5_cx=0_cy=0_cz=0.log
5.8,7.5,63.5,0,10,-40.0317971361801,-5.758832462714054,-7.128533052687999,1,Done,anthracene_A1=0_A2=10_a=5.8_b=7.5_theta=63.5_cx=0_cy=0_cz=0.log
