,R1,R2,heri,R3t,R3p,phi1,phi2,FF
0,5.0,0.7,58.0,1.5,-0.5,-180.0,-180.0,425.9673635588269
1,5.0,0.7,58.0,1.5,-0.5,-180.0,-175.0,630.7593507205443
2,5.0,0.7,58.0,1.5,-0.5,-180.0,-170.0,685.997396131804
3,5.0,0.7,58.0,1.5,-0.5,-180.0,-165.0,541.4153527641678
4,5.0,0.7,58.0,1.5,-0.5,-180.0,-160.0,322.3630110974385
5,5.0,0.7,58.0,1.5,-0.5,-180.0,-155.0,161.68786301815047
6,5.0,0.7,58.0,1.5,-0.5,-180.0,-150.0,100.28521522982477
7,5.0,0.7,58.0,1.5,-0.5,-180.0,-145.0,158.766676931447
8,5.0,0.7,58.0,1.5,-0.5,-180.0,-140.0,453.57351765521986
9,5.0,0.7,58.0,1.5,-0.5,-180.0,-135.0,1229.2243448419024
10,5.0,0.7,58.0,1.5,-0.5,-180.0,-130.0,2314.1203885922864
11,5.0,0.7,58.0,1.5,-0.5,-180.0,-125.0,2566.8719415261903
12,5.0,0.7,58.0,1.5,-0.5,-180.0,-120.0,1833.2659688744534
13,5.0,0.7,58.0,1.5,-0.5,-180.0,-115.0,1175.8812150364204
14,5.0,0.7,58.0,1.5,-0.5,-180.0,-110.0,1003.254893096721
15,5.0,0.7,58.0,1.5,-0.5,-180.0,-105.0,1397.2039335192926
16,5.0,0.7,58.0,1.5,-0.5,-180.0,-100.0,2043.5510379009977
17,5.0,0.7,58.0,1.5,-0.5,-180.0,-95.0,1859.7646210637186
18,5.0,0.7,58.0,1.5,-0.5,-180.0,-90.0,932.553750153743
19,5.0,0.7,58.0,1.5,-0.5,-180.0,-85.0,305.892134795768
20,5.0,0.7,58.0,1.5,-0.5,-180.0,-80.0,101.2494441882903
21,5.0,0.7,58.0,1.5,-0.5,-180.0,-75.0,51.94448498073083
22,5.0,0.7,58.0,1.5,-0.5,-180.0,-70.0,25.43577060153545
23,5.0,0.7,58.0,1.5,-0.5,-180.0,-65.0,15.693493828498635
24,5.0,0.7,58.0,1.5,-0.5,-180.0,-60.0,37.119654826247476
25,5.0,0.7,58.0,1.5,-0.5,-180.0,-55.0,95.45516566926143
26,5.0,0.7,58.0,1.5,-0.5,-180.0,-50.0,226.73320309489281
27,5.0,0.7,58.0,1.5,-0.5,-180.0,-45.0,775.4874056384143
28,5.0,0.7,58.0,1.5,-0.5,-180.0,-40.0,6017.212133810481
29,5.0,0.7,58.0,1.5,-0.5,-180.0,-35.0,91388.5206557975
30,5.0,0.7,58.0,1.5,-0.5,-180.0,-30.0,1745424.669344662
31,5.0,0.7,58.0,1.5,-0.5,-180.0,-25.0,7675502.413332827
32,5.0,0.7,58.0,1.5,-0.5,-180.0,-20.0,2610251344.545237
33,5.0,0.7,58.0,1.5,-0.5,-180.0,-15.0,1534158722403197.8
34,5.0,0.7,58.0,1.5,-0.5,-180.0,-10.0,79884001887.42018
35,5.0,0.7,58.0,1.5,-0.5,-180.0,-5.0,982387039.6589664
36,5.0,0.7,58.0,1.5,-0.5,-180.0,0.0,2542432012.8048263
37,5.0,0.7,58.0,1.5,-0.5,-180.0,5.0,59660545624257.58
38,5.0,0.7,58.0,1.5,-0.5,-180.0,10.0,1.5518686157093548e+19
39,5.0,0.7,58.0,1.5,-0.5,-180.0,15.0,33341411998600.16
40,5.0,0.7,58.0,1.5,-0.5,-180.0,20.0,8230044560.051166
41,5.0,0.7,58.0,1.5,-0.5,-180.0,25.0,174750180.67844003
42,5.0,0.7,58.0,1.5,-0.5,-180.0,30.0,421331275662.7244
43,5.0,0.7,58.0,1.5,-0.5,-180.0,35.0,7974978108.505152
44,5.0,0.7,58.0,1.5,-0.5,-180.0,40.0,167722977.13238096
45,5.0,0.7,58.0,1.5,-0.5,-180.0,45.0,193613725.68636665
46,5.0,0.7,58.0,1.5,-0.5,-180.0,50.0,1638293182.351614
47,5.0,0.7,58.0,1.5,-0.5,-180.0,55.0,7900180488.654598
48,5.0,0.7,58.0,1.5,-0.5,-180.0,60.0,1601158972.5810595
49,5.0,0.7,58.0,1.5,-0.5,-180.0,65.0,99686283.43850988
50,5.0,0.7,58.0,1.5,-0.5,-180.0,70.0,115013429.40461344
51,5.0,0.7,58.0,1.5,-0.5,-180.0,75.0,84606115.07372607
52,5.0,0.7,58.0,1.5,-0.5,-180.0,80.0,9232011.596288146
53,5.0,0.7,58.0,1.5,-0.5,-180.0,85.0,768704.8383269353
54,5.0,0.7,58.0,1.5,-0.5,-180.0,90.0,395827.0023379289
55,5.0,0.7,58.0,1.5,-0.5,-180.0,95.0,1695939.4085259903
56,5.0,0.7,58.0,1.5,-0.5,-180.0,100.0,7593383.558926155
57,5.0,0.7,58.0,1.5,-0.5,-180.0,105.0,2836948.3641112577
58,5.0,0.7,58.0,1.5,-0.5,-180.0,110.0,198499.60588427592
59,5.0,0.7,58.0,1.5,-0.5,-180.0,115.0,11422.601876599412
60,5.0,0.7,58.0,1.5,-0.5,-180.0,120.0,987.936859559575
61,5.0,0.7,58.0,1.5,-0.5,-180.0,125.0,148.86830897374534
62,5.0,0.7,58.0,1.5,-0.5,-180.0,130.0,24.31006331987644
63,5.0,0.7,58.0,1.5,-0.5,-180.0,135.0,-11.369185069181668
64,5.0,0.7,58.0,1.5,-0.5,-180.0,140.0,-25.22743616863471
65,5.0,0.7,58.0,1.5,-0.5,-180.0,145.0,-29.411178384396678
66,5.0,0.7,58.0,1.5,-0.5,-180.0,150.0,-27.486087587014755
67,5.0,0.7,58.0,1.5,-0.5,-180.0,155.0,-20.101212152470428
68,5.0,0.7,58.0,1.5,-0.5,-180.0,160.0,-4.934848649129108
69,5.0,0.7,58.0,1.5,-0.5,-180.0,165.0,26.065491102684952
70,5.0,0.7,58.0,1.5,-0.5,-180.0,170.0,91.72766377827222
71,5.0,0.7,58.0,1.5,-0.5,-180.0,175.0,221.5217101926912
72,5.0,0.7,58.0,1.5,-0.5,-180.0,180.0,425.9673635588262
73,5.0,0.7,58.0,1.5,-0.5,-175.0,-180.0,377.7933712313377
74,5.0,0.7,58.0,1.5,-0.5,-175.0,-175.0,524.8365759595591
75,5.0,0.7,58.0,1.5,-0.5,-175.0,-170.0,532.3659942821416
76,5.0,0.7,58.0,1.5,-0.5,-175.0,-165.0,394.93700086555845
77,5.0,0.7,58.0,1.5,-0.5,-175.0,-160.0,226.16278972370472
78,5.0,0.7,58.0,1.5,-0.5,-175.0,-155.0,117.81626529170157
79,5.0,0.7,58.0,1.5,-0.5,-175.0,-150.0,96.9414840288593
80,5.0,0.7,58.0,1.5,-0.5,-175.0,-145.0,205.81076074230057
81,5.0,0.7,58.0,1.5,-0.5,-175.0,-140.0,632.4144265092538
82,5.0,0.7,58.0,1.5,-0.5,-175.0,-135.0,1750.8315245202868
83,5.0,0.7,58.0,1.5,-0.5,-175.0,-130.0,3262.313166961517
84,5.0,0.7,58.0,1.5,-0.5,-175.0,-125.0,3419.0247161877
85,5.0,0.7,58.0,1.5,-0.5,-175.0,-120.0,2235.4803350490297
86,5.0,0.7,58.0,1.5,-0.5,-175.0,-115.0,1406.8016132515631
87,5.0,0.7,58.0,1.5,-0.5,-175.0,-110.0,1394.3027183678284
88,5.0,0.7,58.0,1.5,-0.5,-175.0,-105.0,2201.9693925026227
89,5.0,0.7,58.0,1.5,-0.5,-175.0,-100.0,3228.6840912377006
90,5.0,0.7,58.0,1.5,-0.5,-175.0,-95.0,2837.1730085735803
91,5.0,0.7,58.0,1.5,-0.5,-175.0,-90.0,1393.7226475244324
92,5.0,0.7,58.0,1.5,-0.5,-175.0,-85.0,505.18534106313246
93,5.0,0.7,58.0,1.5,-0.5,-175.0,-80.0,273.38950266748293
94,5.0,0.7,58.0,1.5,-0.5,-175.0,-75.0,253.50118606789397
95,5.0,0.7,58.0,1.5,-0.5,-175.0,-70.0,166.05697554489
96,5.0,0.7,58.0,1.5,-0.5,-175.0,-65.0,43.96853895047962
97,5.0,0.7,58.0,1.5,-0.5,-175.0,-60.0,-22.648822713811718
98,5.0,0.7,58.0,1.5,-0.5,-175.0,-55.0,-43.692683904296096
99,5.0,0.7,58.0,1.5,-0.5,-175.0,-50.0,-43.036485586967316
100,5.0,0.7,58.0,1.5,-0.5,-175.0,-45.0,6.374978027405603
101,5.0,0.7,58.0,1.5,-0.5,-175.0,-40.0,566.5707349750959
102,5.0,0.7,58.0,1.5,-0.5,-175.0,-35.0,10805.877387814211
103,5.0,0.7,58.0,1.5,-0.5,-175.0,-30.0,398813.1690389193
104,5.0,0.7,58.0,1.5,-0.5,-175.0,-25.0,12547653.903083576
105,5.0,0.7,58.0,1.5,-0.5,-175.0,-20.0,24969359.52149723
106,5.0,0.7,58.0,1.5,-0.5,-175.0,-15.0,22800723800.072014
107,5.0,0.7,58.0,1.5,-0.5,-175.0,-10.0,258590573595.97064
108,5.0,0.7,58.0,1.5,-0.5,-175.0,-5.0,363452022.7714112
109,5.0,0.7,58.0,1.5,-0.5,-175.0,0.0,412867372.9843786
110,5.0,0.7,58.0,1.5,-0.5,-175.0,5.0,44423893536.06795
111,5.0,0.7,58.0,1.5,-0.5,-175.0,10.0,22235500327434.07
112,5.0,0.7,58.0,1.5,-0.5,-175.0,15.0,2355304074946.376
113,5.0,0.7,58.0,1.5,-0.5,-175.0,20.0,6350448302.545079
114,5.0,0.7,58.0,1.5,-0.5,-175.0,25.0,815105279.8109436
115,5.0,0.7,58.0,1.5,-0.5,-175.0,30.0,2051650695.264745
116,5.0,0.7,58.0,1.5,-0.5,-175.0,35.0,5423158141.3767605
117,5.0,0.7,58.0,1.5,-0.5,-175.0,40.0,98717760.61675501
118,5.0,0.7,58.0,1.5,-0.5,-175.0,45.0,129265757.01342288
119,5.0,0.7,58.0,1.5,-0.5,-175.0,50.0,959821396.3022118
120,5.0,0.7,58.0,1.5,-0.5,-175.0,55.0,1466534795.8415208
121,5.0,0.7,58.0,1.5,-0.5,-175.0,60.0,231842931.18956676
122,5.0,0.7,58.0,1.5,-0.5,-175.0,65.0,41257882.26167872
123,5.0,0.7,58.0,1.5,-0.5,-175.0,70.0,94352839.01808868
124,5.0,0.7,58.0,1.5,-0.5,-175.0,75.0,43965072.581130296
125,5.0,0.7,58.0,1.5,-0.5,-175.0,80.0,4101130.6174171977
126,5.0,0.7,58.0,1.5,-0.5,-175.0,85.0,474812.0730867761
127,5.0,0.7,58.0,1.5,-0.5,-175.0,90.0,516314.47071359423
128,5.0,0.7,58.0,1.5,-0.5,-175.0,95.0,6026032.844456563
129,5.0,0.7,58.0,1.5,-0.5,-175.0,100.0,41496869.14620438
130,5.0,0.7,58.0,1.5,-0.5,-175.0,105.0,11333635.948692782
131,5.0,0.7,58.0,1.5,-0.5,-175.0,110.0,473672.92122717545
132,5.0,0.7,58.0,1.5,-0.5,-175.0,115.0,19485.479157931797
133,5.0,0.7,58.0,1.5,-0.5,-175.0,120.0,1268.6098868029849
134,5.0,0.7,58.0,1.5,-0.5,-175.0,125.0,111.94446372572109
135,5.0,0.7,58.0,1.5,-0.5,-175.0,130.0,-9.556392468541617
136,5.0,0.7,58.0,1.5,-0.5,-175.0,135.0,-29.72721302714605
137,5.0,0.7,58.0,1.5,-0.5,-175.0,140.0,-33.32432390393465
138,5.0,0.7,58.0,1.5,-0.5,-175.0,145.0,-31.923605398080827
139,5.0,0.7,58.0,1.5,-0.5,-175.0,150.0,-27.573640626033125
140,5.0,0.7,58.0,1.5,-0.5,-175.0,155.0,-19.80649077253063
141,5.0,0.7,58.0,1.5,-0.5,-175.0,160.0,-5.489358557465584
142,5.0,0.7,58.0,1.5,-0.5,-175.0,165.0,23.95533586576641
143,5.0,0.7,58.0,1.5,-0.5,-175.0,170.0,86.46653160334219
144,5.0,0.7,58.0,1.5,-0.5,-175.0,175.0,205.46629047425876
145,5.0,0.7,58.0,1.5,-0.5,-175.0,180.0,377.79337123133695
146,5.0,0.7,58.0,1.5,-0.5,-170.0,-180.0,287.28277986486614
147,5.0,0.7,58.0,1.5,-0.5,-170.0,-175.0,381.0346090618396
148,5.0,0.7,58.0,1.5,-0.5,-170.0,-170.0,363.2298459853969
149,5.0,0.7,58.0,1.5,-0.5,-170.0,-165.0,252.66154108963119
150,5.0,0.7,58.0,1.5,-0.5,-170.0,-160.0,137.09491819709706
151,5.0,0.7,58.0,1.5,-0.5,-170.0,-155.0,76.45367210269954
152,5.0,0.7,58.0,1.5,-0.5,-170.0,-150.0,96.20773267919684
153,5.0,0.7,58.0,1.5,-0.5,-170.0,-145.0,271.4764082413586
154,5.0,0.7,58.0,1.5,-0.5,-170.0,-140.0,894.9738707768489
155,5.0,0.7,58.0,1.5,-0.5,-170.0,-135.0,2523.822666008229
156,5.0,0.7,58.0,1.5,-0.5,-170.0,-130.0,4602.046704334304
157,5.0,0.7,58.0,1.5,-0.5,-170.0,-125.0,4533.149759240743
158,5.0,0.7,58.0,1.5,-0.5,-170.0,-120.0,2775.9364862537373
159,5.0,0.7,58.0,1.5,-0.5,-170.0,-115.0,1827.834155299845
160,5.0,0.7,58.0,1.5,-0.5,-170.0,-110.0,2229.8978405157677
161,5.0,0.7,58.0,1.5,-0.5,-170.0,-105.0,3966.859831289732
162,5.0,0.7,58.0,1.5,-0.5,-170.0,-100.0,5514.879466499441
163,5.0,0.7,58.0,1.5,-0.5,-170.0,-95.0,4394.439614858991
164,5.0,0.7,58.0,1.5,-0.5,-170.0,-90.0,2048.932212819061
165,5.0,0.7,58.0,1.5,-0.5,-170.0,-85.0,844.1016109417279
166,5.0,0.7,58.0,1.5,-0.5,-170.0,-80.0,761.65720137144
167,5.0,0.7,58.0,1.5,-0.5,-170.0,-75.0,1120.1078656356033
168,5.0,0.7,58.0,1.5,-0.5,-170.0,-70.0,972.183994645876
169,5.0,0.7,58.0,1.5,-0.5,-170.0,-65.0,395.7229419112085
170,5.0,0.7,58.0,1.5,-0.5,-170.0,-60.0,53.63296714947458
171,5.0,0.7,58.0,1.5,-0.5,-170.0,-55.0,-57.74268634570009
172,5.0,0.7,58.0,1.5,-0.5,-170.0,-50.0,-88.02301937195514
173,5.0,0.7,58.0,1.5,-0.5,-170.0,-45.0,-95.16649474481864
174,5.0,0.7,58.0,1.5,-0.5,-170.0,-40.0,-48.48155267389844
175,5.0,0.7,58.0,1.5,-0.5,-170.0,-35.0,710.7466227967271
176,5.0,0.7,58.0,1.5,-0.5,-170.0,-30.0,18309.943616487068
177,5.0,0.7,58.0,1.5,-0.5,-170.0,-25.0,674022.3327863477
178,5.0,0.7,58.0,1.5,-0.5,-170.0,-20.0,7327503.835707032
179,5.0,0.7,58.0,1.5,-0.5,-170.0,-15.0,17872761.444838755
180,5.0,0.7,58.0,1.5,-0.5,-170.0,-10.0,651447945.2284559
181,5.0,0.7,58.0,1.5,-0.5,-170.0,-5.0,182863375249.85614
182,5.0,0.7,58.0,1.5,-0.5,-170.0,0.0,568912926381.2216
183,5.0,0.7,58.0,1.5,-0.5,-170.0,5.0,56715741216.968376
184,5.0,0.7,58.0,1.5,-0.5,-170.0,10.0,3468229615.6899557
185,5.0,0.7,58.0,1.5,-0.5,-170.0,15.0,5070341615.634634
186,5.0,0.7,58.0,1.5,-0.5,-170.0,20.0,1487310780.6728942
187,5.0,0.7,58.0,1.5,-0.5,-170.0,25.0,299590331667.7217
188,5.0,0.7,58.0,1.5,-0.5,-170.0,30.0,402571914723.5972
189,5.0,0.7,58.0,1.5,-0.5,-170.0,35.0,611397253.6724068
190,5.0,0.7,58.0,1.5,-0.5,-170.0,40.0,41646127.61924112
191,5.0,0.7,58.0,1.5,-0.5,-170.0,45.0,83960208.23954667
192,5.0,0.7,58.0,1.5,-0.5,-170.0,50.0,359575110.83531743
