,R1,R2,heri,R3t,R3p,phi1,phi2,FF
0,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-180.0,532.8385518423681
1,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-175.0,1747.085544716476
2,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-170.0,8465.252397774835
3,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-165.0,42833.99398987756
4,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-160.0,140806.47522077753
5,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-155.0,191697.72223776413
6,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-150.0,118141.18101284199
7,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-145.0,82324.04994678451
8,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-140.0,83259.7302361122
9,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-135.0,145146.1573646941
10,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-130.0,1421180.9532421078
11,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-125.0,41647087.94619961
12,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-120.0,192411427.52709562
13,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-115.0,20821736.452892244
14,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-110.0,2140973.215646401
15,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-105.0,2563815.322644446
16,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-100.0,16562104.07711695
17,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-95.0,172141381.15594736
18,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-90.0,189945134.46764764
19,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-85.0,17094831.70141561
20,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-80.0,5161465.51894267
21,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-75.0,138653410.87863776
22,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-70.0,7391635.4373119315
23,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-65.0,59939.23764089635
24,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-60.0,1534.7072208878851
25,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-55.0,418.7083157157518
26,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-50.0,617.9050632834919
27,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-45.0,1378.1443491712446
28,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-40.0,6089.850351047825
29,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-35.0,101048.28835435721
30,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-30.0,1608321.532441666
31,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-25.0,4082421.64797951
32,5.0,0.7,58.0,-0.2999999999999998,-2.0,-180.0,-20.0,127176849.6201794
