,R1,R2,heri,R3t,R3p,phi1,phi2,FF
0,5.0,0.7,58.0,-1.6,1.5,-180.0,-180.0,4440.662031697046
1,5.0,0.7,58.0,-1.6,1.5,-180.0,-175.0,5589.98128210795
2,5.0,0.7,58.0,-1.6,1.5,-180.0,-170.0,30833.02708330525
3,5.0,0.7,58.0,-1.6,1.5,-180.0,-165.0,474400.629431896
4,5.0,0.7,58.0,-1.6,1.5,-180.0,-160.0,17553750.823294673
5,5.0,0.7,58.0,-1.6,1.5,-180.0,-155.0,1463610832.208102
6,5.0,0.7,58.0,-1.6,1.5,-180.0,-150.0,24828426461.554752
7,5.0,0.7,58.0,-1.6,1.5,-180.0,-145.0,57968393960.21431
8,5.0,0.7,58.0,-1.6,1.5,-180.0,-140.0,4924156020210336.0
9,5.0,0.7,58.0,-1.6,1.5,-180.0,-135.0,5.3562279176884e+16
10,5.0,0.7,58.0,-1.6,1.5,-180.0,-130.0,149690304689.63446
11,5.0,0.7,58.0,-1.6,1.5,-180.0,-125.0,550837214310936.2
12,5.0,0.7,58.0,-1.6,1.5,-180.0,-120.0,25090228139.09193
13,5.0,0.7,58.0,-1.6,1.5,-180.0,-115.0,1333793280.714087
14,5.0,0.7,58.0,-1.6,1.5,-180.0,-110.0,291495238.35544264
15,5.0,0.7,58.0,-1.6,1.5,-180.0,-105.0,530234478307474.8
16,5.0,0.7,58.0,-1.6,1.5,-180.0,-100.0,3293761555.4255004
17,5.0,0.7,58.0,-1.6,1.5,-180.0,-95.0,16523031.091272527
18,5.0,0.7,58.0,-1.6,1.5,-180.0,-90.0,3319985.324066725
19,5.0,0.7,58.0,-1.6,1.5,-180.0,-85.0,888819.8587545067
20,5.0,0.7,58.0,-1.6,1.5,-180.0,-80.0,385780.72620351217
21,5.0,0.7,58.0,-1.6,1.5,-180.0,-75.0,158219.193074107
22,5.0,0.7,58.0,-1.6,1.5,-180.0,-70.0,116795.1795528018
23,5.0,0.7,58.0,-1.6,1.5,-180.0,-65.0,117378.69150960582
24,5.0,0.7,58.0,-1.6,1.5,-180.0,-60.0,33832.25122007961
25,5.0,0.7,58.0,-1.6,1.5,-180.0,-55.0,4506.7684463079795
26,5.0,0.7,58.0,-1.6,1.5,-180.0,-50.0,4122.391420891102
27,5.0,0.7,58.0,-1.6,1.5,-180.0,-45.0,8513.945811381069
28,5.0,0.7,58.0,-1.6,1.5,-180.0,-40.0,38283.49472391569
29,5.0,0.7,58.0,-1.6,1.5,-180.0,-35.0,208743.82235332
30,5.0,0.7,58.0,-1.6,1.5,-180.0,-30.0,553321.3016519104
31,5.0,0.7,58.0,-1.6,1.5,-180.0,-25.0,596436.2215723736
32,5.0,0.7,58.0,-1.6,1.5,-180.0,-20.0,2962126.7319795457
33,5.0,0.7,58.0,-1.6,1.5,-180.0,-15.0,68871396.70622501
34,5.0,0.7,58.0,-1.6,1.5,-180.0,-10.0,4965938297.254768
35,5.0,0.7,58.0,-1.6,1.5,-180.0,-5.0,1949696227113.015
36,5.0,0.7,58.0,-1.6,1.5,-180.0,0.0,355322639678751.2
37,5.0,0.7,58.0,-1.6,1.5,-180.0,5.0,2334867721622.314
38,5.0,0.7,58.0,-1.6,1.5,-180.0,10.0,5677902359.794807
39,5.0,0.7,58.0,-1.6,1.5,-180.0,15.0,106411349.82025269
40,5.0,0.7,58.0,-1.6,1.5,-180.0,20.0,67459089.69575684
41,5.0,0.7,58.0,-1.6,1.5,-180.0,25.0,83307643.54577269
42,5.0,0.7,58.0,-1.6,1.5,-180.0,30.0,65382256.17834783
43,5.0,0.7,58.0,-1.6,1.5,-180.0,35.0,132788923.28421137
44,5.0,0.7,58.0,-1.6,1.5,-180.0,40.0,8867793974.709118
45,5.0,0.7,58.0,-1.6,1.5,-180.0,45.0,4336680492242.901
46,5.0,0.7,58.0,-1.6,1.5,-180.0,50.0,356345586771079.0
47,5.0,0.7,58.0,-1.6,1.5,-180.0,55.0,1135842451677.1367
48,5.0,0.7,58.0,-1.6,1.5,-180.0,60.0,3322422485.2661
