,R1,R2,heri,R3t,R3p,phi1,phi2,FF
0,5.0,0.7,58.0,-1.1,2.0,-180.0,-180.0,4756.800897977204
1,5.0,0.7,58.0,-1.1,2.0,-180.0,-175.0,7833.933857181455
2,5.0,0.7,58.0,-1.1,2.0,-180.0,-170.0,59909.397845548265
3,5.0,0.7,58.0,-1.1,2.0,-180.0,-165.0,1002109.3022141184
4,5.0,0.7,58.0,-1.1,2.0,-180.0,-160.0,21738841.39629282
5,5.0,0.7,58.0,-1.1,2.0,-180.0,-155.0,192861358.3699665
6,5.0,0.7,58.0,-1.1,2.0,-180.0,-150.0,203356998.35832912
7,5.0,0.7,58.0,-1.1,2.0,-180.0,-145.0,1221740059.6050642
8,5.0,0.7,58.0,-1.1,2.0,-180.0,-140.0,11062218353.983484
9,5.0,0.7,58.0,-1.1,2.0,-180.0,-135.0,3996265138.0551186
10,5.0,0.7,58.0,-1.1,2.0,-180.0,-130.0,233152893.89297143
11,5.0,0.7,58.0,-1.1,2.0,-180.0,-125.0,284591867.9434291
12,5.0,0.7,58.0,-1.1,2.0,-180.0,-120.0,150307064.3913128
13,5.0,0.7,58.0,-1.1,2.0,-180.0,-115.0,16818005.73195216
14,5.0,0.7,58.0,-1.1,2.0,-180.0,-110.0,14740688.41731258
15,5.0,0.7,58.0,-1.1,2.0,-180.0,-105.0,123441269.17094588
16,5.0,0.7,58.0,-1.1,2.0,-180.0,-100.0,4525153.296866922
17,5.0,0.7,58.0,-1.1,2.0,-180.0,-95.0,35051700.863761194
18,5.0,0.7,58.0,-1.1,2.0,-180.0,-90.0,10029194.66245126
19,5.0,0.7,58.0,-1.1,2.0,-180.0,-85.0,738816.4907067356
20,5.0,0.7,58.0,-1.1,2.0,-180.0,-80.0,869324.8828993379
21,5.0,0.7,58.0,-1.1,2.0,-180.0,-75.0,19709532.362000983
22,5.0,0.7,58.0,-1.1,2.0,-180.0,-70.0,21209730.118295874
23,5.0,0.7,58.0,-1.1,2.0,-180.0,-65.0,394478.7320401912
24,5.0,0.7,58.0,-1.1,2.0,-180.0,-60.0,20283.403997239053
25,5.0,0.7,58.0,-1.1,2.0,-180.0,-55.0,4185.787289404331
26,5.0,0.7,58.0,-1.1,2.0,-180.0,-50.0,4296.590859703063
27,5.0,0.7,58.0,-1.1,2.0,-180.0,-45.0,8710.06852200956
28,5.0,0.7,58.0,-1.1,2.0,-180.0,-40.0,38481.80381852257
29,5.0,0.7,58.0,-1.1,2.0,-180.0,-35.0,208942.03798831848
30,5.0,0.7,58.0,-1.1,2.0,-180.0,-30.0,553519.0836473454
31,5.0,0.7,58.0,-1.1,2.0,-180.0,-25.0,596633.5892065829
32,5.0,0.7,58.0,-1.1,2.0,-180.0,-20.0,2962323.7664676206
33,5.0,0.7,58.0,-1.1,2.0,-180.0,-15.0,68871593.48790425
34,5.0,0.7,58.0,-1.1,2.0,-180.0,-10.0,4965938493.852335
35,5.0,0.7,58.0,-1.1,2.0,-180.0,-5.0,1949696227309.485
36,5.0,0.7,58.0,-1.1,2.0,-180.0,0.0,355322639678947.5
37,5.0,0.7,58.0,-1.1,2.0,-180.0,5.0,2334867721818.669
38,5.0,0.7,58.0,-1.1,2.0,-180.0,10.0,5677902556.144717
39,5.0,0.7,58.0,-1.1,2.0,-180.0,15.0,106411546.1920615
40,5.0,0.7,58.0,-1.1,2.0,-180.0,20.0,67459286.10949771
