,R1,R2,heri,R3t,R3p,phi1,phi2,FF
0,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-180.0,1747.5051365932584
1,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-175.0,5789.357114366208
2,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-170.0,50825.96401074276
3,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-165.0,736523.1572537313
4,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-160.0,10209035.129759187
5,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-155.0,38194673.31208167
6,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-150.0,16131049.547335833
7,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-145.0,15609754.83783698
8,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-140.0,28310217.21485676
9,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-135.0,15371224.11330227
10,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-130.0,14802767.905433467
11,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-125.0,38629511.97652051
12,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-120.0,12258197.429233504
13,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-115.0,1477908.0398360137
14,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-110.0,816708.3664317633
15,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-105.0,1293564.721278552
16,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-100.0,12965167.841695515
17,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-95.0,1999524924.830461
18,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-90.0,51614802.57618995
19,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-85.0,774385.5289304601
20,5.0,0.7,58.0,-0.7999999999999998,1.5,-180.0,-80.0,3536832.395908398
