,R1,R2,heri,R3t,R3p,phi1,phi2,FF
0,5.0,0.7,58.0,-1.4,-1.0,-180.0,-180.0,1213.824695763667
1,5.0,0.7,58.0,-1.4,-1.0,-180.0,-175.0,4659.9538064677035
2,5.0,0.7,58.0,-1.4,-1.0,-180.0,-170.0,41350.53720164347
3,5.0,0.7,58.0,-1.4,-1.0,-180.0,-165.0,655830.0731603877
4,5.0,0.7,58.0,-1.4,-1.0,-180.0,-160.0,19229584.547775347
5,5.0,0.7,58.0,-1.4,-1.0,-180.0,-155.0,903226021.2741746
6,5.0,0.7,58.0,-1.4,-1.0,-180.0,-150.0,6233968295.868778
7,5.0,0.7,58.0,-1.4,-1.0,-180.0,-145.0,66464904647.06254
8,5.0,0.7,58.0,-1.4,-1.0,-180.0,-140.0,389833526156853.7
9,5.0,0.7,58.0,-1.4,-1.0,-180.0,-135.0,82764512308828.05
10,5.0,0.7,58.0,-1.4,-1.0,-180.0,-130.0,23214830593.20196
11,5.0,0.7,58.0,-1.4,-1.0,-180.0,-125.0,307336060059.6724
12,5.0,0.7,58.0,-1.4,-1.0,-180.0,-120.0,5870156712.143189
13,5.0,0.7,58.0,-1.4,-1.0,-180.0,-115.0,347252070.83081204
14,5.0,0.7,58.0,-1.4,-1.0,-180.0,-110.0,244401864.02568728
15,5.0,0.7,58.0,-1.4,-1.0,-180.0,-105.0,650993513134.5962
16,5.0,0.7,58.0,-1.4,-1.0,-180.0,-100.0,257116168.96075392
17,5.0,0.7,58.0,-1.4,-1.0,-180.0,-95.0,3369998.4347968167
18,5.0,0.7,58.0,-1.4,-1.0,-180.0,-90.0,1163716.2871982837
19,5.0,0.7,58.0,-1.4,-1.0,-180.0,-85.0,420081.51706936985
20,5.0,0.7,58.0,-1.4,-1.0,-180.0,-80.0,423311.86702073173
21,5.0,0.7,58.0,-1.4,-1.0,-180.0,-75.0,474654.29278013384
22,5.0,0.7,58.0,-1.4,-1.0,-180.0,-70.0,696166.6209165994
23,5.0,0.7,58.0,-1.4,-1.0,-180.0,-65.0,181833.2930393579
24,5.0,0.7,58.0,-1.4,-1.0,-180.0,-60.0,28414.600445128188
25,5.0,0.7,58.0,-1.4,-1.0,-180.0,-55.0,1944.055733831499
26,5.0,0.7,58.0,-1.4,-1.0,-180.0,-50.0,6010.532792479763
27,5.0,0.7,58.0,-1.4,-1.0,-180.0,-45.0,68958.79300889428
28,5.0,0.7,58.0,-1.4,-1.0,-180.0,-40.0,1033391.9120757844
29,5.0,0.7,58.0,-1.4,-1.0,-180.0,-35.0,7545953.423190777
