,R1,R2,heri,R3t,R3p,phi1,phi2,FF
0,5.0,0.7,58.0,2.0,-1.4,-180.0,-180.0,-1.7527174154488152
1,5.0,0.7,58.0,2.0,-1.4,-180.0,-175.0,10.983948519497995
2,5.0,0.7,58.0,2.0,-1.4,-180.0,-170.0,11.350821614228305
3,5.0,0.7,58.0,2.0,-1.4,-180.0,-165.0,-0.4452259295312595
4,5.0,0.7,58.0,2.0,-1.4,-180.0,-160.0,-15.260936591480654
5,5.0,0.7,58.0,2.0,-1.4,-180.0,-155.0,-23.325805072305013
6,5.0,0.7,58.0,2.0,-1.4,-180.0,-150.0,-19.84664754023996
7,5.0,0.7,58.0,2.0,-1.4,-180.0,-145.0,-4.574967463303318
8,5.0,0.7,58.0,2.0,-1.4,-180.0,-140.0,20.16365362785129
9,5.0,0.7,58.0,2.0,-1.4,-180.0,-135.0,48.888810998262905
10,5.0,0.7,58.0,2.0,-1.4,-180.0,-130.0,69.34904650026077
11,5.0,0.7,58.0,2.0,-1.4,-180.0,-125.0,69.7770750039277
12,5.0,0.7,58.0,2.0,-1.4,-180.0,-120.0,56.00741006355742
13,5.0,0.7,58.0,2.0,-1.4,-180.0,-115.0,46.72743251940685
14,5.0,0.7,58.0,2.0,-1.4,-180.0,-110.0,50.180890645127036
15,5.0,0.7,58.0,2.0,-1.4,-180.0,-105.0,52.1252743661647
16,5.0,0.7,58.0,2.0,-1.4,-180.0,-100.0,39.358645566024016
17,5.0,0.7,58.0,2.0,-1.4,-180.0,-95.0,17.18926721942028
18,5.0,0.7,58.0,2.0,-1.4,-180.0,-90.0,-3.101617246357643
19,5.0,0.7,58.0,2.0,-1.4,-180.0,-85.0,-13.225223151076007
20,5.0,0.7,58.0,2.0,-1.4,-180.0,-80.0,-16.859688944088617
21,5.0,0.7,58.0,2.0,-1.4,-180.0,-75.0,-30.57807590437784
22,5.0,0.7,58.0,2.0,-1.4,-180.0,-70.0,-55.96701883260498
23,5.0,0.7,58.0,2.0,-1.4,-180.0,-65.0,-77.1321042108108
24,5.0,0.7,58.0,2.0,-1.4,-180.0,-60.0,-89.05350769665483
25,5.0,0.7,58.0,2.0,-1.4,-180.0,-55.0,-94.68240245160706
26,5.0,0.7,58.0,2.0,-1.4,-180.0,-50.0,-66.0389712997356
27,5.0,0.7,58.0,2.0,-1.4,-180.0,-45.0,1397.8242528702058
28,5.0,0.7,58.0,2.0,-1.4,-180.0,-40.0,468134.7985033636
29,5.0,0.7,58.0,2.0,-1.4,-180.0,-35.0,3363670821.795182
30,5.0,0.7,58.0,2.0,-1.4,-180.0,-30.0,429006324.86871934
31,5.0,0.7,58.0,2.0,-1.4,-180.0,-25.0,69666474.3255727
32,5.0,0.7,58.0,2.0,-1.4,-180.0,-20.0,39053355804.48874
33,5.0,0.7,58.0,2.0,-1.4,-180.0,-15.0,6161783354.964757
34,5.0,0.7,58.0,2.0,-1.4,-180.0,-10.0,990051722920.852
35,5.0,0.7,58.0,2.0,-1.4,-180.0,-5.0,213741933655911.6
36,5.0,0.7,58.0,2.0,-1.4,-180.0,0.0,31557747914.066277
37,5.0,0.7,58.0,2.0,-1.4,-180.0,5.0,52834285073.094376
38,5.0,0.7,58.0,2.0,-1.4,-180.0,10.0,475319482970.1605
39,5.0,0.7,58.0,2.0,-1.4,-180.0,15.0,16540779444.795362
40,5.0,0.7,58.0,2.0,-1.4,-180.0,20.0,16294830021.59206
41,5.0,0.7,58.0,2.0,-1.4,-180.0,25.0,19733773948.66209
42,5.0,0.7,58.0,2.0,-1.4,-180.0,30.0,10646066285.952013
43,5.0,0.7,58.0,2.0,-1.4,-180.0,35.0,120360779396.8106
44,5.0,0.7,58.0,2.0,-1.4,-180.0,40.0,10922664742.552305
45,5.0,0.7,58.0,2.0,-1.4,-180.0,45.0,77580276262.39827
46,5.0,0.7,58.0,2.0,-1.4,-180.0,50.0,832937186864877.9
47,5.0,0.7,58.0,2.0,-1.4,-180.0,55.0,845871299993757.2
48,5.0,0.7,58.0,2.0,-1.4,-180.0,60.0,71960105027.07184
49,5.0,0.7,58.0,2.0,-1.4,-180.0,65.0,268512191.66109
50,5.0,0.7,58.0,2.0,-1.4,-180.0,70.0,24049082.913215946
51,5.0,0.7,58.0,2.0,-1.4,-180.0,75.0,3858462.7541784937
52,5.0,0.7,58.0,2.0,-1.4,-180.0,80.0,1319866.5021899282
53,5.0,0.7,58.0,2.0,-1.4,-180.0,85.0,645169.4352943946
54,5.0,0.7,58.0,2.0,-1.4,-180.0,90.0,266622.0602421565
55,5.0,0.7,58.0,2.0,-1.4,-180.0,95.0,105179.54415958804
56,5.0,0.7,58.0,2.0,-1.4,-180.0,100.0,16069.531862528134
57,5.0,0.7,58.0,2.0,-1.4,-180.0,105.0,2439.131930688201
58,5.0,0.7,58.0,2.0,-1.4,-180.0,110.0,683.1240536947773
59,5.0,0.7,58.0,2.0,-1.4,-180.0,115.0,281.473822312107
60,5.0,0.7,58.0,2.0,-1.4,-180.0,120.0,117.78671267649193
61,5.0,0.7,58.0,2.0,-1.4,-180.0,125.0,34.56776192166975
62,5.0,0.7,58.0,2.0,-1.4,-180.0,130.0,-8.61951876876932
63,5.0,0.7,58.0,2.0,-1.4,-180.0,135.0,-30.193535351426373
64,5.0,0.7,58.0,2.0,-1.4,-180.0,140.0,-40.39587731217135
65,5.0,0.7,58.0,2.0,-1.4,-180.0,145.0,-44.86887896549906
66,5.0,0.7,58.0,2.0,-1.4,-180.0,150.0,-46.50332876702678
67,5.0,0.7,58.0,2.0,-1.4,-180.0,155.0,-46.5212296832779
68,5.0,0.7,58.0,2.0,-1.4,-180.0,160.0,-44.98152448082377
69,5.0,0.7,58.0,2.0,-1.4,-180.0,165.0,-40.91974300123322
70,5.0,0.7,58.0,2.0,-1.4,-180.0,170.0,-32.5942570909015
71,5.0,0.7,58.0,2.0,-1.4,-180.0,175.0,-18.79066563719297
72,5.0,0.7,58.0,2.0,-1.4,-180.0,180.0,-1.7527174154489251
73,5.0,0.7,58.0,2.0,-1.4,-175.0,-180.0,-4.816107234897573
74,5.0,0.7,58.0,2.0,-1.4,-175.0,-175.0,4.869857109192632
75,5.0,0.7,58.0,2.0,-1.4,-175.0,-170.0,2.9235328228166257
76,5.0,0.7,58.0,2.0,-1.4,-175.0,-165.0,-7.889925006048037
