,R1,R2,heri,R3t,R3p,phi1,phi2,FF
0,5.0,0.7,58.0,2.0,-1.5,-180.0,-180.0,-0.12812165273097076
1,5.0,0.7,58.0,2.0,-1.5,-180.0,-175.0,12.593580839301234
2,5.0,0.7,58.0,2.0,-1.5,-180.0,-170.0,12.946966614774222
3,5.0,0.7,58.0,2.0,-1.5,-180.0,-165.0,1.1397026774280987
4,5.0,0.7,58.0,2.0,-1.5,-180.0,-160.0,-13.684730783072562
5,5.0,0.7,58.0,2.0,-1.5,-180.0,-155.0,-21.755799166108112
6,5.0,0.7,58.0,2.0,-1.5,-180.0,-150.0,-18.280302688001168
7,5.0,0.7,58.0,2.0,-1.5,-180.0,-145.0,-3.0096712094291234
8,5.0,0.7,58.0,2.0,-1.5,-180.0,-140.0,21.730658540302453
9,5.0,0.7,58.0,2.0,-1.5,-180.0,-135.0,50.460485553804176
10,5.0,0.7,58.0,2.0,-1.5,-180.0,-130.0,70.92859569630464
11,5.0,0.7,58.0,2.0,-1.5,-180.0,-125.0,71.36797439510627
12,5.0,0.7,58.0,2.0,-1.5,-180.0,-120.0,57.61342952790976
13,5.0,0.7,58.0,2.0,-1.5,-180.0,-115.0,48.352671338336705
14,5.0,0.7,58.0,2.0,-1.5,-180.0,-110.0,51.82983967232606
15,5.0,0.7,58.0,2.0,-1.5,-180.0,-105.0,53.80292198072505
16,5.0,0.7,58.0,2.0,-1.5,-180.0,-100.0,41.070644393491456
17,5.0,0.7,58.0,2.0,-1.5,-180.0,-95.0,18.942178343841718
18,5.0,0.7,58.0,2.0,-1.5,-180.0,-90.0,-1.29998627702701
19,5.0,0.7,58.0,2.0,-1.5,-180.0,-85.0,-11.365371506029199
20,5.0,0.7,58.0,2.0,-1.5,-180.0,-80.0,-14.929862899495172
21,5.0,0.7,58.0,2.0,-1.5,-180.0,-75.0,-28.56364726703419
22,5.0,0.7,58.0,2.0,-1.5,-180.0,-70.0,-53.85002078096633
23,5.0,0.7,58.0,2.0,-1.5,-180.0,-65.0,-74.89148866857326
24,5.0,0.7,58.0,2.0,-1.5,-180.0,-60.0,-86.66904332970627
25,5.0,0.7,58.0,2.0,-1.5,-180.0,-55.0,-92.22069201143572
26,5.0,0.7,58.0,2.0,-1.5,-180.0,-50.0,-66.91453259371434
27,5.0,0.7,58.0,2.0,-1.5,-180.0,-45.0,1097.3420470095996
28,5.0,0.7,58.0,2.0,-1.5,-180.0,-40.0,287421.6841060658
29,5.0,0.7,58.0,2.0,-1.5,-180.0,-35.0,747275988.3360977
30,5.0,0.7,58.0,2.0,-1.5,-180.0,-30.0,186032475.61568117
31,5.0,0.7,58.0,2.0,-1.5,-180.0,-25.0,22466770.029125214
32,5.0,0.7,58.0,2.0,-1.5,-180.0,-20.0,2530465943.2872553
33,5.0,0.7,58.0,2.0,-1.5,-180.0,-15.0,1648613276.2310364
34,5.0,0.7,58.0,2.0,-1.5,-180.0,-10.0,238354576291.9164
35,5.0,0.7,58.0,2.0,-1.5,-180.0,-5.0,12917111604846.465
36,5.0,0.7,58.0,2.0,-1.5,-180.0,0.0,1026333305301.595
37,5.0,0.7,58.0,2.0,-1.5,-180.0,5.0,71355452722.77539
38,5.0,0.7,58.0,2.0,-1.5,-180.0,10.0,651692348309.6255
39,5.0,0.7,58.0,2.0,-1.5,-180.0,15.0,29993803677.66884
40,5.0,0.7,58.0,2.0,-1.5,-180.0,20.0,157417134410.01727
41,5.0,0.7,58.0,2.0,-1.5,-180.0,25.0,486206137645.1705
42,5.0,0.7,58.0,2.0,-1.5,-180.0,30.0,25980725568.74442
43,5.0,0.7,58.0,2.0,-1.5,-180.0,35.0,5846961681.066864
44,5.0,0.7,58.0,2.0,-1.5,-180.0,40.0,81807113989.40585
45,5.0,0.7,58.0,2.0,-1.5,-180.0,45.0,98453498361.59926
46,5.0,0.7,58.0,2.0,-1.5,-180.0,50.0,147937124237763.7
47,5.0,0.7,58.0,2.0,-1.5,-180.0,55.0,38269470034477.84
48,5.0,0.7,58.0,2.0,-1.5,-180.0,60.0,22092454864.179043
49,5.0,0.7,58.0,2.0,-1.5,-180.0,65.0,134350500.23390365
50,5.0,0.7,58.0,2.0,-1.5,-180.0,70.0,8449942.301665533
51,5.0,0.7,58.0,2.0,-1.5,-180.0,75.0,2488458.766177123
52,5.0,0.7,58.0,2.0,-1.5,-180.0,80.0,3393504.911135605
53,5.0,0.7,58.0,2.0,-1.5,-180.0,85.0,1500824.8033702543
54,5.0,0.7,58.0,2.0,-1.5,-180.0,90.0,520489.4097108071
55,5.0,0.7,58.0,2.0,-1.5,-180.0,95.0,179407.37073511214
56,5.0,0.7,58.0,2.0,-1.5,-180.0,100.0,19554.564772677983
57,5.0,0.7,58.0,2.0,-1.5,-180.0,105.0,2235.3119983023107
58,5.0,0.7,58.0,2.0,-1.5,-180.0,110.0,531.9717608818368
59,5.0,0.7,58.0,2.0,-1.5,-180.0,115.0,200.47502408206105
60,5.0,0.7,58.0,2.0,-1.5,-180.0,120.0,74.66859837974351
61,5.0,0.7,58.0,2.0,-1.5,-180.0,125.0,12.742668581301887
62,5.0,0.7,58.0,2.0,-1.5,-180.0,130.0,-18.78084241782536
63,5.0,0.7,58.0,2.0,-1.5,-180.0,135.0,-34.26540830269042
64,5.0,0.7,58.0,2.0,-1.5,-180.0,140.0,-41.41898283397745
65,5.0,0.7,58.0,2.0,-1.5,-180.0,145.0,-44.41472223871767
66,5.0,0.7,58.0,2.0,-1.5,-180.0,150.0,-45.354622693272425
67,5.0,0.7,58.0,2.0,-1.5,-180.0,155.0,-45.05877437975218
68,5.0,0.7,58.0,2.0,-1.5,-180.0,160.0,-43.38746283794754
69,5.0,0.7,58.0,2.0,-1.5,-180.0,165.0,-39.279518945650814
70,5.0,0.7,58.0,2.0,-1.5,-180.0,170.0,-30.94657156242465
71,5.0,0.7,58.0,2.0,-1.5,-180.0,175.0,-17.15174704996103
72,5.0,0.7,58.0,2.0,-1.5,-180.0,180.0,-0.1281216527310809
73,5.0,0.7,58.0,2.0,-1.5,-175.0,-180.0,-3.0990411747508086
74,5.0,0.7,58.0,2.0,-1.5,-175.0,-175.0,6.570178576838888
75,5.0,0.7,58.0,2.0,-1.5,-175.0,-170.0,4.60984743188481
76,5.0,0.7,58.0,2.0,-1.5,-175.0,-165.0,-6.21493478539878
77,5.0,0.7,58.0,2.0,-1.5,-175.0,-160.0,-15.750078822381846
78,5.0,0.7,58.0,2.0,-1.5,-175.0,-155.0,-14.203637636345618
79,5.0,0.7,58.0,2.0,-1.5,-175.0,-150.0,3.1076686439342893
80,5.0,0.7,58.0,2.0,-1.5,-175.0,-145.0,34.287612516851084
81,5.0,0.7,58.0,2.0,-1.5,-175.0,-140.0,71.47835004629263
82,5.0,0.7,58.0,2.0,-1.5,-175.0,-135.0,103.66861882808304
83,5.0,0.7,58.0,2.0,-1.5,-175.0,-130.0,117.25584609611064
84,5.0,0.7,58.0,2.0,-1.5,-175.0,-125.0,105.82640291848719
85,5.0,0.7,58.0,2.0,-1.5,-175.0,-120.0,88.49100907799999
