,R1,R2,heri,R3t,R3p,phi1,phi2,FF
0,5.0,0.7,58.0,-0.7,-1.2,-180.0,-180.0,2108.0798533537063
1,5.0,0.7,58.0,-0.7,-1.2,-180.0,-175.0,5857.306160097499
2,5.0,0.7,58.0,-0.7,-1.2,-180.0,-170.0,41656.463012906526
3,5.0,0.7,58.0,-0.7,-1.2,-180.0,-165.0,499671.87608344463
4,5.0,0.7,58.0,-0.7,-1.2,-180.0,-160.0,5104135.908294813
5,5.0,0.7,58.0,-0.7,-1.2,-180.0,-155.0,14167945.905991785
6,5.0,0.7,58.0,-0.7,-1.2,-180.0,-150.0,6047246.54646775
7,5.0,0.7,58.0,-0.7,-1.2,-180.0,-145.0,4550775.80528968
8,5.0,0.7,58.0,-0.7,-1.2,-180.0,-140.0,6444063.462727765
9,5.0,0.7,58.0,-0.7,-1.2,-180.0,-135.0,4107052.4680618537
10,5.0,0.7,58.0,-0.7,-1.2,-180.0,-130.0,6680465.571050158
11,5.0,0.7,58.0,-0.7,-1.2,-180.0,-125.0,14285271.733638462
12,5.0,0.7,58.0,-0.7,-1.2,-180.0,-120.0,4999309.309860702
13,5.0,0.7,58.0,-0.7,-1.2,-180.0,-115.0,954644.4268861596
14,5.0,0.7,58.0,-0.7,-1.2,-180.0,-110.0,665391.33131392
15,5.0,0.7,58.0,-0.7,-1.2,-180.0,-105.0,1068654.0283541982
16,5.0,0.7,58.0,-0.7,-1.2,-180.0,-100.0,23699465.375641905
17,5.0,0.7,58.0,-0.7,-1.2,-180.0,-95.0,3809088417.6732655
18,5.0,0.7,58.0,-0.7,-1.2,-180.0,-90.0,48020586.04221699
19,5.0,0.7,58.0,-0.7,-1.2,-180.0,-85.0,812817.7008916325
20,5.0,0.7,58.0,-0.7,-1.2,-180.0,-80.0,5774003.43056411
21,5.0,0.7,58.0,-0.7,-1.2,-180.0,-75.0,2260444217.536651
22,5.0,0.7,58.0,-0.7,-1.2,-180.0,-70.0,208922333.0450413
23,5.0,0.7,58.0,-0.7,-1.2,-180.0,-65.0,427910.9329993701
24,5.0,0.7,58.0,-0.7,-1.2,-180.0,-60.0,7076.93080649907
25,5.0,0.7,58.0,-0.7,-1.2,-180.0,-55.0,2266.058294465795
26,5.0,0.7,58.0,-0.7,-1.2,-180.0,-50.0,6070.178125787778
27,5.0,0.7,58.0,-0.7,-1.2,-180.0,-45.0,88100.92054474754
28,5.0,0.7,58.0,-0.7,-1.2,-180.0,-40.0,3328165.372393542
29,5.0,0.7,58.0,-0.7,-1.2,-180.0,-35.0,482621529.36158895
30,5.0,0.7,58.0,-0.7,-1.2,-180.0,-30.0,31689796902.63101
31,5.0,0.7,58.0,-0.7,-1.2,-180.0,-25.0,146765862.10106835
32,5.0,0.7,58.0,-0.7,-1.2,-180.0,-20.0,440474813141.5068
33,5.0,0.7,58.0,-0.7,-1.2,-180.0,-15.0,442189553570.2249
34,5.0,0.7,58.0,-0.7,-1.2,-180.0,-10.0,484838124442159.75
35,5.0,0.7,58.0,-0.7,-1.2,-180.0,-5.0,5791267997.797126
36,5.0,0.7,58.0,-0.7,-1.2,-180.0,0.0,71034882090.26552
37,5.0,0.7,58.0,-0.7,-1.2,-180.0,5.0,248229943860.8095
38,5.0,0.7,58.0,-0.7,-1.2,-180.0,10.0,240846391.83050776
39,5.0,0.7,58.0,-0.7,-1.2,-180.0,15.0,797240919.4121393
40,5.0,0.7,58.0,-0.7,-1.2,-180.0,20.0,550262297.7978052
41,5.0,0.7,58.0,-0.7,-1.2,-180.0,25.0,135042316.58031142
42,5.0,0.7,58.0,-0.7,-1.2,-180.0,30.0,316747314.80705965
43,5.0,0.7,58.0,-0.7,-1.2,-180.0,35.0,820033096.9963304
44,5.0,0.7,58.0,-0.7,-1.2,-180.0,40.0,16591106737.4609
45,5.0,0.7,58.0,-0.7,-1.2,-180.0,45.0,29249026573.67458
46,5.0,0.7,58.0,-0.7,-1.2,-180.0,50.0,2144002897.7530649
47,5.0,0.7,58.0,-0.7,-1.2,-180.0,55.0,5709964739.64973
48,5.0,0.7,58.0,-0.7,-1.2,-180.0,60.0,211742696863.90848
49,5.0,0.7,58.0,-0.7,-1.2,-180.0,65.0,90432626912.50146
50,5.0,0.7,58.0,-0.7,-1.2,-180.0,70.0,1499961979.500712
51,5.0,0.7,58.0,-0.7,-1.2,-180.0,75.0,41207612.98428018
52,5.0,0.7,58.0,-0.7,-1.2,-180.0,80.0,41781593.72089781
53,5.0,0.7,58.0,-0.7,-1.2,-180.0,85.0,1058048016.3889173
54,5.0,0.7,58.0,-0.7,-1.2,-180.0,90.0,21136936482.510777
55,5.0,0.7,58.0,-0.7,-1.2,-180.0,95.0,24681613157.24825
56,5.0,0.7,58.0,-0.7,-1.2,-180.0,100.0,1405020693.6520932
57,5.0,0.7,58.0,-0.7,-1.2,-180.0,105.0,45253529.91394804
58,5.0,0.7,58.0,-0.7,-1.2,-180.0,110.0,2210732.1028301218
59,5.0,0.7,58.0,-0.7,-1.2,-180.0,115.0,177565.62603934878
60,5.0,0.7,58.0,-0.7,-1.2,-180.0,120.0,21768.92507253862
61,5.0,0.7,58.0,-0.7,-1.2,-180.0,125.0,3876.97790245767
62,5.0,0.7,58.0,-0.7,-1.2,-180.0,130.0,1022.8638779304608
63,5.0,0.7,58.0,-0.7,-1.2,-180.0,135.0,419.8263813110369
64,5.0,0.7,58.0,-0.7,-1.2,-180.0,140.0,256.07593639545985
65,5.0,0.7,58.0,-0.7,-1.2,-180.0,145.0,207.5103080058356
66,5.0,0.7,58.0,-0.7,-1.2,-180.0,150.0,212.1749845650923
67,5.0,0.7,58.0,-0.7,-1.2,-180.0,155.0,267.4350697124073
68,5.0,0.7,58.0,-0.7,-1.2,-180.0,160.0,387.38826217395365
69,5.0,0.7,58.0,-0.7,-1.2,-180.0,165.0,589.4375295022362
70,5.0,0.7,58.0,-0.7,-1.2,-180.0,170.0,887.0197122759279
71,5.0,0.7,58.0,-0.7,-1.2,-180.0,175.0,1306.6424529684896
72,5.0,0.7,58.0,-0.7,-1.2,-180.0,180.0,2108.079853353704
73,5.0,0.7,58.0,-0.7,-1.2,-175.0,-180.0,1588.0378659247863
74,5.0,0.7,58.0,-0.7,-1.2,-175.0,-175.0,8885.356633309064
75,5.0,0.7,58.0,-0.7,-1.2,-175.0,-170.0,104486.76508004853
76,5.0,0.7,58.0,-0.7,-1.2,-175.0,-165.0,1735995.3976696604
77,5.0,0.7,58.0,-0.7,-1.2,-175.0,-160.0,19573368.7992638
78,5.0,0.7,58.0,-0.7,-1.2,-175.0,-155.0,33386698.86530153
79,5.0,0.7,58.0,-0.7,-1.2,-175.0,-150.0,7877757.865525665
80,5.0,0.7,58.0,-0.7,-1.2,-175.0,-145.0,8094988.824162978
81,5.0,0.7,58.0,-0.7,-1.2,-175.0,-140.0,9437389.617845006
82,5.0,0.7,58.0,-0.7,-1.2,-175.0,-135.0,5721555.993665301
83,5.0,0.7,58.0,-0.7,-1.2,-175.0,-130.0,22165655.60719912
84,5.0,0.7,58.0,-0.7,-1.2,-175.0,-125.0,31708253.66507816
85,5.0,0.7,58.0,-0.7,-1.2,-175.0,-120.0,5549205.944090705
86,5.0,0.7,58.0,-0.7,-1.2,-175.0,-115.0,1050647.3677361654
87,5.0,0.7,58.0,-0.7,-1.2,-175.0,-110.0,1250301.952330777
88,5.0,0.7,58.0,-0.7,-1.2,-175.0,-105.0,2416289.722848789
89,5.0,0.7,58.0,-0.7,-1.2,-175.0,-100.0,14583910.211479122
90,5.0,0.7,58.0,-0.7,-1.2,-175.0,-95.0,182477790243.03735
91,5.0,0.7,58.0,-0.7,-1.2,-175.0,-90.0,13789531256.114777
92,5.0,0.7,58.0,-0.7,-1.2,-175.0,-85.0,4421292.629580355
93,5.0,0.7,58.0,-0.7,-1.2,-175.0,-80.0,4576253.904154236
94,5.0,0.7,58.0,-0.7,-1.2,-175.0,-75.0,16287188410.737396
95,5.0,0.7,58.0,-0.7,-1.2,-175.0,-70.0,157137438899.24625
96,5.0,0.7,58.0,-0.7,-1.2,-175.0,-65.0,11369752.163132533
97,5.0,0.7,58.0,-0.7,-1.2,-175.0,-60.0,42043.457992863776
98,5.0,0.7,58.0,-0.7,-1.2,-175.0,-55.0,1769.7927072988662
99,5.0,0.7,58.0,-0.7,-1.2,-175.0,-50.0,748.148154482627
100,5.0,0.7,58.0,-0.7,-1.2,-175.0,-45.0,2303.1149650929137
101,5.0,0.7,58.0,-0.7,-1.2,-175.0,-40.0,24453.477468095487
102,5.0,0.7,58.0,-0.7,-1.2,-175.0,-35.0,692284.1240933414
103,5.0,0.7,58.0,-0.7,-1.2,-175.0,-30.0,316111547.33439773
104,5.0,0.7,58.0,-0.7,-1.2,-175.0,-25.0,36970088.94252595
105,5.0,0.7,58.0,-0.7,-1.2,-175.0,-20.0,298128899.02510464
106,5.0,0.7,58.0,-0.7,-1.2,-175.0,-15.0,1678698146.8958411
107,5.0,0.7,58.0,-0.7,-1.2,-175.0,-10.0,543133501977.702
108,5.0,0.7,58.0,-0.7,-1.2,-175.0,-5.0,23427414512.066063
109,5.0,0.7,58.0,-0.7,-1.2,-175.0,0.0,261139496.31202632
110,5.0,0.7,58.0,-0.7,-1.2,-175.0,5.0,1058505028.0361433
111,5.0,0.7,58.0,-0.7,-1.2,-175.0,10.0,116974413.79244588
112,5.0,0.7,58.0,-0.7,-1.2,-175.0,15.0,84836243.82437977
113,5.0,0.7,58.0,-0.7,-1.2,-175.0,20.0,61283852.96234949
114,5.0,0.7,58.0,-0.7,-1.2,-175.0,25.0,27301052.69425214
115,5.0,0.7,58.0,-0.7,-1.2,-175.0,30.0,111093757.4701506
116,5.0,0.7,58.0,-0.7,-1.2,-175.0,35.0,450452358.55264384
117,5.0,0.7,58.0,-0.7,-1.2,-175.0,40.0,1101158839.140724
118,5.0,0.7,58.0,-0.7,-1.2,-175.0,45.0,367495143.7337166
119,5.0,0.7,58.0,-0.7,-1.2,-175.0,50.0,257375718.1497783
120,5.0,0.7,58.0,-0.7,-1.2,-175.0,55.0,9114510765.71535
121,5.0,0.7,58.0,-0.7,-1.2,-175.0,60.0,61369473149.49741
122,5.0,0.7,58.0,-0.7,-1.2,-175.0,65.0,7055787864.836363
123,5.0,0.7,58.0,-0.7,-1.2,-175.0,70.0,182381291.92715573
124,5.0,0.7,58.0,-0.7,-1.2,-175.0,75.0,25757055.03876698
125,5.0,0.7,58.0,-0.7,-1.2,-175.0,80.0,53519146.51226166
126,5.0,0.7,58.0,-0.7,-1.2,-175.0,85.0,480060260.60935706
127,5.0,0.7,58.0,-0.7,-1.2,-175.0,90.0,1049816628.6994418
