R1,R2,heri,R3t,R3p,phi1,phi2,FF
5.0,1.0,58.0,-1.9,-2.0,-180.0,-180.0,458609.25904291833
5.0,1.0,58.0,-1.9,-2.0,-180.0,-175.0,797079.9262839557
5.0,1.0,58.0,-1.9,-2.0,-180.0,-170.0,1350778.365302456
5.0,1.0,58.0,-1.9,-2.0,-180.0,-165.0,2665754.8704389334
5.0,1.0,58.0,-1.9,-2.0,-180.0,-160.0,7265611.187729785
5.0,1.0,58.0,-1.9,-2.0,-180.0,-155.0,25266804.59387461
5.0,1.0,58.0,-1.9,-2.0,-180.0,-150.0,96974303.63382927
5.0,1.0,58.0,-1.9,-2.0,-180.0,-145.0,370917064.7205256
5.0,1.0,58.0,-1.9,-2.0,-180.0,-140.0,1272848829.7001774
5.0,1.0,58.0,-1.9,-2.0,-180.0,-135.0,3594341429.937096
5.0,1.0,58.0,-1.9,-2.0,-180.0,-130.0,8402056475.872429
5.0,1.0,58.0,-1.9,-2.0,-180.0,-125.0,13372687917.341675
5.0,1.0,58.0,-1.9,-2.0,-180.0,-120.0,9151420910.165283
5.0,1.0,58.0,-1.9,-2.0,-180.0,-115.0,3155750188.829178
5.0,1.0,58.0,-1.9,-2.0,-180.0,-110.0,4628525471.046788
5.0,1.0,58.0,-1.9,-2.0,-180.0,-105.0,52387748332.35294
5.0,1.0,58.0,-1.9,-2.0,-180.0,-100.0,11101036419890.52
5.0,1.0,58.0,-1.9,-2.0,-180.0,-95.0,61629467213118.7
5.0,1.0,58.0,-1.9,-2.0,-180.0,-90.0,5283153828329347.0
5.0,1.0,58.0,-1.9,-2.0,-180.0,-85.0,3.2610670825433044e+16
5.0,1.0,58.0,-1.9,-2.0,-180.0,-80.0,963329868047448.4
5.0,1.0,58.0,-1.9,-2.0,-180.0,-75.0,11839639849317.363
5.0,1.0,58.0,-1.9,-2.0,-180.0,-70.0,17823784439764.09
5.0,1.0,58.0,-1.9,-2.0,-180.0,-65.0,1056883978438.9692
5.0,1.0,58.0,-1.9,-2.0,-180.0,-60.0,2070960924.0652318
5.0,1.0,58.0,-1.9,-2.0,-180.0,-55.0,738790338.5850765
5.0,1.0,58.0,-1.9,-2.0,-180.0,-50.0,1481652282.695349
5.0,1.0,58.0,-1.9,-2.0,-180.0,-45.0,2823966169.3600903
5.0,1.0,58.0,-1.9,-2.0,-180.0,-40.0,3115777633.493572
5.0,1.0,58.0,-1.9,-2.0,-180.0,-35.0,1884789055.1154082
5.0,1.0,58.0,-1.9,-2.0,-180.0,-30.0,713242552.9420265
5.0,1.0,58.0,-1.9,-2.0,-180.0,-25.0,207200436.6290587
5.0,1.0,58.0,-1.9,-2.0,-180.0,-20.0,54857973.27325082
5.0,1.0,58.0,-1.9,-2.0,-180.0,-15.0,14837196.719964694
5.0,1.0,58.0,-1.9,-2.0,-180.0,-10.0,4399574.977934702
5.0,1.0,58.0,-1.9,-2.0,-180.0,-5.0,1491830.8005042213
5.0,1.0,58.0,-1.9,-2.0,-180.0,0.0,590242.3242477356
5.0,1.0,58.0,-1.9,-2.0,-180.0,5.0,274975.4405819089
5.0,1.0,58.0,-1.9,-2.0,-180.0,10.0,155106.32284031264
5.0,1.0,58.0,-1.9,-2.0,-180.0,15.0,115367.48365765979
5.0,1.0,58.0,-1.9,-2.0,-180.0,20.0,125132.55386152279
5.0,1.0,58.0,-1.9,-2.0,-180.0,25.0,187975.10489868323
5.0,1.0,58.0,-1.9,-2.0,-180.0,30.0,324680.9866701238
5.0,1.0,58.0,-1.9,-2.0,-180.0,35.0,552400.6254438966
5.0,1.0,58.0,-1.9,-2.0,-180.0,40.0,843358.8969679426
5.0,1.0,58.0,-1.9,-2.0,-180.0,45.0,1090785.2894704042
5.0,1.0,58.0,-1.9,-2.0,-180.0,50.0,1159788.9138746166
5.0,1.0,58.0,-1.9,-2.0,-180.0,55.0,1011592.295149856
5.0,1.0,58.0,-1.9,-2.0,-180.0,60.0,740692.4273527059
5.0,1.0,58.0,-1.9,-2.0,-180.0,65.0,546585.4927975249
5.0,1.0,58.0,-1.9,-2.0,-180.0,70.0,953652.9255967312
5.0,1.0,58.0,-1.9,-2.0,-180.0,75.0,4851202.580539105
5.0,1.0,58.0,-1.9,-2.0,-180.0,80.0,14271997.388829913
5.0,1.0,58.0,-1.9,-2.0,-180.0,85.0,10108906.439569747
5.0,1.0,58.0,-1.9,-2.0,-180.0,90.0,2560826.043730694
5.0,1.0,58.0,-1.9,-2.0,-180.0,95.0,1971656.7493146341
5.0,1.0,58.0,-1.9,-2.0,-180.0,100.0,3354249.173102857
5.0,1.0,58.0,-1.9,-2.0,-180.0,105.0,2824522.6547274324
5.0,1.0,58.0,-1.9,-2.0,-180.0,110.0,1594596.9593077837
5.0,1.0,58.0,-1.9,-2.0,-180.0,115.0,3088601.6994065577
5.0,1.0,58.0,-1.9,-2.0,-180.0,120.0,11742667.668790694
5.0,1.0,58.0,-1.9,-2.0,-180.0,125.0,14697315.022941742
5.0,1.0,58.0,-1.9,-2.0,-180.0,130.0,5262846.847145347
5.0,1.0,58.0,-1.9,-2.0,-180.0,135.0,1855603.2519296377
5.0,1.0,58.0,-1.9,-2.0,-180.0,140.0,1343605.88142633
5.0,1.0,58.0,-1.9,-2.0,-180.0,145.0,1042423.3775381029
5.0,1.0,58.0,-1.9,-2.0,-180.0,150.0,721212.793932653
5.0,1.0,58.0,-1.9,-2.0,-180.0,155.0,484819.2995199091
5.0,1.0,58.0,-1.9,-2.0,-180.0,160.0,330348.9381523877
5.0,1.0,58.0,-1.9,-2.0,-180.0,165.0,224977.4827196635
5.0,1.0,58.0,-1.9,-2.0,-180.0,170.0,192893.47329722904
5.0,1.0,58.0,-1.9,-2.0,-180.0,175.0,264046.93397769844
5.0,1.0,58.0,-1.9,-2.0,-180.0,180.0,458609.2590429177
5.0,1.0,58.0,-1.9,-2.0,-175.0,-180.0,591642.3096361196
5.0,1.0,58.0,-1.9,-2.0,-175.0,-175.0,1168679.6435016347
5.0,1.0,58.0,-1.9,-2.0,-175.0,-170.0,3228046.0767048937
5.0,1.0,58.0,-1.9,-2.0,-175.0,-165.0,11603344.891400173
5.0,1.0,58.0,-1.9,-2.0,-175.0,-160.0,48050324.87646276
5.0,1.0,58.0,-1.9,-2.0,-175.0,-155.0,208789626.07007882
5.0,1.0,58.0,-1.9,-2.0,-175.0,-150.0,845028068.5702515
5.0,1.0,58.0,-1.9,-2.0,-175.0,-145.0,2618869228.5583496
5.0,1.0,58.0,-1.9,-2.0,-175.0,-140.0,4813040732.407195
5.0,1.0,58.0,-1.9,-2.0,-175.0,-135.0,4372032020.881857
5.0,1.0,58.0,-1.9,-2.0,-175.0,-130.0,2098523762.895974
5.0,1.0,58.0,-1.9,-2.0,-175.0,-125.0,856701088.6497107
5.0,1.0,58.0,-1.9,-2.0,-175.0,-120.0,1437446141.0770414
5.0,1.0,58.0,-1.9,-2.0,-175.0,-115.0,14263288038.650589
5.0,1.0,58.0,-1.9,-2.0,-175.0,-110.0,318812512743.5688
5.0,1.0,58.0,-1.9,-2.0,-175.0,-105.0,20624113141763.918
5.0,1.0,58.0,-1.9,-2.0,-175.0,-100.0,9119110426800160.0
5.0,1.0,58.0,-1.9,-2.0,-175.0,-95.0,2.5931130710557565e+19
5.0,1.0,58.0,-1.9,-2.0,-175.0,-90.0,2.949466353723868e+17
5.0,1.0,58.0,-1.9,-2.0,-175.0,-85.0,205047467480594.84
5.0,1.0,58.0,-1.9,-2.0,-175.0,-80.0,1610668114659.9226
5.0,1.0,58.0,-1.9,-2.0,-175.0,-75.0,51072389761.160385
5.0,1.0,58.0,-1.9,-2.0,-175.0,-70.0,83713592079257.5
5.0,1.0,58.0,-1.9,-2.0,-175.0,-65.0,450716928559.46106
5.0,1.0,58.0,-1.9,-2.0,-175.0,-60.0,1368373017.1178265
5.0,1.0,58.0,-1.9,-2.0,-175.0,-55.0,3350174310.7923365
5.0,1.0,58.0,-1.9,-2.0,-175.0,-50.0,5035234503.803454
5.0,1.0,58.0,-1.9,-2.0,-175.0,-45.0,3674157022.145911
5.0,1.0,58.0,-1.9,-2.0,-175.0,-40.0,1441813742.4084814
5.0,1.0,58.0,-1.9,-2.0,-175.0,-35.0,389200123.4031816
5.0,1.0,58.0,-1.9,-2.0,-175.0,-30.0,90624416.17993711
5.0,1.0,58.0,-1.9,-2.0,-175.0,-25.0,21177967.780522246
5.0,1.0,58.0,-1.9,-2.0,-175.0,-20.0,5383629.894251522
5.0,1.0,58.0,-1.9,-2.0,-175.0,-15.0,1551990.3356850536
5.0,1.0,58.0,-1.9,-2.0,-175.0,-10.0,519519.96551752405
5.0,1.0,58.0,-1.9,-2.0,-175.0,-5.0,204930.9936344082
5.0,1.0,58.0,-1.9,-2.0,-175.0,0.0,96200.45781921694
5.0,1.0,58.0,-1.9,-2.0,-175.0,5.0,53920.74374012645
5.0,1.0,58.0,-1.9,-2.0,-175.0,10.0,35741.431432678306
5.0,1.0,58.0,-1.9,-2.0,-175.0,15.0,27461.900479087613
