R1,R2,heri,R3t,R3p,phi1,phi2,FF
5.0,1.0,58.0,-1.0,0.5,-180.0,-180.0,3966584787.402605
5.0,1.0,58.0,-1.0,0.5,-180.0,-175.0,3832506245.3645854
5.0,1.0,58.0,-1.0,0.5,-180.0,-170.0,10036893929.699131
5.0,1.0,58.0,-1.0,0.5,-180.0,-165.0,1029659579120.7289
5.0,1.0,58.0,-1.0,0.5,-180.0,-160.0,5021677146314924.0
5.0,1.0,58.0,-1.0,0.5,-180.0,-155.0,54030071731190.2
5.0,1.0,58.0,-1.0,0.5,-180.0,-150.0,85274212055.3917
5.0,1.0,58.0,-1.0,0.5,-180.0,-145.0,22508285634.50492
5.0,1.0,58.0,-1.0,0.5,-180.0,-140.0,7250184441.6471
5.0,1.0,58.0,-1.0,0.5,-180.0,-135.0,3346193235.1386013
5.0,1.0,58.0,-1.0,0.5,-180.0,-130.0,3967301118.766334
5.0,1.0,58.0,-1.0,0.5,-180.0,-125.0,21523071597.267647
5.0,1.0,58.0,-1.0,0.5,-180.0,-120.0,373460506037.8966
5.0,1.0,58.0,-1.0,0.5,-180.0,-115.0,18114201834991.2
5.0,1.0,58.0,-1.0,0.5,-180.0,-110.0,1.1041228491022254e+16
5.0,1.0,58.0,-1.0,0.5,-180.0,-105.0,9.8404081575022e+16
5.0,1.0,58.0,-1.0,0.5,-180.0,-100.0,9836512290116410.0
5.0,1.0,58.0,-1.0,0.5,-180.0,-95.0,70316219422618.95
5.0,1.0,58.0,-1.0,0.5,-180.0,-90.0,1210947329179.6067
5.0,1.0,58.0,-1.0,0.5,-180.0,-85.0,75248663961.5854
5.0,1.0,58.0,-1.0,0.5,-180.0,-80.0,14649667017.7617
5.0,1.0,58.0,-1.0,0.5,-180.0,-75.0,4204818473.620987
5.0,1.0,58.0,-1.0,0.5,-180.0,-70.0,2344202919.892337
5.0,1.0,58.0,-1.0,0.5,-180.0,-65.0,3006517333.8241887
5.0,1.0,58.0,-1.0,0.5,-180.0,-60.0,14342818403.451187
5.0,1.0,58.0,-1.0,0.5,-180.0,-55.0,233544549879.25717
5.0,1.0,58.0,-1.0,0.5,-180.0,-50.0,6702821896238.642
5.0,1.0,58.0,-1.0,0.5,-180.0,-45.0,109553503731499.31
5.0,1.0,58.0,-1.0,0.5,-180.0,-40.0,98323325907044.2
5.0,1.0,58.0,-1.0,0.5,-180.0,-35.0,5479220000386.741
5.0,1.0,58.0,-1.0,0.5,-180.0,-30.0,192320551734.7312
5.0,1.0,58.0,-1.0,0.5,-180.0,-25.0,11607281100.568014
5.0,1.0,58.0,-1.0,0.5,-180.0,-20.0,2518251870.4141183
5.0,1.0,58.0,-1.0,0.5,-180.0,-15.0,2020527764.4897566
5.0,1.0,58.0,-1.0,0.5,-180.0,-10.0,3352029614.671444
5.0,1.0,58.0,-1.0,0.5,-180.0,-5.0,9918235643.469305
5.0,1.0,58.0,-1.0,0.5,-180.0,0.0,23959775353.82529
5.0,1.0,58.0,-1.0,0.5,-180.0,5.0,38280229753.00272
5.0,1.0,58.0,-1.0,0.5,-180.0,10.0,88217075382.1445
