R1,R2,heri,R3t,R3p,phi1,phi2,FF
5.0,1.0,58.0,-1.5,-0.3,-180.0,-180.0,2199916666.6094403
5.0,1.0,58.0,-1.5,-0.3,-180.0,-175.0,2481640816.449976
5.0,1.0,58.0,-1.5,-0.3,-180.0,-170.0,4495440629.884142
5.0,1.0,58.0,-1.5,-0.3,-180.0,-165.0,10124516535.68331
5.0,1.0,58.0,-1.5,-0.3,-180.0,-160.0,27527093834.820805
5.0,1.0,58.0,-1.5,-0.3,-180.0,-155.0,32934137088.34048
5.0,1.0,58.0,-1.5,-0.3,-180.0,-150.0,19857392945.260952
5.0,1.0,58.0,-1.5,-0.3,-180.0,-145.0,27265294033.74073
5.0,1.0,58.0,-1.5,-0.3,-180.0,-140.0,38166714313.68748
5.0,1.0,58.0,-1.5,-0.3,-180.0,-135.0,31638310646.90539
5.0,1.0,58.0,-1.5,-0.3,-180.0,-130.0,15849430210.727707
5.0,1.0,58.0,-1.5,-0.3,-180.0,-125.0,9576093401.973461
5.0,1.0,58.0,-1.5,-0.3,-180.0,-120.0,49213556486.28881
5.0,1.0,58.0,-1.5,-0.3,-180.0,-115.0,1031911082229.4823
5.0,1.0,58.0,-1.5,-0.3,-180.0,-110.0,50292168508658.43
5.0,1.0,58.0,-1.5,-0.3,-180.0,-105.0,4288095987020962.0
5.0,1.0,58.0,-1.5,-0.3,-180.0,-100.0,2.900847680959163e+16
5.0,1.0,58.0,-1.5,-0.3,-180.0,-95.0,969220752171456.1
5.0,1.0,58.0,-1.5,-0.3,-180.0,-90.0,1479614492789629.5
5.0,1.0,58.0,-1.5,-0.3,-180.0,-85.0,2.259725625008146e+19
5.0,1.0,58.0,-1.5,-0.3,-180.0,-80.0,1.00461493972043e+16
5.0,1.0,58.0,-1.5,-0.3,-180.0,-75.0,5079240433631.927
5.0,1.0,58.0,-1.5,-0.3,-180.0,-70.0,44818650274.65955
5.0,1.0,58.0,-1.5,-0.3,-180.0,-65.0,6327581155.138815
5.0,1.0,58.0,-1.5,-0.3,-180.0,-60.0,14003335678.360743
5.0,1.0,58.0,-1.5,-0.3,-180.0,-55.0,34131248383.41391
5.0,1.0,58.0,-1.5,-0.3,-180.0,-50.0,72592199078.7824
5.0,1.0,58.0,-1.5,-0.3,-180.0,-45.0,213674186672.89236
5.0,1.0,58.0,-1.5,-0.3,-180.0,-40.0,368488633810.3402
5.0,1.0,58.0,-1.5,-0.3,-180.0,-35.0,171985144383.76294
5.0,1.0,58.0,-1.5,-0.3,-180.0,-30.0,31510380854.59565
5.0,1.0,58.0,-1.5,-0.3,-180.0,-25.0,5122194733.226933
5.0,1.0,58.0,-1.5,-0.3,-180.0,-20.0,1850281353.8987706
5.0,1.0,58.0,-1.5,-0.3,-180.0,-15.0,3020486780.663041
5.0,1.0,58.0,-1.5,-0.3,-180.0,-10.0,60032996605.265854
5.0,1.0,58.0,-1.5,-0.3,-180.0,-5.0,8417188046579.949
5.0,1.0,58.0,-1.5,-0.3,-180.0,0.0,2.3556957169494468e+16
5.0,1.0,58.0,-1.5,-0.3,-180.0,5.0,1.4022601947567872e+19
5.0,1.0,58.0,-1.5,-0.3,-180.0,10.0,708002722543634.5
5.0,1.0,58.0,-1.5,-0.3,-180.0,15.0,1025798496196.7583
5.0,1.0,58.0,-1.5,-0.3,-180.0,20.0,18206453272.65909
5.0,1.0,58.0,-1.5,-0.3,-180.0,25.0,4138203118.241397
5.0,1.0,58.0,-1.5,-0.3,-180.0,30.0,2385309712.3187375
5.0,1.0,58.0,-1.5,-0.3,-180.0,35.0,1657501208.513789
5.0,1.0,58.0,-1.5,-0.3,-180.0,40.0,1402791269.830141
5.0,1.0,58.0,-1.5,-0.3,-180.0,45.0,1332809673.711916
5.0,1.0,58.0,-1.5,-0.3,-180.0,50.0,1335482108.0259633
5.0,1.0,58.0,-1.5,-0.3,-180.0,55.0,1422476841.1402829
5.0,1.0,58.0,-1.5,-0.3,-180.0,60.0,1630423755.2727442
5.0,1.0,58.0,-1.5,-0.3,-180.0,65.0,1793906083.164922
5.0,1.0,58.0,-1.5,-0.3,-180.0,70.0,1664300988.5537152
5.0,1.0,58.0,-1.5,-0.3,-180.0,75.0,1424486646.1088247
5.0,1.0,58.0,-1.5,-0.3,-180.0,80.0,1329524003.7305632
5.0,1.0,58.0,-1.5,-0.3,-180.0,85.0,1558214134.5527496
5.0,1.0,58.0,-1.5,-0.3,-180.0,90.0,4103816070.9901958
5.0,1.0,58.0,-1.5,-0.3,-180.0,95.0,72524079339.95169
5.0,1.0,58.0,-1.5,-0.3,-180.0,100.0,33763498630974.613
5.0,1.0,58.0,-1.5,-0.3,-180.0,105.0,471103925732724.8
5.0,1.0,58.0,-1.5,-0.3,-180.0,110.0,25744402530349.914
5.0,1.0,58.0,-1.5,-0.3,-180.0,115.0,6543852112431.35
5.0,1.0,58.0,-1.5,-0.3,-180.0,120.0,441528746017.37134
5.0,1.0,58.0,-1.5,-0.3,-180.0,125.0,46354113957.05374
5.0,1.0,58.0,-1.5,-0.3,-180.0,130.0,11235033317.032751
5.0,1.0,58.0,-1.5,-0.3,-180.0,135.0,40876595111.170135
5.0,1.0,58.0,-1.5,-0.3,-180.0,140.0,82184678947935.98
5.0,1.0,58.0,-1.5,-0.3,-180.0,145.0,956525061065389.4
5.0,1.0,58.0,-1.5,-0.3,-180.0,150.0,6542755575840.885
5.0,1.0,58.0,-1.5,-0.3,-180.0,155.0,14625210112.444439
5.0,1.0,58.0,-1.5,-0.3,-180.0,160.0,2268432285.51486
5.0,1.0,58.0,-1.5,-0.3,-180.0,165.0,2040265231.076961
5.0,1.0,58.0,-1.5,-0.3,-180.0,170.0,2319327221.0824094
5.0,1.0,58.0,-1.5,-0.3,-180.0,175.0,2479919362.6465526
5.0,1.0,58.0,-1.5,-0.3,-180.0,180.0,2199916666.609439
5.0,1.0,58.0,-1.5,-0.3,-175.0,-180.0,4597056053.983366
5.0,1.0,58.0,-1.5,-0.3,-175.0,-175.0,1856746271.6061935
