R1,R2,heri,R3t,R3p,phi1,phi2,FF
5.0,1.0,58.0,1.3,-1.0,-180.0,-180.0,3584298201.1352344
5.0,1.0,58.0,1.3,-1.0,-180.0,-175.0,3957803335.6620793
5.0,1.0,58.0,1.3,-1.0,-180.0,-170.0,8302646998.355876
5.0,1.0,58.0,1.3,-1.0,-180.0,-165.0,35368318942666.73
5.0,1.0,58.0,1.3,-1.0,-180.0,-160.0,1.6782694707419126e+16
5.0,1.0,58.0,1.3,-1.0,-180.0,-155.0,385524633979.8502
5.0,1.0,58.0,1.3,-1.0,-180.0,-150.0,2713017102.3116984
5.0,1.0,58.0,1.3,-1.0,-180.0,-145.0,481287541.31301403
5.0,1.0,58.0,1.3,-1.0,-180.0,-140.0,16666859.556270985
5.0,1.0,58.0,1.3,-1.0,-180.0,-135.0,730014.5115004665
5.0,1.0,58.0,1.3,-1.0,-180.0,-130.0,58326.868516673
5.0,1.0,58.0,1.3,-1.0,-180.0,-125.0,20156.28067913733
5.0,1.0,58.0,1.3,-1.0,-180.0,-120.0,32215.332889910937
5.0,1.0,58.0,1.3,-1.0,-180.0,-115.0,258863.58336035954
5.0,1.0,58.0,1.3,-1.0,-180.0,-110.0,6502809.345949069
5.0,1.0,58.0,1.3,-1.0,-180.0,-105.0,129632087.76048425
5.0,1.0,58.0,1.3,-1.0,-180.0,-100.0,200769078.75589833
5.0,1.0,58.0,1.3,-1.0,-180.0,-95.0,34653757.555183575
5.0,1.0,58.0,1.3,-1.0,-180.0,-90.0,1510822937.80057
5.0,1.0,58.0,1.3,-1.0,-180.0,-85.0,416870798066.169
5.0,1.0,58.0,1.3,-1.0,-180.0,-80.0,456260971069.4538
5.0,1.0,58.0,1.3,-1.0,-180.0,-75.0,2239410162.782541
5.0,1.0,58.0,1.3,-1.0,-180.0,-70.0,3089057009.3951974
5.0,1.0,58.0,1.3,-1.0,-180.0,-65.0,8910863859.118908
5.0,1.0,58.0,1.3,-1.0,-180.0,-60.0,12215711025.412516
5.0,1.0,58.0,1.3,-1.0,-180.0,-55.0,531214376686.5366
5.0,1.0,58.0,1.3,-1.0,-180.0,-50.0,346164706209.0282
5.0,1.0,58.0,1.3,-1.0,-180.0,-45.0,1255393841.5306025
5.0,1.0,58.0,1.3,-1.0,-180.0,-40.0,28264048.373462316
5.0,1.0,58.0,1.3,-1.0,-180.0,-35.0,3336274.225637512
5.0,1.0,58.0,1.3,-1.0,-180.0,-30.0,594655.7361128838
5.0,1.0,58.0,1.3,-1.0,-180.0,-25.0,173640.39848367384
5.0,1.0,58.0,1.3,-1.0,-180.0,-20.0,75278.66076589825
5.0,1.0,58.0,1.3,-1.0,-180.0,-15.0,43769.21685904225
5.0,1.0,58.0,1.3,-1.0,-180.0,-10.0,33308.80367162575
5.0,1.0,58.0,1.3,-1.0,-180.0,-5.0,31889.97572674854
5.0,1.0,58.0,1.3,-1.0,-180.0,0.0,34908.77607010134
5.0,1.0,58.0,1.3,-1.0,-180.0,5.0,40509.64618057646
5.0,1.0,58.0,1.3,-1.0,-180.0,10.0,47283.07627317804
5.0,1.0,58.0,1.3,-1.0,-180.0,15.0,52574.92800787763
5.0,1.0,58.0,1.3,-1.0,-180.0,20.0,53286.44426117485
5.0,1.0,58.0,1.3,-1.0,-180.0,25.0,48170.55594584082
5.0,1.0,58.0,1.3,-1.0,-180.0,30.0,38781.31738681992
5.0,1.0,58.0,1.3,-1.0,-180.0,35.0,28156.572052822296
5.0,1.0,58.0,1.3,-1.0,-180.0,40.0,18824.276073100566
5.0,1.0,58.0,1.3,-1.0,-180.0,45.0,11874.955375546157
5.0,1.0,58.0,1.3,-1.0,-180.0,50.0,7250.786089742398
5.0,1.0,58.0,1.3,-1.0,-180.0,55.0,4440.508657423169
5.0,1.0,58.0,1.3,-1.0,-180.0,60.0,3033.015586628312
5.0,1.0,58.0,1.3,-1.0,-180.0,65.0,3136.4687003393556
5.0,1.0,58.0,1.3,-1.0,-180.0,70.0,5352.598779989787
5.0,1.0,58.0,1.3,-1.0,-180.0,75.0,8387.372521087686
5.0,1.0,58.0,1.3,-1.0,-180.0,80.0,8039.361474104921
5.0,1.0,58.0,1.3,-1.0,-180.0,85.0,5138.731132955171
5.0,1.0,58.0,1.3,-1.0,-180.0,90.0,3681.076641619294
5.0,1.0,58.0,1.3,-1.0,-180.0,95.0,4645.79319435649
5.0,1.0,58.0,1.3,-1.0,-180.0,100.0,7306.630901813616
5.0,1.0,58.0,1.3,-1.0,-180.0,105.0,7853.167305107553
5.0,1.0,58.0,1.3,-1.0,-180.0,110.0,4700.800226703247
5.0,1.0,58.0,1.3,-1.0,-180.0,115.0,2187.231635581314
5.0,1.0,58.0,1.3,-1.0,-180.0,120.0,8965.20487573342
5.0,1.0,58.0,1.3,-1.0,-180.0,125.0,143512.13494799007
5.0,1.0,58.0,1.3,-1.0,-180.0,130.0,5035550.318503437
5.0,1.0,58.0,1.3,-1.0,-180.0,135.0,9694630841.153942
5.0,1.0,58.0,1.3,-1.0,-180.0,140.0,80838005857.11717
5.0,1.0,58.0,1.3,-1.0,-180.0,145.0,72779765579.99998
5.0,1.0,58.0,1.3,-1.0,-180.0,150.0,4051441301688.2803
5.0,1.0,58.0,1.3,-1.0,-180.0,155.0,46180148158.87734
5.0,1.0,58.0,1.3,-1.0,-180.0,160.0,4085945664.629782
5.0,1.0,58.0,1.3,-1.0,-180.0,165.0,33378462428840.16
5.0,1.0,58.0,1.3,-1.0,-180.0,170.0,7648017743.614145
5.0,1.0,58.0,1.3,-1.0,-180.0,175.0,6068723377.5384865
5.0,1.0,58.0,1.3,-1.0,-180.0,180.0,3584298201.135213
5.0,1.0,58.0,1.3,-1.0,-175.0,-180.0,4188238359.5533915
5.0,1.0,58.0,1.3,-1.0,-175.0,-175.0,51811654005.97539
5.0,1.0,58.0,1.3,-1.0,-175.0,-170.0,84866502323.47556
5.0,1.0,58.0,1.3,-1.0,-175.0,-165.0,2076005968614292.0
5.0,1.0,58.0,1.3,-1.0,-175.0,-160.0,381293462145807.7
5.0,1.0,58.0,1.3,-1.0,-175.0,-155.0,31316333600.564323
5.0,1.0,58.0,1.3,-1.0,-175.0,-150.0,2264024368.367776
5.0,1.0,58.0,1.3,-1.0,-175.0,-145.0,466592273.38243085
5.0,1.0,58.0,1.3,-1.0,-175.0,-140.0,13648625.25237441
5.0,1.0,58.0,1.3,-1.0,-175.0,-135.0,606588.3824251228
5.0,1.0,58.0,1.3,-1.0,-175.0,-130.0,175740.47930447076
5.0,1.0,58.0,1.3,-1.0,-175.0,-125.0,157841.8003490039
5.0,1.0,58.0,1.3,-1.0,-175.0,-120.0,219048.70188574927
5.0,1.0,58.0,1.3,-1.0,-175.0,-115.0,2025703.1506551828
5.0,1.0,58.0,1.3,-1.0,-175.0,-110.0,166102211.95347205
5.0,1.0,58.0,1.3,-1.0,-175.0,-105.0,10299203363.401224
5.0,1.0,58.0,1.3,-1.0,-175.0,-100.0,2436396844.6349216
