R1,R2,heri,R3t,R3p,phi1,phi2,FF
5.0,1.0,58.0,1.4,-0.7,-180.0,-180.0,4212707273.9143004
5.0,1.0,58.0,1.4,-0.7,-180.0,-175.0,4229412161.69674
5.0,1.0,58.0,1.4,-0.7,-180.0,-170.0,8601107232.376915
5.0,1.0,58.0,1.4,-0.7,-180.0,-165.0,62113703651224.625
5.0,1.0,58.0,1.4,-0.7,-180.0,-160.0,6.967639147801795e+17
5.0,1.0,58.0,1.4,-0.7,-180.0,-155.0,850349211146.3497
5.0,1.0,58.0,1.4,-0.7,-180.0,-150.0,3225629793.345651
5.0,1.0,58.0,1.4,-0.7,-180.0,-145.0,552785078.0988657
5.0,1.0,58.0,1.4,-0.7,-180.0,-140.0,15819032.100046458
5.0,1.0,58.0,1.4,-0.7,-180.0,-135.0,643587.4579751597
5.0,1.0,58.0,1.4,-0.7,-180.0,-130.0,57859.011274201155
5.0,1.0,58.0,1.4,-0.7,-180.0,-125.0,24201.57662961461
5.0,1.0,58.0,1.4,-0.7,-180.0,-120.0,36026.001828483444
5.0,1.0,58.0,1.4,-0.7,-180.0,-115.0,165150.28741746725
5.0,1.0,58.0,1.4,-0.7,-180.0,-110.0,1770935.712809988
5.0,1.0,58.0,1.4,-0.7,-180.0,-105.0,10511308.91220033
5.0,1.0,58.0,1.4,-0.7,-180.0,-100.0,9440009.114089303
5.0,1.0,58.0,1.4,-0.7,-180.0,-95.0,12455527.15345138
5.0,1.0,58.0,1.4,-0.7,-180.0,-90.0,480493925.4035258
5.0,1.0,58.0,1.4,-0.7,-180.0,-85.0,11686131449.730633
5.0,1.0,58.0,1.4,-0.7,-180.0,-80.0,5273896220.471105
5.0,1.0,58.0,1.4,-0.7,-180.0,-75.0,269034004.07227165
5.0,1.0,58.0,1.4,-0.7,-180.0,-70.0,354412273.58742213
5.0,1.0,58.0,1.4,-0.7,-180.0,-65.0,567991548.9906191
5.0,1.0,58.0,1.4,-0.7,-180.0,-60.0,1012807105.765309
5.0,1.0,58.0,1.4,-0.7,-180.0,-55.0,12720008876.99826
5.0,1.0,58.0,1.4,-0.7,-180.0,-50.0,4414881474.658458
5.0,1.0,58.0,1.4,-0.7,-180.0,-45.0,113625593.26157163
5.0,1.0,58.0,1.4,-0.7,-180.0,-40.0,8022315.660471284
5.0,1.0,58.0,1.4,-0.7,-180.0,-35.0,1310022.176326531
5.0,1.0,58.0,1.4,-0.7,-180.0,-30.0,327822.19884428434
5.0,1.0,58.0,1.4,-0.7,-180.0,-25.0,163276.11880493455
5.0,1.0,58.0,1.4,-0.7,-180.0,-20.0,123039.11211928142
5.0,1.0,58.0,1.4,-0.7,-180.0,-15.0,113643.21496400898
5.0,1.0,58.0,1.4,-0.7,-180.0,-10.0,126634.39137666
