R1,R2,heri,R3t,R3p,phi1,phi2,FF
5.0,1.0,58.0,1.0,-0.2,-180.0,-180.0,623470723.2784401
5.0,1.0,58.0,1.0,-0.2,-180.0,-175.0,966372533.8106734
5.0,1.0,58.0,1.0,-0.2,-180.0,-170.0,54371526765.34905
5.0,1.0,58.0,1.0,-0.2,-180.0,-165.0,23605086815947.973
5.0,1.0,58.0,1.0,-0.2,-180.0,-160.0,39295665918.67842
5.0,1.0,58.0,1.0,-0.2,-180.0,-155.0,2137887339.9239807
5.0,1.0,58.0,1.0,-0.2,-180.0,-150.0,601391812.7426068
5.0,1.0,58.0,1.0,-0.2,-180.0,-145.0,576297465.9505541
5.0,1.0,58.0,1.0,-0.2,-180.0,-140.0,56908161.94812831
5.0,1.0,58.0,1.0,-0.2,-180.0,-135.0,64920245.10894532
5.0,1.0,58.0,1.0,-0.2,-180.0,-130.0,180293118.55270725
5.0,1.0,58.0,1.0,-0.2,-180.0,-125.0,407115697.7850817
5.0,1.0,58.0,1.0,-0.2,-180.0,-120.0,629256205.246052
5.0,1.0,58.0,1.0,-0.2,-180.0,-115.0,605798551.9172739
5.0,1.0,58.0,1.0,-0.2,-180.0,-110.0,370655269.5753951
5.0,1.0,58.0,1.0,-0.2,-180.0,-105.0,174045744.38797858
5.0,1.0,58.0,1.0,-0.2,-180.0,-100.0,133480504.96187164
5.0,1.0,58.0,1.0,-0.2,-180.0,-95.0,400096809.41009057
5.0,1.0,58.0,1.0,-0.2,-180.0,-90.0,1844715629.3471098
5.0,1.0,58.0,1.0,-0.2,-180.0,-85.0,7118191244.485493
5.0,1.0,58.0,1.0,-0.2,-180.0,-80.0,17555301599.6986
5.0,1.0,58.0,1.0,-0.2,-180.0,-75.0,499199309040.49304
5.0,1.0,58.0,1.0,-0.2,-180.0,-70.0,2.540177709840029e+16
5.0,1.0,58.0,1.0,-0.2,-180.0,-65.0,1.0876967780787406e+18
5.0,1.0,58.0,1.0,-0.2,-180.0,-60.0,2270685590883.378
5.0,1.0,58.0,1.0,-0.2,-180.0,-55.0,4724575460.317692
5.0,1.0,58.0,1.0,-0.2,-180.0,-50.0,4071566077.727645
5.0,1.0,58.0,1.0,-0.2,-180.0,-45.0,1934553655.1310544
5.0,1.0,58.0,1.0,-0.2,-180.0,-40.0,647389340.1182791
5.0,1.0,58.0,1.0,-0.2,-180.0,-35.0,1195945085.035853
5.0,1.0,58.0,1.0,-0.2,-180.0,-30.0,1163952404.7791204
5.0,1.0,58.0,1.0,-0.2,-180.0,-25.0,781423663.0010734
5.0,1.0,58.0,1.0,-0.2,-180.0,-20.0,411192447.0441398
5.0,1.0,58.0,1.0,-0.2,-180.0,-15.0,190782543.80069944
5.0,1.0,58.0,1.0,-0.2,-180.0,-10.0,182483406.31826323
5.0,1.0,58.0,1.0,-0.2,-180.0,-5.0,615799961.6801822
5.0,1.0,58.0,1.0,-0.2,-180.0,0.0,2719587750.1382875
5.0,1.0,58.0,1.0,-0.2,-180.0,5.0,9278664202.30781
5.0,1.0,58.0,1.0,-0.2,-180.0,10.0,17302892697.478325
5.0,1.0,58.0,1.0,-0.2,-180.0,15.0,14125756784.165031
5.0,1.0,58.0,1.0,-0.2,-180.0,20.0,5448170079.578187
5.0,1.0,58.0,1.0,-0.2,-180.0,25.0,1334854120.9183464
5.0,1.0,58.0,1.0,-0.2,-180.0,30.0,276309094.01388663
5.0,1.0,58.0,1.0,-0.2,-180.0,35.0,57436491.687702335
5.0,1.0,58.0,1.0,-0.2,-180.0,40.0,12986812.438519463
5.0,1.0,58.0,1.0,-0.2,-180.0,45.0,3286101.8713896987
5.0,1.0,58.0,1.0,-0.2,-180.0,50.0,935335.9260877004
5.0,1.0,58.0,1.0,-0.2,-180.0,55.0,298747.11939277645
5.0,1.0,58.0,1.0,-0.2,-180.0,60.0,107002.34923484497
5.0,1.0,58.0,1.0,-0.2,-180.0,65.0,43450.743324293784
5.0,1.0,58.0,1.0,-0.2,-180.0,70.0,21165.755823136835
5.0,1.0,58.0,1.0,-0.2,-180.0,75.0,14782.609413557739
5.0,1.0,58.0,1.0,-0.2,-180.0,80.0,15431.65816067043
5.0,1.0,58.0,1.0,-0.2,-180.0,85.0,15831.45789089157
5.0,1.0,58.0,1.0,-0.2,-180.0,90.0,14268.481848287767
5.0,1.0,58.0,1.0,-0.2,-180.0,95.0,13763.363077150574
5.0,1.0,58.0,1.0,-0.2,-180.0,100.0,13549.44296253322
5.0,1.0,58.0,1.0,-0.2,-180.0,105.0,14127.824096830307
5.0,1.0,58.0,1.0,-0.2,-180.0,110.0,14284.39675386013
5.0,1.0,58.0,1.0,-0.2,-180.0,115.0,11164.442858767814
5.0,1.0,58.0,1.0,-0.2,-180.0,120.0,9149.3956297664
5.0,1.0,58.0,1.0,-0.2,-180.0,125.0,25874.750822089496
5.0,1.0,58.0,1.0,-0.2,-180.0,130.0,556534.6953865608
5.0,1.0,58.0,1.0,-0.2,-180.0,135.0,61447891.71954215
5.0,1.0,58.0,1.0,-0.2,-180.0,140.0,760888038.5655819
5.0,1.0,58.0,1.0,-0.2,-180.0,145.0,1539769820.2002447
5.0,1.0,58.0,1.0,-0.2,-180.0,150.0,24264504075.655327
5.0,1.0,58.0,1.0,-0.2,-180.0,155.0,801899290.8738873
5.0,1.0,58.0,1.0,-0.2,-180.0,160.0,378244857.14494973
5.0,1.0,58.0,1.0,-0.2,-180.0,165.0,9725918546.34114
5.0,1.0,58.0,1.0,-0.2,-180.0,170.0,1881941057274.4775
5.0,1.0,58.0,1.0,-0.2,-180.0,175.0,457193076338.011
5.0,1.0,58.0,1.0,-0.2,-180.0,180.0,623470723.278437
5.0,1.0,58.0,1.0,-0.2,-175.0,-180.0,761326663.9635988
5.0,1.0,58.0,1.0,-0.2,-175.0,-175.0,1888416032.860254
5.0,1.0,58.0,1.0,-0.2,-175.0,-170.0,3234690845.902307
5.0,1.0,58.0,1.0,-0.2,-175.0,-165.0,104517456139047.73
5.0,1.0,58.0,1.0,-0.2,-175.0,-160.0,14863536033.109241
5.0,1.0,58.0,1.0,-0.2,-175.0,-155.0,528250518.5327364
5.0,1.0,58.0,1.0,-0.2,-175.0,-150.0,554225874.0152277
5.0,1.0,58.0,1.0,-0.2,-175.0,-145.0,240889047.15817985
5.0,1.0,58.0,1.0,-0.2,-175.0,-140.0,46283247.816398196
5.0,1.0,58.0,1.0,-0.2,-175.0,-135.0,77060002.18738575
5.0,1.0,58.0,1.0,-0.2,-175.0,-130.0,120719231.48026289
5.0,1.0,58.0,1.0,-0.2,-175.0,-125.0,131488097.98364739
5.0,1.0,58.0,1.0,-0.2,-175.0,-120.0,103272912.92424837
5.0,1.0,58.0,1.0,-0.2,-175.0,-115.0,78217745.91105567
5.0,1.0,58.0,1.0,-0.2,-175.0,-110.0,95836115.96794558
5.0,1.0,58.0,1.0,-0.2,-175.0,-105.0,171813929.52302766
5.0,1.0,58.0,1.0,-0.2,-175.0,-100.0,285331338.00401616
5.0,1.0,58.0,1.0,-0.2,-175.0,-95.0,391128029.32257074
5.0,1.0,58.0,1.0,-0.2,-175.0,-90.0,606647610.5105909
5.0,1.0,58.0,1.0,-0.2,-175.0,-85.0,759184058.6396098
5.0,1.0,58.0,1.0,-0.2,-175.0,-80.0,16689570292.462364
5.0,1.0,58.0,1.0,-0.2,-175.0,-75.0,28533544260052.55
5.0,1.0,58.0,1.0,-0.2,-175.0,-70.0,2.853296120231647e+21
5.0,1.0,58.0,1.0,-0.2,-175.0,-65.0,546641871162106.75
5.0,1.0,58.0,1.0,-0.2,-175.0,-60.0,75405050532.74814
5.0,1.0,58.0,1.0,-0.2,-175.0,-55.0,4817551497.278463
5.0,1.0,58.0,1.0,-0.2,-175.0,-50.0,32687775087.554432
5.0,1.0,58.0,1.0,-0.2,-175.0,-45.0,4227222276.179073
5.0,1.0,58.0,1.0,-0.2,-175.0,-40.0,571378042.4496502
5.0,1.0,58.0,1.0,-0.2,-175.0,-35.0,500180434.4662233
5.0,1.0,58.0,1.0,-0.2,-175.0,-30.0,163322294.5728854
5.0,1.0,58.0,1.0,-0.2,-175.0,-25.0,82932932.12076426
5.0,1.0,58.0,1.0,-0.2,-175.0,-20.0,110594245.6906319
5.0,1.0,58.0,1.0,-0.2,-175.0,-15.0,200162474.00539786
5.0,1.0,58.0,1.0,-0.2,-175.0,-10.0,303621753.85069007
5.0,1.0,58.0,1.0,-0.2,-175.0,-5.0,328644940.9272901
5.0,1.0,58.0,1.0,-0.2,-175.0,0.0,246402812.53210917
5.0,1.0,58.0,1.0,-0.2,-175.0,5.0,134273824.40128604
5.0,1.0,58.0,1.0,-0.2,-175.0,10.0,58216807.23794654
5.0,1.0,58.0,1.0,-0.2,-175.0,15.0,22083948.268171113
5.0,1.0,58.0,1.0,-0.2,-175.0,20.0,7912343.264718178
5.0,1.0,58.0,1.0,-0.2,-175.0,25.0,2821541.124825292
5.0,1.0,58.0,1.0,-0.2,-175.0,30.0,1034085.45747256
5.0,1.0,58.0,1.0,-0.2,-175.0,35.0,396592.61886408913
5.0,1.0,58.0,1.0,-0.2,-175.0,40.0,160703.2010086712
5.0,1.0,58.0,1.0,-0.2,-175.0,45.0,69197.84514436057
5.0,1.0,58.0,1.0,-0.2,-175.0,50.0,31838.578012985283
5.0,1.0,58.0,1.0,-0.2,-175.0,55.0,15771.85606127039
5.0,1.0,58.0,1.0,-0.2,-175.0,60.0,8484.703712256394
5.0,1.0,58.0,1.0,-0.2,-175.0,65.0,4997.243915035516
5.0,1.0,58.0,1.0,-0.2,-175.0,70.0,3261.658882555846
5.0,1.0,58.0,1.0,-0.2,-175.0,75.0,2449.5130329732706
5.0,1.0,58.0,1.0,-0.2,-175.0,80.0,2369.5906469838847
5.0,1.0,58.0,1.0,-0.2,-175.0,85.0,3213.1296241866426
5.0,1.0,58.0,1.0,-0.2,-175.0,90.0,4832.878311188656
5.0,1.0,58.0,1.0,-0.2,-175.0,95.0,5822.967914533851
5.0,1.0,58.0,1.0,-0.2,-175.0,100.0,5552.692533397128
5.0,1.0,58.0,1.0,-0.2,-175.0,105.0,5269.168801977171
5.0,1.0,58.0,1.0,-0.2,-175.0,110.0,5455.657412735187
5.0,1.0,58.0,1.0,-0.2,-175.0,115.0,6202.42400284044
5.0,1.0,58.0,1.0,-0.2,-175.0,120.0,7360.703257661051
5.0,1.0,58.0,1.0,-0.2,-175.0,125.0,10806.190934617338
5.0,1.0,58.0,1.0,-0.2,-175.0,130.0,54618.66452009461
5.0,1.0,58.0,1.0,-0.2,-175.0,135.0,2552589.713949139
5.0,1.0,58.0,1.0,-0.2,-175.0,140.0,116360624.77668524
5.0,1.0,58.0,1.0,-0.2,-175.0,145.0,134955634.81084955
5.0,1.0,58.0,1.0,-0.2,-175.0,150.0,1390477950.246823
5.0,1.0,58.0,1.0,-0.2,-175.0,155.0,2357824916.2607036
5.0,1.0,58.0,1.0,-0.2,-175.0,160.0,606318203.9955881
5.0,1.0,58.0,1.0,-0.2,-175.0,165.0,9689631752.44073
5.0,1.0,58.0,1.0,-0.2,-175.0,170.0,31809096199.24562
5.0,1.0,58.0,1.0,-0.2,-175.0,175.0,8923116243306.35
5.0,1.0,58.0,1.0,-0.2,-175.0,180.0,761326663.963598
5.0,1.0,58.0,1.0,-0.2,-170.0,-180.0,1114644322.5571506
5.0,1.0,58.0,1.0,-0.2,-170.0,-175.0,7790276506.506384
5.0,1.0,58.0,1.0,-0.2,-170.0,-170.0,4227087025.128444
5.0,1.0,58.0,1.0,-0.2,-170.0,-165.0,7984917191794.498
5.0,1.0,58.0,1.0,-0.2,-170.0,-160.0,7745413836.590651
5.0,1.0,58.0,1.0,-0.2,-170.0,-155.0,223925290.40739027
5.0,1.0,58.0,1.0,-0.2,-170.0,-150.0,554735578.0404555
5.0,1.0,58.0,1.0,-0.2,-170.0,-145.0,127431371.23495689
5.0,1.0,58.0,1.0,-0.2,-170.0,-140.0,32759795.74489195
