R1,R2,heri,R3t,R3p,phi1,phi2,FF
5.0,1.0,58.0,-1.9,-1.8,-180.0,-180.0,429066.6033284225
5.0,1.0,58.0,-1.9,-1.8,-180.0,-175.0,513384.1759352843
5.0,1.0,58.0,-1.9,-1.8,-180.0,-170.0,717670.0265403487
5.0,1.0,58.0,-1.9,-1.8,-180.0,-165.0,1226119.5449294758
5.0,1.0,58.0,-1.9,-1.8,-180.0,-160.0,2575087.4849965647
5.0,1.0,58.0,-1.9,-1.8,-180.0,-155.0,6137706.210327805
5.0,1.0,58.0,-1.9,-1.8,-180.0,-150.0,15092845.873486223
5.0,1.0,58.0,-1.9,-1.8,-180.0,-145.0,35756632.491595626
5.0,1.0,58.0,-1.9,-1.8,-180.0,-140.0,78914298.17606539
5.0,1.0,58.0,-1.9,-1.8,-180.0,-135.0,159760763.60389844
5.0,1.0,58.0,-1.9,-1.8,-180.0,-130.0,272146442.6091398
5.0,1.0,58.0,-1.9,-1.8,-180.0,-125.0,328027115.3976113
5.0,1.0,58.0,-1.9,-1.8,-180.0,-120.0,298453711.0461597
5.0,1.0,58.0,-1.9,-1.8,-180.0,-115.0,526693780.17995185
5.0,1.0,58.0,-1.9,-1.8,-180.0,-110.0,2724837621.8147674
5.0,1.0,58.0,-1.9,-1.8,-180.0,-105.0,20593750697.048717
5.0,1.0,58.0,-1.9,-1.8,-180.0,-100.0,186242173153.43805
5.0,1.0,58.0,-1.9,-1.8,-180.0,-95.0,1240429683301.017
5.0,1.0,58.0,-1.9,-1.8,-180.0,-90.0,4026392734983.097
5.0,1.0,58.0,-1.9,-1.8,-180.0,-85.0,3190963580162.093
5.0,1.0,58.0,-1.9,-1.8,-180.0,-80.0,709927836342.2659
5.0,1.0,58.0,-1.9,-1.8,-180.0,-75.0,89869220365.03796
5.0,1.0,58.0,-1.9,-1.8,-180.0,-70.0,25035823429.543953
5.0,1.0,58.0,-1.9,-1.8,-180.0,-65.0,3148635271.9701133
5.0,1.0,58.0,-1.9,-1.8,-180.0,-60.0,285506456.0229638
5.0,1.0,58.0,-1.9,-1.8,-180.0,-55.0,89198129.87751244
5.0,1.0,58.0,-1.9,-1.8,-180.0,-50.0,71132820.73251066
5.0,1.0,58.0,-1.9,-1.8,-180.0,-45.0,76020733.08364275
5.0,1.0,58.0,-1.9,-1.8,-180.0,-40.0,68533572.91821915
5.0,1.0,58.0,-1.9,-1.8,-180.0,-35.0,48267054.95153237
5.0,1.0,58.0,-1.9,-1.8,-180.0,-30.0,28263193.74282948
5.0,1.0,58.0,-1.9,-1.8,-180.0,-25.0,15162665.353534827
5.0,1.0,58.0,-1.9,-1.8,-180.0,-20.0,7945754.547061765
5.0,1.0,58.0,-1.9,-1.8,-180.0,-15.0,4150939.5714653856
5.0,1.0,58.0,-1.9,-1.8,-180.0,-10.0,2166172.944587378
