R1,R2,heri,R3t,R3p,phi1,phi2,FF
5.0,1.0,58.0,-0.4,-1.1,-180.0,-180.0,56092600.99461743
5.0,1.0,58.0,-0.4,-1.1,-180.0,-175.0,340395376.4299298
5.0,1.0,58.0,-0.4,-1.1,-180.0,-170.0,1626116752.5534956
5.0,1.0,58.0,-0.4,-1.1,-180.0,-165.0,3923692624.825183
5.0,1.0,58.0,-0.4,-1.1,-180.0,-160.0,3051301493.4792876
5.0,1.0,58.0,-0.4,-1.1,-180.0,-155.0,896596851.3961217
5.0,1.0,58.0,-0.4,-1.1,-180.0,-150.0,397634537.74163264
5.0,1.0,58.0,-0.4,-1.1,-180.0,-145.0,2680329422.8663063
5.0,1.0,58.0,-0.4,-1.1,-180.0,-140.0,49635522601.15427
5.0,1.0,58.0,-0.4,-1.1,-180.0,-135.0,2203440349553.624
5.0,1.0,58.0,-0.4,-1.1,-180.0,-130.0,359828407198779.94
5.0,1.0,58.0,-0.4,-1.1,-180.0,-125.0,9.197362543516128e+16
5.0,1.0,58.0,-0.4,-1.1,-180.0,-120.0,1.5598004711288182e+16
5.0,1.0,58.0,-0.4,-1.1,-180.0,-115.0,46147896949180.234
5.0,1.0,58.0,-0.4,-1.1,-180.0,-110.0,496102242939.94977
5.0,1.0,58.0,-0.4,-1.1,-180.0,-105.0,17560268162.821037
5.0,1.0,58.0,-0.4,-1.1,-180.0,-100.0,2431668283.1317368
5.0,1.0,58.0,-0.4,-1.1,-180.0,-95.0,7545838827.778954
5.0,1.0,58.0,-0.4,-1.1,-180.0,-90.0,25128736117.988262
5.0,1.0,58.0,-0.4,-1.1,-180.0,-85.0,81522344788.35165
5.0,1.0,58.0,-0.4,-1.1,-180.0,-80.0,121694124869.56691
5.0,1.0,58.0,-0.4,-1.1,-180.0,-75.0,96114469759.08662
5.0,1.0,58.0,-0.4,-1.1,-180.0,-70.0,54296861384.52263
5.0,1.0,58.0,-0.4,-1.1,-180.0,-65.0,416702363767.766
5.0,1.0,58.0,-0.4,-1.1,-180.0,-60.0,5249896255.039848
5.0,1.0,58.0,-0.4,-1.1,-180.0,-55.0,7181926352.833198
5.0,1.0,58.0,-0.4,-1.1,-180.0,-50.0,137988555042.97952
5.0,1.0,58.0,-0.4,-1.1,-180.0,-45.0,8377098125424.681
5.0,1.0,58.0,-0.4,-1.1,-180.0,-40.0,2065110254226076.8
5.0,1.0,58.0,-0.4,-1.1,-180.0,-35.0,1.6463008317778214e+17
5.0,1.0,58.0,-0.4,-1.1,-180.0,-30.0,2737417673099568.5
5.0,1.0,58.0,-0.4,-1.1,-180.0,-25.0,10470435393594.254
5.0,1.0,58.0,-0.4,-1.1,-180.0,-20.0,159386731425.74664
5.0,1.0,58.0,-0.4,-1.1,-180.0,-15.0,6631278903.631778
5.0,1.0,58.0,-0.4,-1.1,-180.0,-10.0,537149439.9844041
5.0,1.0,58.0,-0.4,-1.1,-180.0,-5.0,72788398.1659984
5.0,1.0,58.0,-0.4,-1.1,-180.0,0.0,17812795.368471052
5.0,1.0,58.0,-0.4,-1.1,-180.0,5.0,8865062.60440341
5.0,1.0,58.0,-0.4,-1.1,-180.0,10.0,6360969.079899547
5.0,1.0,58.0,-0.4,-1.1,-180.0,15.0,4565283.674517632
5.0,1.0,58.0,-0.4,-1.1,-180.0,20.0,2929353.0397629193
5.0,1.0,58.0,-0.4,-1.1,-180.0,25.0,1677576.1140849947
5.0,1.0,58.0,-0.4,-1.1,-180.0,30.0,882240.2546880187
5.0,1.0,58.0,-0.4,-1.1,-180.0,35.0,440572.1453437996
5.0,1.0,58.0,-0.4,-1.1,-180.0,40.0,215455.37499587
5.0,1.0,58.0,-0.4,-1.1,-180.0,45.0,105989.82407883156
5.0,1.0,58.0,-0.4,-1.1,-180.0,50.0,53764.7564608332
5.0,1.0,58.0,-0.4,-1.1,-180.0,55.0,29043.12141671784
5.0,1.0,58.0,-0.4,-1.1,-180.0,60.0,17667.220625019836
5.0,1.0,58.0,-0.4,-1.1,-180.0,65.0,13592.340435661963
5.0,1.0,58.0,-0.4,-1.1,-180.0,70.0,14611.351355502858
5.0,1.0,58.0,-0.4,-1.1,-180.0,75.0,18142.211016071386
5.0,1.0,58.0,-0.4,-1.1,-180.0,80.0,19467.04485361204
5.0,1.0,58.0,-0.4,-1.1,-180.0,85.0,17888.577856926226
5.0,1.0,58.0,-0.4,-1.1,-180.0,90.0,17698.204667028644
5.0,1.0,58.0,-0.4,-1.1,-180.0,95.0,19854.132986632714
5.0,1.0,58.0,-0.4,-1.1,-180.0,100.0,20704.575530858805
5.0,1.0,58.0,-0.4,-1.1,-180.0,105.0,19166.13845898753
5.0,1.0,58.0,-0.4,-1.1,-180.0,110.0,18816.703916105726
5.0,1.0,58.0,-0.4,-1.1,-180.0,115.0,21624.19457896263
5.0,1.0,58.0,-0.4,-1.1,-180.0,120.0,25201.32535286693
5.0,1.0,58.0,-0.4,-1.1,-180.0,125.0,598962.6333553084
5.0,1.0,58.0,-0.4,-1.1,-180.0,130.0,180223423719.62253
5.0,1.0,58.0,-0.4,-1.1,-180.0,135.0,574923741880.3463
5.0,1.0,58.0,-0.4,-1.1,-180.0,140.0,376319113969.26996
5.0,1.0,58.0,-0.4,-1.1,-180.0,145.0,3725733374.0012045
5.0,1.0,58.0,-0.4,-1.1,-180.0,150.0,1942337891944991.0
5.0,1.0,58.0,-0.4,-1.1,-180.0,155.0,75997263.20578393
5.0,1.0,58.0,-0.4,-1.1,-180.0,160.0,69286612849.53671
