R1,R2,heri,R3t,R3p,phi1,phi2,FF
5.0,1.0,58.0,-1.7,-1.2,-180.0,-180.0,24156905.8881743
5.0,1.0,58.0,-1.7,-1.2,-180.0,-175.0,23033657.98427855
5.0,1.0,58.0,-1.7,-1.2,-180.0,-170.0,20839482.45000818
5.0,1.0,58.0,-1.7,-1.2,-180.0,-165.0,19128157.19363052
5.0,1.0,58.0,-1.7,-1.2,-180.0,-160.0,22747561.314871818
5.0,1.0,58.0,-1.7,-1.2,-180.0,-155.0,43913946.87835255
5.0,1.0,58.0,-1.7,-1.2,-180.0,-150.0,118216745.09661955
5.0,1.0,58.0,-1.7,-1.2,-180.0,-145.0,343383831.6494375
5.0,1.0,58.0,-1.7,-1.2,-180.0,-140.0,915068633.3214697
5.0,1.0,58.0,-1.7,-1.2,-180.0,-135.0,1952898148.437152
5.0,1.0,58.0,-1.7,-1.2,-180.0,-130.0,2930883761.8394113
5.0,1.0,58.0,-1.7,-1.2,-180.0,-125.0,2846475634.175017
5.0,1.0,58.0,-1.7,-1.2,-180.0,-120.0,1809801741.1151748
5.0,1.0,58.0,-1.7,-1.2,-180.0,-115.0,854596467.252681
5.0,1.0,58.0,-1.7,-1.2,-180.0,-110.0,412664199.20334655
5.0,1.0,58.0,-1.7,-1.2,-180.0,-105.0,354178973.2728892
5.0,1.0,58.0,-1.7,-1.2,-180.0,-100.0,486788707.36567396
5.0,1.0,58.0,-1.7,-1.2,-180.0,-95.0,624190546.0801196
5.0,1.0,58.0,-1.7,-1.2,-180.0,-90.0,613486508.1319559
5.0,1.0,58.0,-1.7,-1.2,-180.0,-85.0,456145615.2957142
5.0,1.0,58.0,-1.7,-1.2,-180.0,-80.0,276026502.2821896
5.0,1.0,58.0,-1.7,-1.2,-180.0,-75.0,152633108.63951308
5.0,1.0,58.0,-1.7,-1.2,-180.0,-70.0,92506307.57127847
5.0,1.0,58.0,-1.7,-1.2,-180.0,-65.0,88600442.628435
5.0,1.0,58.0,-1.7,-1.2,-180.0,-60.0,176165435.7459441
5.0,1.0,58.0,-1.7,-1.2,-180.0,-55.0,469851873.34222656
5.0,1.0,58.0,-1.7,-1.2,-180.0,-50.0,1173538514.610384
5.0,1.0,58.0,-1.7,-1.2,-180.0,-45.0,2281037468.953593
5.0,1.0,58.0,-1.7,-1.2,-180.0,-40.0,3026143652.854454
5.0,1.0,58.0,-1.7,-1.2,-180.0,-35.0,2573757314.3084545
5.0,1.0,58.0,-1.7,-1.2,-180.0,-30.0,1452032990.205831
5.0,1.0,58.0,-1.7,-1.2,-180.0,-25.0,605463883.2987818
5.0,1.0,58.0,-1.7,-1.2,-180.0,-20.0,212024333.2139236
5.0,1.0,58.0,-1.7,-1.2,-180.0,-15.0,69762407.71291383
5.0,1.0,58.0,-1.7,-1.2,-180.0,-10.0,24401096.082435343
5.0,1.0,58.0,-1.7,-1.2,-180.0,-5.0,12233821.735010633
5.0,1.0,58.0,-1.7,-1.2,-180.0,0.0,12463523.86647079
5.0,1.0,58.0,-1.7,-1.2,-180.0,5.0,16849773.85853012
5.0,1.0,58.0,-1.7,-1.2,-180.0,10.0,18289242.74422643
5.0,1.0,58.0,-1.7,-1.2,-180.0,15.0,14123149.204698436
5.0,1.0,58.0,-1.7,-1.2,-180.0,20.0,9022179.36544201
5.0,1.0,58.0,-1.7,-1.2,-180.0,25.0,8910344.767516995
5.0,1.0,58.0,-1.7,-1.2,-180.0,30.0,28086836.717954494
5.0,1.0,58.0,-1.7,-1.2,-180.0,35.0,186483208.0216854
5.0,1.0,58.0,-1.7,-1.2,-180.0,40.0,1853866972.9114385
5.0,1.0,58.0,-1.7,-1.2,-180.0,45.0,25092873987.820072
5.0,1.0,58.0,-1.7,-1.2,-180.0,50.0,353224223295.1085
5.0,1.0,58.0,-1.7,-1.2,-180.0,55.0,2106529751030.8809
5.0,1.0,58.0,-1.7,-1.2,-180.0,60.0,1524769421316.9812
5.0,1.0,58.0,-1.7,-1.2,-180.0,65.0,176138294471.59814
5.0,1.0,58.0,-1.7,-1.2,-180.0,70.0,11991510552.463518
5.0,1.0,58.0,-1.7,-1.2,-180.0,75.0,1002691523.420029
5.0,1.0,58.0,-1.7,-1.2,-180.0,80.0,1322560707.0766175
5.0,1.0,58.0,-1.7,-1.2,-180.0,85.0,5453579747.251886
5.0,1.0,58.0,-1.7,-1.2,-180.0,90.0,746116851.761772
5.0,1.0,58.0,-1.7,-1.2,-180.0,95.0,730827024.4878386
5.0,1.0,58.0,-1.7,-1.2,-180.0,100.0,36069333216.63976
5.0,1.0,58.0,-1.7,-1.2,-180.0,105.0,483454391388.12787
5.0,1.0,58.0,-1.7,-1.2,-180.0,110.0,42940861469.4428
5.0,1.0,58.0,-1.7,-1.2,-180.0,115.0,647497842.3722416
5.0,1.0,58.0,-1.7,-1.2,-180.0,120.0,624943854.8441968
5.0,1.0,58.0,-1.7,-1.2,-180.0,125.0,8623456230.307354
5.0,1.0,58.0,-1.7,-1.2,-180.0,130.0,16173166517.98533
5.0,1.0,58.0,-1.7,-1.2,-180.0,135.0,55719732352.08337
5.0,1.0,58.0,-1.7,-1.2,-180.0,140.0,692839058218.7487
5.0,1.0,58.0,-1.7,-1.2,-180.0,145.0,2461087064989.1626
5.0,1.0,58.0,-1.7,-1.2,-180.0,150.0,923655703571.3105
5.0,1.0,58.0,-1.7,-1.2,-180.0,155.0,81103516409.46147
5.0,1.0,58.0,-1.7,-1.2,-180.0,160.0,5707951519.263149
5.0,1.0,58.0,-1.7,-1.2,-180.0,165.0,563893929.3482759
5.0,1.0,58.0,-1.7,-1.2,-180.0,170.0,78987187.63622907
5.0,1.0,58.0,-1.7,-1.2,-180.0,175.0,28888426.15183211
5.0,1.0,58.0,-1.7,-1.2,-180.0,180.0,24156905.88817425
5.0,1.0,58.0,-1.7,-1.2,-175.0,-180.0,1395792603.1468062
5.0,1.0,58.0,-1.7,-1.2,-175.0,-175.0,210913655.086656
5.0,1.0,58.0,-1.7,-1.2,-175.0,-170.0,45519570.118637204
5.0,1.0,58.0,-1.7,-1.2,-175.0,-165.0,41879640.834291704
5.0,1.0,58.0,-1.7,-1.2,-175.0,-160.0,121588865.620846
5.0,1.0,58.0,-1.7,-1.2,-175.0,-155.0,408674147.54493976
5.0,1.0,58.0,-1.7,-1.2,-175.0,-150.0,1233361859.7897885
5.0,1.0,58.0,-1.7,-1.2,-175.0,-145.0,2837941505.787886
5.0,1.0,58.0,-1.7,-1.2,-175.0,-140.0,4221913743.642412
5.0,1.0,58.0,-1.7,-1.2,-175.0,-135.0,3686649796.401449
5.0,1.0,58.0,-1.7,-1.2,-175.0,-130.0,1963474867.0491633
5.0,1.0,58.0,-1.7,-1.2,-175.0,-125.0,758277038.0847083
5.0,1.0,58.0,-1.7,-1.2,-175.0,-120.0,322174960.5947812
5.0,1.0,58.0,-1.7,-1.2,-175.0,-115.0,346044113.41763395
5.0,1.0,58.0,-1.7,-1.2,-175.0,-110.0,704887275.5599096
5.0,1.0,58.0,-1.7,-1.2,-175.0,-105.0,1272511053.5966988
5.0,1.0,58.0,-1.7,-1.2,-175.0,-100.0,1577972486.8887537
5.0,1.0,58.0,-1.7,-1.2,-175.0,-95.0,1263396888.4670558
5.0,1.0,58.0,-1.7,-1.2,-175.0,-90.0,697740468.0235101
5.0,1.0,58.0,-1.7,-1.2,-175.0,-85.0,308659768.8602464
5.0,1.0,58.0,-1.7,-1.2,-175.0,-80.0,136577630.2592793
5.0,1.0,58.0,-1.7,-1.2,-175.0,-75.0,100552204.96607608
5.0,1.0,58.0,-1.7,-1.2,-175.0,-70.0,196213186.20139733
5.0,1.0,58.0,-1.7,-1.2,-175.0,-65.0,583910205.7230002
5.0,1.0,58.0,-1.7,-1.2,-175.0,-60.0,1634834023.9182906
5.0,1.0,58.0,-1.7,-1.2,-175.0,-55.0,3357993610.68307
5.0,1.0,58.0,-1.7,-1.2,-175.0,-50.0,4292648710.5721908
5.0,1.0,58.0,-1.7,-1.2,-175.0,-45.0,3205516350.0192575
5.0,1.0,58.0,-1.7,-1.2,-175.0,-40.0,1503790778.5867944
5.0,1.0,58.0,-1.7,-1.2,-175.0,-35.0,518714114.84177697
5.0,1.0,58.0,-1.7,-1.2,-175.0,-30.0,154197393.26389024
5.0,1.0,58.0,-1.7,-1.2,-175.0,-25.0,44620849.02698204
5.0,1.0,58.0,-1.7,-1.2,-175.0,-20.0,14190886.807557316
5.0,1.0,58.0,-1.7,-1.2,-175.0,-15.0,6672024.457794464
5.0,1.0,58.0,-1.7,-1.2,-175.0,-10.0,6754933.878423469
5.0,1.0,58.0,-1.7,-1.2,-175.0,-5.0,9986391.550037514
5.0,1.0,58.0,-1.7,-1.2,-175.0,0.0,13064995.930230089
5.0,1.0,58.0,-1.7,-1.2,-175.0,5.0,13064166.427886518
5.0,1.0,58.0,-1.7,-1.2,-175.0,10.0,10629285.637665857
5.0,1.0,58.0,-1.7,-1.2,-175.0,15.0,8736115.244687364
5.0,1.0,58.0,-1.7,-1.2,-175.0,20.0,8739112.505435724
5.0,1.0,58.0,-1.7,-1.2,-175.0,25.0,9990351.658479713
5.0,1.0,58.0,-1.7,-1.2,-175.0,30.0,11254437.434081497
5.0,1.0,58.0,-1.7,-1.2,-175.0,35.0,11600996.634268384
5.0,1.0,58.0,-1.7,-1.2,-175.0,40.0,10913462.924131075
5.0,1.0,58.0,-1.7,-1.2,-175.0,45.0,10479823.511119418
5.0,1.0,58.0,-1.7,-1.2,-175.0,50.0,15912290.183410758
5.0,1.0,58.0,-1.7,-1.2,-175.0,55.0,58090250.26084159
5.0,1.0,58.0,-1.7,-1.2,-175.0,60.0,344284562.35683864
5.0,1.0,58.0,-1.7,-1.2,-175.0,65.0,2328913349.4663854
5.0,1.0,58.0,-1.7,-1.2,-175.0,70.0,13430135367.76007
5.0,1.0,58.0,-1.7,-1.2,-175.0,75.0,41439550418.29032
5.0,1.0,58.0,-1.7,-1.2,-175.0,80.0,42007631869.390656
5.0,1.0,58.0,-1.7,-1.2,-175.0,85.0,13940165265.737339
5.0,1.0,58.0,-1.7,-1.2,-175.0,90.0,5317046526.320449
5.0,1.0,58.0,-1.7,-1.2,-175.0,95.0,33470779753.54701
5.0,1.0,58.0,-1.7,-1.2,-175.0,100.0,3536285214.2061834
5.0,1.0,58.0,-1.7,-1.2,-175.0,105.0,183641438.36393028
5.0,1.0,58.0,-1.7,-1.2,-175.0,110.0,1906427375.4801064
5.0,1.0,58.0,-1.7,-1.2,-175.0,115.0,12026493137.302025
5.0,1.0,58.0,-1.7,-1.2,-175.0,120.0,4391675974.548432
5.0,1.0,58.0,-1.7,-1.2,-175.0,125.0,258347174.72869366
5.0,1.0,58.0,-1.7,-1.2,-175.0,130.0,728341148.3019556
5.0,1.0,58.0,-1.7,-1.2,-175.0,135.0,22371658677.200897
5.0,1.0,58.0,-1.7,-1.2,-175.0,140.0,12346366695.986942
5.0,1.0,58.0,-1.7,-1.2,-175.0,145.0,378791521.5901936
5.0,1.0,58.0,-1.7,-1.2,-175.0,150.0,658402903.454299
5.0,1.0,58.0,-1.7,-1.2,-175.0,155.0,4079494199.325368
5.0,1.0,58.0,-1.7,-1.2,-175.0,160.0,20469080312.636467
5.0,1.0,58.0,-1.7,-1.2,-175.0,165.0,47350062715.25186
5.0,1.0,58.0,-1.7,-1.2,-175.0,170.0,33605736544.116035
5.0,1.0,58.0,-1.7,-1.2,-175.0,175.0,8706177287.089247
5.0,1.0,58.0,-1.7,-1.2,-175.0,180.0,1395792603.1468112
5.0,1.0,58.0,-1.7,-1.2,-170.0,-180.0,2833953041.3964353
5.0,1.0,58.0,-1.7,-1.2,-170.0,-175.0,5121688209.644945
5.0,1.0,58.0,-1.7,-1.2,-170.0,-170.0,3811566004.398579
5.0,1.0,58.0,-1.7,-1.2,-170.0,-165.0,1391796541.3766499
5.0,1.0,58.0,-1.7,-1.2,-170.0,-160.0,612676342.2987697
5.0,1.0,58.0,-1.7,-1.2,-170.0,-155.0,947020564.0478706
5.0,1.0,58.0,-1.7,-1.2,-170.0,-150.0,1708391523.9512255
5.0,1.0,58.0,-1.7,-1.2,-170.0,-145.0,1944249765.697543
5.0,1.0,58.0,-1.7,-1.2,-170.0,-140.0,1291822370.764353
5.0,1.0,58.0,-1.7,-1.2,-170.0,-135.0,559921166.4127773
5.0,1.0,58.0,-1.7,-1.2,-170.0,-130.0,209513633.1046811
5.0,1.0,58.0,-1.7,-1.2,-170.0,-125.0,144341640.86904544
5.0,1.0,58.0,-1.7,-1.2,-170.0,-120.0,290445564.4460143
5.0,1.0,58.0,-1.7,-1.2,-170.0,-115.0,730717428.3869747
5.0,1.0,58.0,-1.7,-1.2,-170.0,-110.0,1433423898.8023715
5.0,1.0,58.0,-1.7,-1.2,-170.0,-105.0,1807658903.237544
5.0,1.0,58.0,-1.7,-1.2,-170.0,-100.0,1373866308.7560344
5.0,1.0,58.0,-1.7,-1.2,-170.0,-95.0,677247322.1144799
5.0,1.0,58.0,-1.7,-1.2,-170.0,-90.0,259264825.28480625
5.0,1.0,58.0,-1.7,-1.2,-170.0,-85.0,99501870.38783932
5.0,1.0,58.0,-1.7,-1.2,-170.0,-80.0,71162953.7958869
5.0,1.0,58.0,-1.7,-1.2,-170.0,-75.0,154787669.05684716
5.0,1.0,58.0,-1.7,-1.2,-170.0,-70.0,457821992.774656
5.0,1.0,58.0,-1.7,-1.2,-170.0,-65.0,1128795753.7649412
5.0,1.0,58.0,-1.7,-1.2,-170.0,-60.0,1869797741.1964927
5.0,1.0,58.0,-1.7,-1.2,-170.0,-55.0,1817509098.0096297
5.0,1.0,58.0,-1.7,-1.2,-170.0,-50.0,1042855503.4869256
5.0,1.0,58.0,-1.7,-1.2,-170.0,-45.0,402787891.7243903
5.0,1.0,58.0,-1.7,-1.2,-170.0,-40.0,124414717.44680405
5.0,1.0,58.0,-1.7,-1.2,-170.0,-35.0,35601614.2351841
5.0,1.0,58.0,-1.7,-1.2,-170.0,-30.0,10813070.607842762
5.0,1.0,58.0,-1.7,-1.2,-170.0,-25.0,4628860.770425756
5.0,1.0,58.0,-1.7,-1.2,-170.0,-20.0,4191216.519774306
5.0,1.0,58.0,-1.7,-1.2,-170.0,-15.0,6086256.160838019
5.0,1.0,58.0,-1.7,-1.2,-170.0,-10.0,8961287.544151898
5.0,1.0,58.0,-1.7,-1.2,-170.0,-5.0,11913005.962222012
5.0,1.0,58.0,-1.7,-1.2,-170.0,0.0,14837768.127815615
5.0,1.0,58.0,-1.7,-1.2,-170.0,5.0,17864711.61980874
5.0,1.0,58.0,-1.7,-1.2,-170.0,10.0,20000781.048296306
5.0,1.0,58.0,-1.7,-1.2,-170.0,15.0,19627429.583396927
5.0,1.0,58.0,-1.7,-1.2,-170.0,20.0,16393252.700638575
5.0,1.0,58.0,-1.7,-1.2,-170.0,25.0,11696503.160490561
5.0,1.0,58.0,-1.7,-1.2,-170.0,30.0,7308635.252505328
5.0,1.0,58.0,-1.7,-1.2,-170.0,35.0,4147830.1487711584
5.0,1.0,58.0,-1.7,-1.2,-170.0,40.0,2237597.255965425
5.0,1.0,58.0,-1.7,-1.2,-170.0,45.0,1175629.795114752
5.0,1.0,58.0,-1.7,-1.2,-170.0,50.0,918165.4903629423
5.0,1.0,58.0,-1.7,-1.2,-170.0,55.0,61832815.657761954
5.0,1.0,58.0,-1.7,-1.2,-170.0,60.0,4835641.464310678
5.0,1.0,58.0,-1.7,-1.2,-170.0,65.0,1364519.103788966
