R1,R2,heri,R3t,R3p,phi1,phi2,FF
5.0,1.0,58.0,-1.8,-1.8,-180.0,-180.0,326972.13147865096
5.0,1.0,58.0,-1.8,-1.8,-180.0,-175.0,486922.280706708
5.0,1.0,58.0,-1.8,-1.8,-180.0,-170.0,802739.6781095319
5.0,1.0,58.0,-1.8,-1.8,-180.0,-165.0,1636216.049377964
5.0,1.0,58.0,-1.8,-1.8,-180.0,-160.0,4207905.772356804
5.0,1.0,58.0,-1.8,-1.8,-180.0,-155.0,12402416.820787087
5.0,1.0,58.0,-1.8,-1.8,-180.0,-150.0,37874723.29028
5.0,1.0,58.0,-1.8,-1.8,-180.0,-145.0,110815194.63438845
5.0,1.0,58.0,-1.8,-1.8,-180.0,-140.0,292817634.66378534
5.0,1.0,58.0,-1.8,-1.8,-180.0,-135.0,688061058.1105491
5.0,1.0,58.0,-1.8,-1.8,-180.0,-130.0,1381483788.5647175
5.0,1.0,58.0,-1.8,-1.8,-180.0,-125.0,1847327845.3722014
5.0,1.0,58.0,-1.8,-1.8,-180.0,-120.0,1331538515.2313561
5.0,1.0,58.0,-1.8,-1.8,-180.0,-115.0,979054543.5380698
5.0,1.0,58.0,-1.8,-1.8,-180.0,-110.0,4023933191.1074185
5.0,1.0,58.0,-1.8,-1.8,-180.0,-105.0,40949957740.14867
5.0,1.0,58.0,-1.8,-1.8,-180.0,-100.0,914449329494.2585
5.0,1.0,58.0,-1.8,-1.8,-180.0,-95.0,11505312578667.207
5.0,1.0,58.0,-1.8,-1.8,-180.0,-90.0,125718836955872.88
5.0,1.0,58.0,-1.8,-1.8,-180.0,-85.0,155781062806710.28
5.0,1.0,58.0,-1.8,-1.8,-180.0,-80.0,17769265736210.15
5.0,1.0,58.0,-1.8,-1.8,-180.0,-75.0,947288492073.3339
5.0,1.0,58.0,-1.8,-1.8,-180.0,-70.0,449692746050.03766
5.0,1.0,58.0,-1.8,-1.8,-180.0,-65.0,35149310517.91428
