R1,R2,heri,R3t,R3p,phi1,phi2,FF
5.0,1.0,58.0,0.6,-0.9,-180.0,-180.0,76031657.26224485
5.0,1.0,58.0,0.6,-0.9,-180.0,-175.0,91085103.79332377
5.0,1.0,58.0,0.6,-0.9,-180.0,-170.0,5060686483.607723
5.0,1.0,58.0,0.6,-0.9,-180.0,-165.0,119166446330.24014
5.0,1.0,58.0,0.6,-0.9,-180.0,-160.0,32335837.752321307
5.0,1.0,58.0,0.6,-0.9,-180.0,-155.0,13609110.875110546
5.0,1.0,58.0,0.6,-0.9,-180.0,-150.0,77813348.37197028
5.0,1.0,58.0,0.6,-0.9,-180.0,-145.0,78852748.61619838
5.0,1.0,58.0,0.6,-0.9,-180.0,-140.0,7369370.9611609215
5.0,1.0,58.0,0.6,-0.9,-180.0,-135.0,1606875.9802322858
5.0,1.0,58.0,0.6,-0.9,-180.0,-130.0,2148237.201196107
5.0,1.0,58.0,0.6,-0.9,-180.0,-125.0,3425678.2968060724
5.0,1.0,58.0,0.6,-0.9,-180.0,-120.0,4803830.302819762
5.0,1.0,58.0,0.6,-0.9,-180.0,-115.0,5696893.758978643
5.0,1.0,58.0,0.6,-0.9,-180.0,-110.0,6167380.624686857
5.0,1.0,58.0,0.6,-0.9,-180.0,-105.0,8489381.095174985
5.0,1.0,58.0,0.6,-0.9,-180.0,-100.0,22321086.566635426
5.0,1.0,58.0,0.6,-0.9,-180.0,-95.0,91367435.04290096
5.0,1.0,58.0,0.6,-0.9,-180.0,-90.0,416094210.684794
5.0,1.0,58.0,0.6,-0.9,-180.0,-85.0,1717797168.9357555
5.0,1.0,58.0,0.6,-0.9,-180.0,-80.0,5212486478.571875
5.0,1.0,58.0,0.6,-0.9,-180.0,-75.0,27418000987.410927
5.0,1.0,58.0,0.6,-0.9,-180.0,-70.0,7702713366748.552
5.0,1.0,58.0,0.6,-0.9,-180.0,-65.0,408842732320112.94
5.0,1.0,58.0,0.6,-0.9,-180.0,-60.0,1981754635030.968
5.0,1.0,58.0,0.6,-0.9,-180.0,-55.0,7188824669.6339245
5.0,1.0,58.0,0.6,-0.9,-180.0,-50.0,224993119.53656346
5.0,1.0,58.0,0.6,-0.9,-180.0,-45.0,91581209.09401862
5.0,1.0,58.0,0.6,-0.9,-180.0,-40.0,34759162.741992176
5.0,1.0,58.0,0.6,-0.9,-180.0,-35.0,29193547.79091996
5.0,1.0,58.0,0.6,-0.9,-180.0,-30.0,30438510.98493094
5.0,1.0,58.0,0.6,-0.9,-180.0,-25.0,26150860.54801111
5.0,1.0,58.0,0.6,-0.9,-180.0,-20.0,20247591.492074598
5.0,1.0,58.0,0.6,-0.9,-180.0,-15.0,18973183.477665845
5.0,1.0,58.0,0.6,-0.9,-180.0,-10.0,38459404.92457794
5.0,1.0,58.0,0.6,-0.9,-180.0,-5.0,145558522.93497816
5.0,1.0,58.0,0.6,-0.9,-180.0,0.0,639077256.4812509
5.0,1.0,58.0,0.6,-0.9,-180.0,5.0,2441350376.572014
5.0,1.0,58.0,0.6,-0.9,-180.0,10.0,6076980801.527006
5.0,1.0,58.0,0.6,-0.9,-180.0,15.0,7510049000.954506
5.0,1.0,58.0,0.6,-0.9,-180.0,20.0,4272646741.7978296
5.0,1.0,58.0,0.6,-0.9,-180.0,25.0,1351603999.1375277
5.0,1.0,58.0,0.6,-0.9,-180.0,30.0,316540235.4600885
5.0,1.0,58.0,0.6,-0.9,-180.0,35.0,68337760.26270775
5.0,1.0,58.0,0.6,-0.9,-180.0,40.0,15338535.834621895
5.0,1.0,58.0,0.6,-0.9,-180.0,45.0,3773052.616679151
5.0,1.0,58.0,0.6,-0.9,-180.0,50.0,1035566.2636310933
5.0,1.0,58.0,0.6,-0.9,-180.0,55.0,318352.34798761195
5.0,1.0,58.0,0.6,-0.9,-180.0,60.0,109855.13953803998
5.0,1.0,58.0,0.6,-0.9,-180.0,65.0,43396.4678169029
5.0,1.0,58.0,0.6,-0.9,-180.0,70.0,22588.29853216165
5.0,1.0,58.0,0.6,-0.9,-180.0,75.0,22099.05496813924
5.0,1.0,58.0,0.6,-0.9,-180.0,80.0,29024.044974774508
5.0,1.0,58.0,0.6,-0.9,-180.0,85.0,25764.071938046975
5.0,1.0,58.0,0.6,-0.9,-180.0,90.0,17616.884821599444
5.0,1.0,58.0,0.6,-0.9,-180.0,95.0,15027.57337613676
5.0,1.0,58.0,0.6,-0.9,-180.0,100.0,17675.18263280484
5.0,1.0,58.0,0.6,-0.9,-180.0,105.0,25119.956127301455
5.0,1.0,58.0,0.6,-0.9,-180.0,110.0,24862.845978740905
5.0,1.0,58.0,0.6,-0.9,-180.0,115.0,13798.177768360176
5.0,1.0,58.0,0.6,-0.9,-180.0,120.0,6709.7192757759585
5.0,1.0,58.0,0.6,-0.9,-180.0,125.0,19531.9155321123
5.0,1.0,58.0,0.6,-0.9,-180.0,130.0,251507.33710592557
5.0,1.0,58.0,0.6,-0.9,-180.0,135.0,5713587.092169135
5.0,1.0,58.0,0.6,-0.9,-180.0,140.0,23376130.9543592
5.0,1.0,58.0,0.6,-0.9,-180.0,145.0,8523029.784821283
5.0,1.0,58.0,0.6,-0.9,-180.0,150.0,23686833.863805976
5.0,1.0,58.0,0.6,-0.9,-180.0,155.0,10650784.79666397
5.0,1.0,58.0,0.6,-0.9,-180.0,160.0,7326612.665701669
5.0,1.0,58.0,0.6,-0.9,-180.0,165.0,21916380.60469275
5.0,1.0,58.0,0.6,-0.9,-180.0,170.0,43576782636.774
5.0,1.0,58.0,0.6,-0.9,-180.0,175.0,15548000681.829245
5.0,1.0,58.0,0.6,-0.9,-180.0,180.0,76031657.2622449
5.0,1.0,58.0,0.6,-0.9,-175.0,-180.0,88711225.98366912
5.0,1.0,58.0,0.6,-0.9,-175.0,-175.0,39181451.47638993
5.0,1.0,58.0,0.6,-0.9,-175.0,-170.0,627502700.6571208
5.0,1.0,58.0,0.6,-0.9,-175.0,-165.0,881407068552.2291
5.0,1.0,58.0,0.6,-0.9,-175.0,-160.0,140891545.09943426
5.0,1.0,58.0,0.6,-0.9,-175.0,-155.0,13302630.192711445
5.0,1.0,58.0,0.6,-0.9,-175.0,-150.0,65240737.06403023
5.0,1.0,58.0,0.6,-0.9,-175.0,-145.0,27765203.060759004
5.0,1.0,58.0,0.6,-0.9,-175.0,-140.0,2644112.3038439807
5.0,1.0,58.0,0.6,-0.9,-175.0,-135.0,1383420.2129674165
5.0,1.0,58.0,0.6,-0.9,-175.0,-130.0,1945313.5799504262
5.0,1.0,58.0,0.6,-0.9,-175.0,-125.0,2754923.1598888873
5.0,1.0,58.0,0.6,-0.9,-175.0,-120.0,4072207.377458527
5.0,1.0,58.0,0.6,-0.9,-175.0,-115.0,7201816.586665138
5.0,1.0,58.0,0.6,-0.9,-175.0,-110.0,15314391.674276516
5.0,1.0,58.0,0.6,-0.9,-175.0,-105.0,33739602.17601293
5.0,1.0,58.0,0.6,-0.9,-175.0,-100.0,66036881.49876331
5.0,1.0,58.0,0.6,-0.9,-175.0,-95.0,103090520.22963588
5.0,1.0,58.0,0.6,-0.9,-175.0,-90.0,122153053.4639629
5.0,1.0,58.0,0.6,-0.9,-175.0,-85.0,136643344.8330346
5.0,1.0,58.0,0.6,-0.9,-175.0,-80.0,1293283447.355021
5.0,1.0,58.0,0.6,-0.9,-175.0,-75.0,149581001452.89062
5.0,1.0,58.0,0.6,-0.9,-175.0,-70.0,32446028729819.508
5.0,1.0,58.0,0.6,-0.9,-175.0,-65.0,16885652884641.605
5.0,1.0,58.0,0.6,-0.9,-175.0,-60.0,68009973995.44936
5.0,1.0,58.0,0.6,-0.9,-175.0,-55.0,744616684.9698592
5.0,1.0,58.0,0.6,-0.9,-175.0,-50.0,254908107.99555227
